Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0000236,diary,2,6,,"","HAZEBROUCK, Hazebrouck","[0.0, 0.0]","",place,"HAZEBROUCK, Hazebrouck","{""place""=>[""HAZEBROUCK"", ""Hazebrouck""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
2,AWD0000236,diary,2,6,1916-07-01 00:00:00 UTC,1 Jul 1916,"HAZEBROUCK, Hazebrouck","[0.0, 0.0]","",diaryDate,1 Jul 1916,"{""day""=>[""1""], ""month""=>[""Jul""], ""year""=>[""1916""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
3,AWD0000236,diary,2,2,1916-07-19 00:00:00 UTC,19 Jul 1916,"HAZEBROUCK, Hazebrouck","[0.0, 0.0]","",diaryDate,19 Jul 1916,"{""day""=>[""19""], ""month""=>[""Jul""], ""year""=>[""1916""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
4,AWD0000236,diary,2,7,1916-07-20 00:00:00 UTC,20 Jul 1916,"HAZEBROUCK, Hazebrouck","[0.0, 0.0]","",diaryDate,20 Jul 1916,"{""day""=>[""20""], ""month""=>[""Jul""], ""year""=>[""1916""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
6,AWD0000236,diary,2,3,1916-07-20 00:00:00 UTC,20 Jul 1916,"HAZEBROUCK, Hazebrouck","[0.0, 0.0]","",person,Brigadier General  ,"{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""promotion""], ""unit""=>[""""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
7,AWD0000236,diary,2,5,1916-07-20 00:00:00 UTC,20 Jul 1916,"HAZEBROUCK, Hazebrouck","[0.0, 0.0]","",person,"Lieutenant Colonel J S Ullivant, Ollivant","{""first""=>[""J S""], ""surname""=>[""Ullivant"", ""Ollivant""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""promotion""], ""unit""=>[""""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
8,AWD0000236,diary,2,2,1916-07-20 00:00:00 UTC,20 Jul 1916,"HAZEBROUCK, Hazebrouck","[0.0, 0.0]","",person,"Lieutenant Colonel ,J S Olivant, Ollivant","{""first""=>["""", ""J S""], ""surname""=>[""Olivant"", ""Ollivant""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""promotion""], ""unit""=>["""", ""3rd Division""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
9,AWD0000236,diary,2,3,1916-07-20 00:00:00 UTC,20 Jul 1916,"HAZEBROUCK, Hazebrouck","[0.0, 0.0]","",person,Brigadier General J S ULLIVANT,"{""first""=>[""J S""], ""surname""=>[""ULLIVANT""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""3RD DIVISION"", ""3rd DIVISION"", ""3rd Division""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
10,AWD0000236,diary,2,6,1916-07-21 00:00:00 UTC,21 Jul 1916,"HAZEBROUCK, Hazebrouck","[0.0, 0.0]","",diaryDate,21 Jul 1916,"{""day""=>[""21""], ""month""=>[""Jul""], ""year""=>[""1916""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
13,AWD0000236,diary,2,6,1916-07-25 00:00:00 UTC,25 Jul 1916,"HAZEBROUCK, Hazebrouck","[0.0, 0.0]","",diaryDate,25 Jul 1916,"{""day""=>[""25""], ""month""=>[""Jul""], ""year""=>[""1916""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
14,AWD0000236,diary,2,7,1916-07-25 00:00:00 UTC,25 Jul 1916,"HAZEBROUCK, Hazebrouck","[0.0, 0.0]","",person,Lieutenant Colonel T M Archdale,"{""first""=>[""T M""], ""surname""=>[""Archdale""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
17,AWD0000236,diary,2,5,1916-07-26 00:00:00 UTC,26 Jul 1916,"HAZEBROUCK, Hazebrouck","[0.0, 0.0]","",diaryDate,26 Jul 1916,"{""day""=>[""26""], ""month""=>[""Jul""], ""year""=>[""1916""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
1,AWD000022i,diary,4,7,1916-07-26 00:00:00 UTC,26 Jul 1916,Hazebrouck,"[0.0, 0.0]","",place,Hazebrouck,"{""place""=>[""Hazebrouck""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
2,AWD000022i,diary,4,5,1916-08-01 00:00:00 UTC,1 Aug 1916,Hazebrouck,"[0.0, 0.0]","",diaryDate,1 Aug 1916,"{""day""=>[""1""], ""month""=>[""Aug""], ""year""=>[""1916""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
4,AWD000022i,diary,4,4,1916-08-31 00:00:00 UTC,31 Aug 1916,Hazebrouck,"[0.0, 0.0]","",diaryDate,31 Aug 1916,"{""day""=>[""31""], ""month""=>[""Aug""], ""year""=>[""1916""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
7,AWD000022i,diary,4,2,1916-08-31 00:00:00 UTC,31 Aug 1916,Hazebrouck,"[0.0, 0.0]","",person,"Lieutenant Colonel T M,TM Archdale","{""first""=>[""T M"", ""TM""], ""surname""=>[""Archdale""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""author""], ""unit""=>[""3rd Brigade RHA"", ""3 Brigade RHA""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
1,AWD000023i,diary,6,2,1916-09-01 00:00:00 UTC,1 Sep 1916,Hazebrouck,"[0.0, 0.0]","",diaryDate,1 Sep 1916,"{""day""=>[""1""], ""month""=>[""Sep""], ""year""=>[""1916""]}",3013619,Hazebrouck,"[2.53729, 50.72374]"
