Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00007zx,cover,251,2,,,,[],,diaryDate,1 Aug 1914,"{""day""=>[""1""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
6,AWD00007zw,diary,254,5,,"","","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD00007zw,diary,254,7,1914-08-04 00:00:00 UTC,4 Aug 1914,"","[0.0, 0.0]","",diaryDate,4 Aug 1914,"{""day""=>[""4""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD00007zw,diary,254,4,1914-08-04 00:00:00 UTC,4 Aug 1914,"Bueford Camp, Bulford Camp","[0.0, 0.0]","",place,"Bueford Camp, Bulford Camp","{""place""=>[""Bueford Camp"", ""Bulford Camp""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2994168,Méteren,"[2.7, 50.73333]"
11,AWD00007zw,diary,254,2,1914-08-14 00:00:00 UTC,14 Aug 1914,"Bueford Camp, Bulford Camp","[0.0, 0.0]","",diaryDate,14 Aug 1914,"{""day""=>[""14""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2994168,Méteren,"[2.7, 50.73333]"
14,AWD00007zw,diary,254,3,1914-08-16 00:00:00 UTC,16 Aug 1914,"Bueford Camp, Bulford Camp","[0.0, 0.0]","",diaryDate,16 Aug 1914,"{""day""=>[""16""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2994168,Méteren,"[2.7, 50.73333]"
17,AWD00007zw,diary,254,3,1914-08-16 00:00:00 UTC,16 Aug 1914,Amesbury ,"[0.0, 0.0]","",place,Amesbury ,"{""place""=>[""Amesbury ""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2657355,Amesbury,"[-1.78064, 51.17509]"
20,AWD00007zw,diary,254,3,1914-08-16 00:00:00 UTC,16 Aug 1914,"Champs De Bruyer, Champs de Bruyere, champs de bruyere","[0.0, 0.0]","",place,"Champs De Bruyer, Champs de Bruyere, champs de bruyere","{""place""=>[""Champs De Bruyer"", ""Champs de Bruyere"", ""champs de bruyere""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
21,AWD00007zw,diary,254,3,1914-08-16 00:00:00 UTC,16 Aug 1914,"Champs De Bruyer, Champs de Bruyere, champs de bruyere","[0.0, 0.0]","",diaryDate,16 Aug 1914,"{""day""=>[""16""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
22,AWD00007zw,diary,254,2,1914-08-16 00:00:00 UTC,16 Aug 1914,"Champs De Bruyer, Champs de Bruyere, champs de bruyere","[0.0, 0.0]","",activity,other,{},,,
