Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD00009mf,diary,1,3,1914-08-04 00:00:00 UTC,4 Aug 1914,"","[0.0, 0.0]","",diaryDate,4 Aug 1914,"{""day""=>[""4""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00009mf,diary,1,4,1914-08-04 00:00:00 UTC,4 Aug 1914,"","[0.0, 0.0]","",diaryDate,4 Aug 1914,"{""day""=>[""4""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD00009mf,diary,1,3,1914-08-04 00:00:00 UTC,4 Aug 1914,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD00009mf,diary,1,5,1914-08-04 17:20:00 UTC,4 Aug 1914,"","[0.0, 0.0]",0520PM,time,0520PM,{},2985684,Pozières,"[2.72929, 50.04047]"
9,AWD00009mf,diary,1,4,1914-08-04 17:20:00 UTC,4 Aug 1914,Plymouth,"[0.0, 0.0]",0520PM,place,Plymouth,"{""place""=>[""Plymouth""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2640194,Plymouth,"[-4.14305, 50.37153]"
10,AWD00009mf,diary,1,2,1914-08-04 17:20:00 UTC,4 Aug 1914,Plymouth,"[0.0, 0.0]",0520PM,activity,resting,{},2640194,Plymouth,"[-4.14305, 50.37153]"
13,AWD00009mf,diary,1,4,1914-08-05 00:00:00 UTC,5 Aug 1914,Plymouth,"[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2640194,Plymouth,"[-4.14305, 50.37153]"
16,AWD00009mf,diary,1,2,1914-08-05 00:00:00 UTC,5 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",place,Plymouth,"{""place""=>[""Plymouth""], ""location""=>[""true""], ""name""=>[""Plymouth""], ""lat""=>[""50.37153""], ""long""=>[""-4.14305""], ""id""=>[""2640194""]}",2640194,Plymouth,"[-4.14305, 50.37153]"
17,AWD00009mf,diary,1,4,1914-08-06 00:00:00 UTC,6 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2640194,Plymouth,"[-4.14305, 50.37153]"
18,AWD00009mf,diary,1,4,1914-08-06 18:00:00 UTC,6 Aug 1914,Plymouth,"[-4.14305, 50.37153]",0600PM,time,0600PM,{},2640194,Plymouth,"[-4.14305, 50.37153]"
19,AWD00009mf,diary,1,4,1914-08-06 18:00:00 UTC,6 Aug 1914,Plymouth,"[-4.14305, 50.37153]",0600PM,place,Aberdeen,"{""place""=>[""Aberdeen""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2640194,Plymouth,"[-4.14305, 50.37153]"
20,AWD00009mf,diary,1,2,1914-08-07 00:00:00 UTC,7 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2640194,Plymouth,"[-4.14305, 50.37153]"
21,AWD00009mf,diary,1,2,1914-08-07 00:00:00 UTC,7 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",activity,strength,{},2640194,Plymouth,"[-4.14305, 50.37153]"
22,AWD00009mf,diary,1,2,1914-08-07 00:00:00 UTC,7 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",activity,resting,{},2640194,Plymouth,"[-4.14305, 50.37153]"
23,AWD00009mf,diary,1,2,1914-08-07 00:00:00 UTC,7 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",activity,movement,{},2640194,Plymouth,"[-4.14305, 50.37153]"
24,AWD00009mf,diary,1,3,1914-08-07 23:55:00 UTC,7 Aug 1914,Plymouth,"[-4.14305, 50.37153]",1155PM,time,1155PM,{},2640194,Plymouth,"[-4.14305, 50.37153]"
25,AWD00009mf,diary,1,4,1914-08-07 00:00:00 UTC,7 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2640194,Plymouth,"[-4.14305, 50.37153]"
26,AWD00009mf,diary,1,4,1914-08-08 00:00:00 UTC,8 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2640194,Plymouth,"[-4.14305, 50.37153]"
27,AWD00009mf,diary,1,2,1914-08-08 00:00:00 UTC,8 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",place,Plymouth,"{""place""=>[""Plymouth""], ""location""=>[""true""], ""name""=>[""Plymouth""], ""lat""=>[""50.37153""], ""long""=>[""-4.14305""], ""id""=>[""2640194""]}",2640194,Plymouth,"[-4.14305, 50.37153]"
28,AWD00009mf,diary,1,4,1914-08-08 16:00:00 UTC,8 Aug 1914,Plymouth,"[-4.14305, 50.37153]",0400PM,time,0400PM,{},2640194,Plymouth,"[-4.14305, 50.37153]"
30,AWD00009mf,diary,1,6,1914-08-10 00:00:00 UTC,10 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",diaryDate,10 Aug 1914,"{""day""=>[""10""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2640194,Plymouth,"[-4.14305, 50.37153]"
32,AWD00009mf,diary,1,2,1914-08-10 00:00:00 UTC,10 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",activity,resting,{},2640194,Plymouth,"[-4.14305, 50.37153]"
33,AWD00009mf,diary,1,3,1914-08-10 00:00:00 UTC,10 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",domestic,inspections,{},2640194,Plymouth,"[-4.14305, 50.37153]"
34,AWD00009mf,diary,1,3,1914-08-10 10:00:00 UTC,10 Aug 1914,Plymouth,"[-4.14305, 50.37153]",1000AM,time,1000AM,{},2640194,Plymouth,"[-4.14305, 50.37153]"
37,AWD00009mf,diary,1,3,1914-08-10 15:30:00 UTC,10 Aug 1914,Plymouth,"[-4.14305, 50.37153]",0330PM,time,0330PM,{},2640194,Plymouth,"[-4.14305, 50.37153]"
