Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0000aq1,diary,572,5,1917-09-01 00:00:00 UTC,1 Sep 1917,"","[0.0, 0.0]","",diaryDate,1 Sep 1917,"{""day""=>[""1""], ""month""=>[""Sep""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0000aq1,diary,572,4,1917-09-01 00:00:00 UTC,1 Sep 1917,Barossa Camp,"[0.0, 0.0]","",place,Barossa Camp,"{""place""=>[""Barossa Camp""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
7,AWD0000aq1,diary,572,4,1917-09-01 00:00:00 UTC,1 Sep 1917,Barossa Camp,"[0.0, 0.0]","",activity,training,{},,,
8,AWD0000aq1,diary,572,4,1917-09-02 00:00:00 UTC,2 Sep 1917,Barossa Camp,"[0.0, 0.0]","",diaryDate,2 Sep 1917,"{""day""=>[""2""], ""month""=>[""Sep""], ""year""=>[""1917""]}",,,
9,AWD0000aq1,diary,572,2,1917-09-02 00:00:00 UTC,2 Sep 1917,Barossa Camp,"[0.0, 0.0]","",place,Barossa Camp,"{""place""=>[""Barossa Camp""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
11,AWD0000aq1,diary,572,3,1917-09-02 00:00:00 UTC,2 Sep 1917,Barossa Camp,"[0.0, 0.0]","",domestic,religion,{},,,
12,AWD0000aq1,diary,572,3,1917-09-02 10:15:00 UTC,2 Sep 1917,Barossa Camp,"[0.0, 0.0]",1015AM,time,1015AM,{},,,
14,AWD0000aq1,diary,572,5,1917-09-02 10:15:00 UTC,2 Sep 1917,Barossa Camp,"[0.0, 0.0]",1015AM,activity,training,{},,,
15,AWD0000aq1,diary,572,5,1917-09-03 00:00:00 UTC,3 Sep 1917,Barossa Camp,"[0.0, 0.0]","",diaryDate,3 Sep 1917,"{""day""=>[""3""], ""month""=>[""Sep""], ""year""=>[""1917""]}",,,
19,AWD0000aq1,diary,572,2,1917-09-04 00:00:00 UTC,"4 Sep 1917, 1916",Barossa Camp,"[0.0, 0.0]","",diaryDate,"4 Sep 1917, 1916","{""day""=>[""4""], ""month""=>[""Sep""], ""year""=>[""1917"", ""1916""]}",,,
20,AWD0000aq1,diary,572,2,1917-09-04 00:00:00 UTC,4 Sep 1917,Barossa Camp,"[0.0, 0.0]","",diaryDate,4 Sep 1917,"{""day""=>[""4""], ""month""=>[""Sep""], ""year""=>[""1917""]}",,,
22,AWD0000aq1,diary,572,4,1917-09-04 00:00:00 UTC,4 Sep 1917,Barossa Camp,"[0.0, 0.0]","",activity,movement,{},,,
23,AWD0000aq1,diary,572,2,1917-09-04 00:00:00 UTC,4 Sep 1917,Barossa Camp,"[0.0, 0.0]","",place,Barossa Camp,"{""place""=>[""Barossa Camp""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Berles-au-Bois""], ""lat""=>["""", ""50.19772""], ""long""=>["""", ""2.62818""], ""id""=>["""", ""3033345""]}",,,
24,AWD0000aq1,diary,572,4,1917-09-05 00:00:00 UTC,5 Sep 1917,Barossa Camp,"[0.0, 0.0]","",diaryDate,5 Sep 1917,"{""day""=>[""5""], ""month""=>[""Sep""], ""year""=>[""1917""]}",,,
25,AWD0000aq1,diary,572,5,1917-09-05 00:00:00 UTC,5 Sep 1917,Berles-au-Bois,"[0.0, 0.0]","",place,Berles-au-Bois,"{""place""=>[""Berles-au-Bois""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3033345,Berles-au-Bois,"[2.62818, 50.19772]"
27,AWD0000aq1,diary,572,3,1917-09-05 00:00:00 UTC,5 Sep 1917,Berles au bois,"[0.0, 0.0]","",place,Berles au bois,"{""place""=>[""Berles au bois""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3033345,Berles-au-Bois,"[2.62818, 50.19772]"
