Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0000jon,diary,4,4,1917-11-01 00:00:00 UTC,1 Nov 1917,"","[0.0, 0.0]","",diaryDate,1 Nov 1917,"{""day""=>[""1""], ""month""=>[""Nov""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0000jon,diary,4,3,1917-11-01 00:00:00 UTC,1 Nov 1917,"","[0.0, 0.0]","",domestic,accomodation,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0000jon,diary,4,10,1917-11-01 00:00:00 UTC,1 Nov 1917,"","[0.0, 0.0]","",place,Berneuil,"{""place""=>[""Berneuil""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0000jon,diary,4,5,1917-11-06 00:00:00 UTC,6 Nov 1917,"","[0.0, 0.0]","",diaryDate,6 Nov 1917,"{""day""=>[""6""], ""month""=>[""Nov""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0000jon,diary,4,6,1917-11-06 00:00:00 UTC,6 Nov 1917,"","[0.0, 0.0]","",person,Captain W I F MacDonald,"{""first""=>[""W I F""], ""surname""=>[""MacDonald""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined"", ""returned_training""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0000jon,diary,4,3,1917-11-07 00:00:00 UTC,7 Nov 1917,"","[0.0, 0.0]","",diaryDate,7 Nov 1917,"{""day""=>[""7""], ""month""=>[""Nov""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0000jon,diary,4,3,1917-11-07 12:00:00 UTC,7 Nov 1917,"","[0.0, 0.0]",1200PM,time,1200PM,{},2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0000jon,diary,4,2,1917-11-07 12:00:00 UTC,7 Nov 1917,"","[0.0, 0.0]",1200PM,unit,X Royal Hussars,"{""name""=>[""X Royal Hussars""], ""context""=>[""joined""]}",2985684,Pozières,"[2.72929, 50.04047]"
16,AWD0000jon,diary,4,3,1917-11-07 12:00:00 UTC,7 Nov 1917,"","[0.0, 0.0]",1200PM,unit,Essex Yeomanry,"{""name""=>[""Essex Yeomanry""], ""context""=>[""joined""]}",2985684,Pozières,"[2.72929, 50.04047]"
18,AWD0000jon,diary,4,5,1917-11-13 00:00:00 UTC,13 Nov 1917,"","[0.0, 0.0]","",diaryDate,13 Nov 1917,"{""day""=>[""13""], ""month""=>[""Nov""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
