Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
6,AWD0000jqy,diary,1,5,1918-02-28 00:00:00 UTC,28 Feb 1918,"","[0.0, 0.0]","",diaryDate,28 Feb 1918,"{""day""=>[""28""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0000jqy,diary,1,6,1918-02-28 00:00:00 UTC,28 Feb 1918,"","[0.0, 0.0]","",person,Major WF Ricardo,"{""first""=>[""WF""], ""surname""=>[""Ricardo""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""returned_hospital""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0000jqy,diary,1,7,1918-02-28 00:00:00 UTC,28 Feb 1918,"","[0.0, 0.0]","",person,Lieutenant T H Simpkin,"{""first""=>[""T H""], ""surname""=>[""Simpkin""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0000jqy,diary,1,6,1918-02-28 00:00:00 UTC,28 Feb 1918,"","[0.0, 0.0]","",person,Lieutenant Colonel H Combe,"{""first""=>[""H""], ""surname""=>[""Combe""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0000jqy,diary,1,5,1918-02-28 00:00:00 UTC,28 Feb 1918,"","[0.0, 0.0]","",person,Captain W E Phipps,"{""first""=>[""W E""], ""surname""=>[""Phipps""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other"", ""departed_posted""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
17,AWD0000jqy,diary,1,2,1918-02-28 00:00:00 UTC,28 Feb 1918,"","[0.0, 0.0]","",person,Major H C Meredith,"{""first""=>[""H C""], ""surname""=>[""Meredith""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""author""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
1,AWD0000jr4,diary,5,7,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",diaryDate,1 Apr 1918,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0000jr4,diary,5,6,1918-04-01 05:30:00 UTC,1 Apr 1918,"","[0.0, 0.0]",0530AM,time,0530AM,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0000jr4,diary,5,6,1918-04-01 05:30:00 UTC,1 Apr 1918,"","[0.0, 0.0]",0530AM,activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0000jr4,diary,5,3,1918-04-01 05:30:00 UTC,1 Apr 1918,"","[0.0, 0.0]",0530AM,place,Boves,"{""place""=>[""Boves""], ""location""=>[""false""], ""name""=>[""Boves""], ""lat""=>[""49.84645""], ""long""=>[""2.39605""], ""id""=>[""3030659""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0000jr4,diary,5,3,1918-04-01 05:30:00 UTC,1 Apr 1918,Sains,"[2.31862, 49.81716]",0530AM,place,Sains,"{""place""=>[""Sains""], ""location""=>[""true""], ""name""=>[""Sains-en-Amiénois""], ""lat""=>[""49.81716""], ""long""=>[""2.31862""], ""id""=>[""2981942""]}",2981941,Sains-en-Gohelle,"[2.68301, 50.44512]"
8,AWD0000jr4,diary,5,2,1918-04-01 00:00:00 UTC,1 Apr 1918,Sains,"[2.31862, 49.81716]","",diaryDate,1 Apr 1918,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1918""]}",2981941,Sains-en-Gohelle,"[2.68301, 50.44512]"
9,AWD0000jr4,diary,5,4,1918-04-01 00:00:00 UTC,1 Apr 1918,Sains-en-Amienois,"[2.31862, 49.81716]","",place,Sains-en-Amienois,"{""place""=>[""Sains-en-Amienois""], ""location""=>[""true""], ""name""=>[""Sains-en-Amiénois"", """"], ""lat""=>[""49.81716"", """"], ""long""=>[""2.31862"", """"], ""id""=>[""2981942"", """"]}",2981942,Sains-en-Amiénois,"[2.31862, 49.81716]"
