Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
4,AWD0000lmw,cover,3,2,,,,[],,person,"Lieutenant Arthur F,Arthur Smith","{""first""=>[""Arthur F"", ""Arthur""], ""surname""=>[""Smith""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""author""], ""unit""=>["""", ""3rd Bn Coldstream Gds""]}",,,
3,AWD0000lob,"other, report",4,2,,,,[],,diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
7,AWD0000lob,"other, report",4,3,,,,[],,date,8 Aug 1914,{},,,
8,AWD0000lob,"other, report",4,4,,,,[],,person,"Lieutenant Colonel G P Feilding, Fielding","{""first""=>[""G P""], ""surname""=>[""Feilding"", ""Fielding""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
10,AWD0000lob,"other, report",4,4,,,,[],,person,Major T G Matheson,"{""first""=>[""T G""], ""surname""=>[""Matheson""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
12,AWD0000lob,"other, report",4,3,,,,[],,person,"Lieutenant J U F C,J V T C,J U Alexander","{""first""=>[""J U F C"", ""J V T C"", ""J U""], ""surname""=>[""Alexander""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
15,AWD0000lob,"other, report",4,3,,,,[],,person,"Lieutenant ,F T,J T Prichard","{""first""=>["""", ""F T"", ""J T""], ""surname""=>[""Prichard""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""3 battalion Coldstrem Guards"", """", ""3rd Bn Coldstream Gds""]}",,,
16,AWD0000lob,"other, report",4,3,,,,[],,person,Lieutenant H A Cubitt,"{""first""=>[""H A""], ""surname""=>[""Cubitt""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>["""", ""3 battalion Coldstrem Guards"", ""3rd Bn Coldstream Gds""]}",,,
21,AWD0000lob,"other, report",4,2,,,,[],,person,"Captain, J, ?, ","{""first""=>[""J"", """"], ""surname""=>[""?"", """"], ""rank""=>[""Captain"", """"], ""number""=>[""""], ""reason""=>[""joined"", ""author""], ""unit""=>[""1st Company, 3rd Bn Coldstream Gds"", """"]}",,,
22,AWD0000lob,"other, report",4,3,,,,[],,person,Captain R Whitbread,"{""first""=>[""R""], ""surname""=>[""Whitbread""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""3 battalion Coldstrem Guards"", """", ""3rd Bn Coldstream Gds""]}",,,
25,AWD0000lob,"other, report",4,3,,,,[],,person,"Lieutenant Hon R O D,ROD,R O Keppel","{""first""=>[""Hon R O D"", ""ROD"", ""R O""], ""surname""=>[""Keppel""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""3 battalion Coldstrem Guards"", ""1st Platoon, 3rd Bn Coldstream Gds"", """"]}",,,
27,AWD0000lob,"other, report",4,3,,,,[],,person,Lieutenant A Trotter,"{""first""=>[""A""], ""surname""=>[""Trotter""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""3 battalion Coldstrem Guards"", """", ""2nd Platoon, 3rd Bn Coldstream Gds""]}",,,
29,AWD0000lob,"other, report",4,3,,,,[],,person,Sergeant  Stanton,"{""first""=>[""""], ""surname""=>[""Stanton""], ""rank""=>[""Sergeant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""3 battalion Coldstrem Guards"", ""3rd Platoon, 3rd Bn Coldstream Gds"", """"]}",,,
31,AWD0000lob,"other, report",4,3,,,,[],,person,"Lieutenant ,G R F,SRT Rowley","{""first""=>["""", ""G R F"", ""SRT""], ""surname""=>[""Rowley""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""3 battalion Coldstrem Guards"", """", ""4th Platoon, 3rd Bn Coldstream Gds""]}",,,
32,AWD0000lob,"other, report",4,3,,,,[],,person,Captain C P Heywood,"{""first""=>[""C P""], ""surname""=>[""Heywood""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>["""", ""3 battalion Coldstrem Guards"", ""2nd Company, 3rd Bn Coldstream Gds""]}",,,
35,AWD0000lob,"other, report",4,3,,,,[],,person,"Captain J Brocklehunt, Brocklehurst, Brooklehurst","{""first""=>[""J""], ""surname""=>[""Brocklehunt"", ""Brocklehurst"", ""Brooklehurst""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""3 battalion Coldstrem Guards"", ""2nd Company, 3rd Bn Coldstream Gds"", """"]}",,,
37,AWD0000lob,"other, report",4,2,,,,[],,person,"Lieutenant J Higgs, Huggins","{""first""=>[""J""], ""surname""=>[""Higgs"", ""Huggins""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other"", ""joined""], ""unit""=>[""RAMC"", ""3rd Bn Coldstream Gds""]}",,,
39,AWD0000lob,"other, report",4,2,,,,[],,person,"Lieutenant Victor,Vinct Hawarden","{""first""=>[""Victor"", ""Vinct""], ""surname""=>[""Hawarden""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined"", ""other""], ""unit""=>[""5th Platoon, 3rd Bn Coldstream Gds"", """"]}",,,
43,AWD0000lob,"other, report",4,2,,,,[],,person,"Lieutenant A Wudeon_Clive, Wudoor-Clive","{""first""=>[""A""], ""surname""=>[""Wudeon_Clive"", ""Wudoor-Clive""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other"", ""joined""], ""unit""=>["""", ""6th Platoon, 3rd Bn Coldstream Gds""]}",,,
45,AWD0000lob,"other, report",4,3,,,,[],,person,"Lieutenant D C Bangham, Bingham, Bringham","{""first""=>[""D C""], ""surname""=>[""Bangham"", ""Bingham"", ""Bringham""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""M.G."", ""3 battalion Coldstrem Guards"", ""3rd Bn Coldstream Gds""]}",,,
