Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0000qm0,diary,4,2,1915-02-01 00:00:00 UTC,1 Feb 1915,"","[0.0, 0.0]","",diaryDate,1 Feb 1915,"{""day""=>[""1""], ""month""=>[""Feb""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0000qm0,diary,4,6,1915-02-01 00:00:00 UTC,1 Feb 1915,Canterbury,"[0.0, 0.0]","",place,Canterbury,"{""place""=>[""Canterbury""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2653877,Canterbury,"[1.07992, 51.27904]"
5,AWD0000qm0,diary,4,2,1915-02-01 00:00:00 UTC,1 Feb 1915,Canterbury,"[0.0, 0.0]","",place,Canterbury,"{""place""=>[""Canterbury""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Canterbury""], ""lat""=>["""", ""51.27904""], ""long""=>["""", ""1.07992""], ""id""=>["""", ""2653877""]}",2653877,Canterbury,"[1.07992, 51.27904]"
7,AWD0000qm0,diary,4,4,1915-02-01 00:00:00 UTC,1 Feb 1915,Canterbury,"[0.0, 0.0]","",diaryDate,1 Feb 1915,"{""day""=>[""1""], ""month""=>[""Feb""], ""year""=>[""1915""]}",2653877,Canterbury,"[1.07992, 51.27904]"
9,AWD0000qm0,diary,4,3,1915-02-02 00:00:00 UTC,2 Feb 1915,Canterbury,"[0.0, 0.0]","",diaryDate,2 Feb 1915,"{""day""=>[""2""], ""month""=>[""Feb""], ""year""=>[""1915""]}",2653877,Canterbury,"[1.07992, 51.27904]"
10,AWD0000qm0,diary,4,5,1915-02-02 00:00:00 UTC,2 Feb 1915,Canterbury,"[0.0, 0.0]","",place,Canterbury,"{""place""=>[""Canterbury""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2653877,Canterbury,"[1.07992, 51.27904]"
12,AWD0000qm0,diary,4,2,1915-02-02 00:00:00 UTC,2 Feb 1915,"cantebury, Canterbury","[0.0, 0.0]","",place,"cantebury, Canterbury","{""place""=>[""cantebury"", ""Canterbury""], ""location""=>[""true""], ""name""=>[""Richebourg"", ""Canterbury""], ""lat""=>[""48.02123"", ""51.27904""], ""long""=>[""5.05938"", ""1.07992""], ""id""=>[""2983661"", ""2653877""]}",2653877,Canterbury,"[1.07992, 51.27904]"
14,AWD0000qm0,diary,4,2,1915-02-02 00:00:00 UTC,2 Feb 1915,"cantebury, Canterbury","[0.0, 0.0]","",place,Canterbury,"{""place""=>[""Canterbury""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Canterbury""], ""lat""=>["""", ""51.27904""], ""long""=>["""", ""1.07992""], ""id""=>["""", ""2653877""]}",2653877,Canterbury,"[1.07992, 51.27904]"
15,AWD0000qm0,diary,4,3,1915-02-02 00:00:00 UTC,2 Feb 1915,"cantebury, Canterbury","[0.0, 0.0]","",diaryDate,2 Feb 1915,"{""day""=>[""2""], ""month""=>[""Feb""], ""year""=>[""1915""]}",2653877,Canterbury,"[1.07992, 51.27904]"
16,AWD0000qm0,diary,4,2,1915-02-02 00:00:00 UTC,2 Feb 1915,"cantebury, Canterbury","[0.0, 0.0]","",activity,quiet,{},2653877,Canterbury,"[1.07992, 51.27904]"
17,AWD0000qm0,diary,4,2,1915-02-03 00:00:00 UTC,3 Feb 1915,"cantebury, Canterbury","[0.0, 0.0]","",diaryDate,3 Feb 1915,"{""day""=>[""3""], ""month""=>[""Feb""], ""year""=>[""1915""]}",2653877,Canterbury,"[1.07992, 51.27904]"
19,AWD0000qm0,diary,4,8,1915-02-03 00:00:00 UTC,3 Feb 1915,Canterbury,"[0.0, 0.0]","",place,Canterbury,"{""place""=>[""Canterbury""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2653877,Canterbury,"[1.07992, 51.27904]"
20,AWD0000qm0,diary,4,3,1915-02-03 00:00:00 UTC,3 Feb 1915,Canterbury,"[0.0, 0.0]","",diaryDate,3 Feb 1915,"{""day""=>[""3""], ""month""=>[""Feb""], ""year""=>[""1915""]}",2653877,Canterbury,"[1.07992, 51.27904]"
22,AWD0000qm0,diary,4,2,1915-02-03 00:00:00 UTC,3 Feb 1915,Canterbury,"[0.0, 0.0]","",place,Sandwich,"{""place""=>[""Sandwich""], ""location""=>[""false"", ""true""], ""name""=>[""Sandwich"", """"], ""lat""=>[""51.27223"", """"], ""long""=>[""1.33776"", """"], ""id""=>[""2638542"", """"]}",2653877,Canterbury,"[1.07992, 51.27904]"
23,AWD0000qm0,diary,4,2,1915-02-03 00:00:00 UTC,3 Feb 1915,Canterbury,"[0.0, 0.0]","",activity,training,{},2653877,Canterbury,"[1.07992, 51.27904]"
1,AWD0000qny,diary,5,3,1915-02-04 00:00:00 UTC,4 Feb 1915,Canterbury,"[0.0, 0.0]","",diaryDate,4 Feb 1915,"{""day""=>[""4""], ""month""=>[""Feb""], ""year""=>[""1915""]}",2653877,Canterbury,"[1.07992, 51.27904]"
2,AWD0000qny,diary,5,2,1915-04-02 00:00:00 UTC,2 Apr 1915,Canterbury,"[0.0, 0.0]","",diaryDate,2 Apr 1915,"{""day""=>[""2""], ""month""=>[""Apr""], ""year""=>[""1915""]}",2653877,Canterbury,"[1.07992, 51.27904]"
3,AWD0000qny,diary,5,7,1915-04-02 00:00:00 UTC,2 Apr 1915,Canterbury,"[0.0, 0.0]","",place,Canterbury,"{""place""=>[""Canterbury""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2653877,Canterbury,"[1.07992, 51.27904]"
5,AWD0000qny,diary,5,2,1915-04-02 00:00:00 UTC,2 Apr 1915,Canterbury,"[0.0, 0.0]","",place,Canterbury,"{""place""=>[""Canterbury""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Canterbury""], ""lat""=>["""", ""51.27904""], ""long""=>["""", ""1.07992""], ""id""=>["""", ""2653877""]}",2653877,Canterbury,"[1.07992, 51.27904]"
6,AWD0000qny,diary,5,2,1915-04-02 00:00:00 UTC,2 Apr 1915,Canterbury,"[0.0, 0.0]","",activity,quiet,{},2653877,Canterbury,"[1.07992, 51.27904]"
7,AWD0000qny,diary,5,2,1915-02-04 00:00:00 UTC,4 Feb 1915,Canterbury,"[0.0, 0.0]","",diaryDate,4 Feb 1915,"{""day""=>[""4""], ""month""=>[""Feb""], ""year""=>[""1915""]}",2653877,Canterbury,"[1.07992, 51.27904]"
8,AWD0000qny,diary,5,3,1915-02-05 00:00:00 UTC,5 Feb 1915,Canterbury,"[0.0, 0.0]","",diaryDate,5 Feb 1915,"{""day""=>[""5""], ""month""=>[""Feb""], ""year""=>[""1915""]}",2653877,Canterbury,"[1.07992, 51.27904]"
9,AWD0000qny,diary,5,2,1915-02-05 00:00:00 UTC,5 Feb 1915,Canterbury,"[0.0, 0.0]","",place,"Canterbury, england","{""place""=>[""Canterbury, england""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2653877,Canterbury,"[1.07992, 51.27904]"
10,AWD0000qny,diary,5,2,1915-05-02 00:00:00 UTC,2 May 1915,Canterbury,"[0.0, 0.0]","",diaryDate,2 May 1915,"{""day""=>[""2""], ""month""=>[""May""], ""year""=>[""1915""]}",2653877,Canterbury,"[1.07992, 51.27904]"
11,AWD0000qny,diary,5,4,1915-05-02 00:00:00 UTC,2 May 1915,Canterbury,"[0.0, 0.0]","",place,"Canterbury, cantebury","{""place""=>[""Canterbury"", ""cantebury""], ""location""=>[""true"", ""false""], ""name""=>[""Richebourg""], ""lat""=>[""48.02123""], ""long""=>[""5.05938""], ""id""=>[""2983661""]}",2653877,Canterbury,"[1.07992, 51.27904]"
13,AWD0000qny,diary,5,2,1915-05-02 00:00:00 UTC,2 May 1915,Canterbury,"[0.0, 0.0]","",place,Canterbury,"{""place""=>[""Canterbury""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Canterbury""], ""lat""=>["""", ""51.27904""], ""long""=>["""", ""1.07992""], ""id""=>["""", ""2653877""]}",2653877,Canterbury,"[1.07992, 51.27904]"
14,AWD0000qny,diary,5,2,1915-05-02 00:00:00 UTC,2 May 1915,Canterbury,"[0.0, 0.0]","",activity,quiet,{},2653877,Canterbury,"[1.07992, 51.27904]"
15,AWD0000qny,diary,5,2,1915-02-05 00:00:00 UTC,5 Feb 1915,Canterbury,"[0.0, 0.0]","",diaryDate,5 Feb 1915,"{""day""=>[""5""], ""month""=>[""Feb""], ""year""=>[""1915""]}",2653877,Canterbury,"[1.07992, 51.27904]"
16,AWD0000qny,diary,5,2,1915-02-05 00:00:00 UTC,5 Feb 1915,Canterbury,"[1.07992, 51.27904]","",place,Canterbury,"{""place""=>[""Canterbury""], ""location""=>[""true""], ""name""=>[""Canterbury""], ""lat""=>[""51.27904""], ""long""=>[""1.07992""], ""id""=>[""2653877""]}",2653877,Canterbury,"[1.07992, 51.27904]"
17,AWD0000qny,diary,5,3,1915-02-06 00:00:00 UTC,6 Feb 1915,Canterbury,"[1.07992, 51.27904]","",diaryDate,6 Feb 1915,"{""day""=>[""6""], ""month""=>[""Feb""], ""year""=>[""1915""]}",2653877,Canterbury,"[1.07992, 51.27904]"
18,AWD0000qny,diary,5,2,1915-06-02 00:00:00 UTC,2 Jun 1915,Canterbury,"[1.07992, 51.27904]","",diaryDate,2 Jun 1915,"{""day""=>[""2""], ""month""=>[""Jun""], ""year""=>[""1915""]}",2653877,Canterbury,"[1.07992, 51.27904]"
19,AWD0000qny,diary,5,4,1915-06-02 00:00:00 UTC,2 Jun 1915,Canterbury,"[1.07992, 51.27904]","",place,"Canterbury, england","{""place""=>[""Canterbury, england""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2653877,Canterbury,"[1.07992, 51.27904]"
20,AWD0000qny,diary,5,4,1915-06-02 00:00:00 UTC,2 Jun 1915,"Canterbury, cantebury","[5.05938, 48.02123]","",place,"Canterbury, cantebury","{""place""=>[""Canterbury"", ""cantebury""], ""location""=>[""true""], ""name""=>[""Richebourg""], ""lat""=>[""48.02123""], ""long""=>[""5.05938""], ""id""=>[""2983661""]}",2653877,Canterbury,"[1.07992, 51.27904]"
