Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0000vko,diary,310,6,1916-05-01 00:00:00 UTC,1 May 1916,"","[0.0, 0.0]","",diaryDate,1 May 1916,"{""day""=>[""1""], ""month""=>[""May""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0000vko,diary,310,6,1916-05-01 00:00:00 UTC,1 May 1916,Bernieulles,"[1.77381, 50.55455]","",place,Bernieulles,"{""place""=>[""Bernieulles""], ""location""=>[""true""], ""name""=>[""Bernieulles""], ""lat""=>[""50.55455""], ""long""=>[""1.77381""], ""id""=>[""3033270""]}",3033270,Bernieulles,"[1.77381, 50.55455]"
4,AWD0000vko,diary,310,2,1916-05-01 00:00:00 UTC,1 May 1916,Bernieulles,"[1.77381, 50.55455]","",activity,training,{},3033270,Bernieulles,"[1.77381, 50.55455]"
6,AWD0000vko,diary,310,4,1916-05-01 08:30:00 UTC,1 May 1916,Bernieulles,"[1.77381, 50.55455]",0830AM,time,0830AM,{},3033270,Bernieulles,"[1.77381, 50.55455]"
9,AWD0000vko,diary,310,2,1916-05-01 08:30:00 UTC,1 May 1916,Bernieulles,"[1.77381, 50.55455]",0830AM,activity,attack,{},3033270,Bernieulles,"[1.77381, 50.55455]"
11,AWD0000vko,diary,310,4,1916-05-01 08:30:00 UTC,1 May 1916,Bernieulles,"[1.77381, 50.55455]",0830AM,place,Bernieulles,"{""place""=>[""Bernieulles""], ""location""=>[""false""], ""name""=>[""Bernieulles""], ""lat""=>[""50.55455""], ""long""=>[""1.77381""], ""id""=>[""3033270""]}",3033270,Bernieulles,"[1.77381, 50.55455]"
12,AWD0000vko,diary,310,4,1916-05-01 08:30:00 UTC,1 May 1916,Bernieulles,"[1.77381, 50.55455]",0830AM,place,Frencq,"{""place""=>[""Frencq""], ""location""=>[""false""], ""name""=>[""Frencq""], ""lat""=>[""50.56067""], ""long""=>[""1.69928""], ""id""=>[""3017226""]}",3033270,Bernieulles,"[1.77381, 50.55455]"
21,AWD0000vko,diary,310,5,1916-05-01 08:30:00 UTC,1 May 1916,Bernieulles,"[1.77381, 50.55455]",0830AM,person,Lieutenant R Gordon-Munro,"{""first""=>[""R""], ""surname""=>[""Gordon-Munro""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3033270,Bernieulles,"[1.77381, 50.55455]"
24,AWD0000vko,diary,310,7,1916-05-01 08:30:00 UTC,1 May 1916,Bernieulles,"[1.77381, 50.55455]",0830AM,person,Second Lieutenant E G Worlock,"{""first""=>[""E G""], ""surname""=>[""Worlock""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""A Squadron""]}",3033270,Bernieulles,"[1.77381, 50.55455]"
25,AWD0000vko,diary,310,7,1916-05-01 08:30:00 UTC,1 May 1916,Bernieulles,"[1.77381, 50.55455]",0830AM,person,Second Lieutenant B S V Emsell,"{""first""=>[""B S V""], ""surname""=>[""Emsell""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3033270,Bernieulles,"[1.77381, 50.55455]"
