Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0000vsi,diary,4,5,1915-04-06 00:00:00 UTC,6 Apr 1915,"","[0.0, 0.0]","",diaryDate,6 Apr 1915,"{""day""=>[""6""], ""month""=>[""Apr""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0000vsi,diary,4,2,1915-04-06 00:00:00 UTC,6 Apr 1915,"","[0.0, 0.0]","",activity,other,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0000vsi,diary,4,5,1915-04-06 00:00:00 UTC,6 Apr 1915,Monchy-Lagache,"[3.04501, 49.85151]","",place,Monchy-Lagache,"{""place""=>[""Monchy-Lagache""], ""location""=>[""true""], ""name""=>[""Monchy-Lagache""], ""lat""=>[""49.85151""], ""long""=>[""3.04501""], ""id""=>[""2993392""]}",2993392,Monchy-Lagache,"[3.04501, 49.85151]"
5,AWD0000vsi,diary,4,5,1915-04-06 04:30:00 UTC,6 Apr 1915,Monchy-Lagache,"[3.04501, 49.85151]",0430AM,time,0430AM,{},2993392,Monchy-Lagache,"[3.04501, 49.85151]"
8,AWD0000vsi,diary,4,2,1915-04-06 04:30:00 UTC,6 Apr 1915,Monchy-Lagache,"[3.04501, 49.85151]",0430AM,activity,movement,{},2993392,Monchy-Lagache,"[3.04501, 49.85151]"
9,AWD0000vsi,diary,4,7,1915-04-06 09:30:00 UTC,6 Apr 1915,Monchy-Lagache,"[3.04501, 49.85151]",0930AM,time,0930AM,{},2993392,Monchy-Lagache,"[3.04501, 49.85151]"
10,AWD0000vsi,diary,4,7,1915-04-06 09:30:00 UTC,6 Apr 1915,Monchy-Lagache,"[3.04501, 49.85151]",0930AM,activity,movement,{},2993392,Monchy-Lagache,"[3.04501, 49.85151]"
11,AWD0000vsi,diary,4,5,1915-04-06 09:30:00 UTC,6 Apr 1915,Roisel,"[3.09973, 49.94768]",0930AM,place,Roisel,"{""place""=>[""Roisel""], ""location""=>[""true""], ""name""=>[""Roisel""], ""lat""=>[""49.94768""], ""long""=>[""3.09973""], ""id""=>[""2983077""]}",2983077,Roisel,"[3.09973, 49.94768]"
12,AWD0000vsi,diary,4,6,1915-04-06 09:30:00 UTC,6 Apr 1915,Epehy,"[3.13333, 50.0]",0930AM,place,Epehy,"{""place""=>[""Epehy""], ""location""=>[""true""], ""name""=>[""Épehy""], ""lat""=>[""50""], ""long""=>[""3.13333""], ""id""=>[""3020077""]}",3020077,Épehy,"[3.13333, 50.0]"
13,AWD0000vsi,diary,4,7,1915-04-06 09:30:00 UTC,6 Apr 1915,Bantouzelle,"[3.20585, 50.06074]",0930AM,place,Bantouzelle,"{""place""=>[""Bantouzelle""], ""location""=>[""true""], ""name""=>[""Bantouzelle""], ""lat""=>[""50.06074""], ""long""=>[""3.20585""], ""id""=>[""3035100""]}",3035100,Bantouzelle,"[3.20585, 50.06074]"
14,AWD0000vsi,diary,4,3,1915-04-06 09:30:00 UTC,6 Apr 1915,Bantouzelle,"[3.20585, 50.06074]",0930AM,domestic,accomodation,{},3035100,Bantouzelle,"[3.20585, 50.06074]"
15,AWD0000vsi,diary,4,4,1915-04-06 09:30:00 UTC,6 Apr 1915,Bantouzelle,"[3.20585, 50.06074]",0930AM,person,Major V N Lockett,"{""first""=>[""V N""], ""surname""=>[""Lockett""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",3035100,Bantouzelle,"[3.20585, 50.06074]"
18,AWD0000vsi,diary,4,3,1915-04-06 09:30:00 UTC,6 Apr 1915,Bantouzelle,"[3.20585, 50.06074]",0930AM,person,"Lieutenant Colonel A W Parsons D.S.O., Parsons D S O, Parsons","{""first""=>[""A W""], ""surname""=>[""Parsons D.S.O."", ""Parsons D S O"", ""Parsons""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""2nd Cavalry Brigade"", ""2nd Cav Brigd"", ""2nd Cav Bde""]}",3035100,Bantouzelle,"[3.20585, 50.06074]"
22,AWD0000vsi,diary,4,4,1915-04-06 09:30:00 UTC,6 Apr 1915,Bantouzelle,"[3.20585, 50.06074]",0930AM,person,Lieutenant J A L Powell,"{""first""=>[""J A L""], ""surname""=>[""Powell""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""9th Sig Troop""]}",3035100,Bantouzelle,"[3.20585, 50.06074]"
23,AWD0000vsi,diary,4,5,1915-04-07 00:00:00 UTC,7 Apr 1915,Bantouzelle,"[3.20585, 50.06074]","",diaryDate,7 Apr 1915,"{""day""=>[""7""], ""month""=>[""Apr""], ""year""=>[""1915""]}",3035100,Bantouzelle,"[3.20585, 50.06074]"
24,AWD0000vsi,diary,4,7,1915-04-07 00:00:00 UTC,7 Apr 1915,Bantouzelle,"[3.20585, 50.06074]","",activity,movement,{},3035100,Bantouzelle,"[3.20585, 50.06074]"
25,AWD0000vsi,diary,4,6,1915-04-07 00:00:00 UTC,7 Apr 1915,Bantouzelle,"[3.20585, 50.06074]","",place,Bantouzelle,"{""place""=>[""Bantouzelle""], ""location""=>[""false"", ""true""], ""name""=>[""Bantouzelle""], ""lat""=>[""50.06074""], ""long""=>[""3.20585""], ""id""=>[""3035100""]}",3035100,Bantouzelle,"[3.20585, 50.06074]"
26,AWD0000vsi,diary,4,7,1915-04-07 00:00:00 UTC,7 Apr 1915,Cambrai,"[3.23333, 50.16667]","",place,Cambrai,"{""place""=>[""Cambrai""], ""location""=>[""true""], ""name""=>[""Cambrai""], ""lat""=>[""50.16667""], ""long""=>[""3.23333""], ""id""=>[""3029030""]}",3029030,Cambrai,"[3.23333, 50.16667]"
27,AWD0000vsi,diary,4,7,1915-04-07 00:00:00 UTC,7 Apr 1915,Brunemont,"[3.13845, 50.27276]","",place,Brunemont,"{""place""=>[""Brunemont""], ""location""=>[""true""], ""name""=>[""Brunémont""], ""lat""=>[""50.27276""], ""long""=>[""3.13845""], ""id""=>[""3029756""]}",3029756,Brunémont,"[3.13845, 50.27276]"
28,AWD0000vsi,diary,4,4,1915-04-07 16:15:00 UTC,7 Apr 1915,Brunemont,"[3.13845, 50.27276]",0415PM,time,0415PM,{},3029756,Brunémont,"[3.13845, 50.27276]"
30,AWD0000vsi,diary,4,4,1915-04-07 16:15:00 UTC,7 Apr 1915,Brunemont,"[3.13845, 50.27276]",0415PM,person,Sergeant  Hart,"{""first""=>[""""], ""surname""=>[""Hart""], ""rank""=>[""Sergeant""], ""number""=>[""""], ""reason""=>[""departed_training""], ""unit""=>[""""]}",3029756,Brunémont,"[3.13845, 50.27276]"
31,AWD0000vsi,diary,4,5,1915-04-08 00:00:00 UTC,8 Apr 1915,Brunemont,"[3.13845, 50.27276]","",diaryDate,8 Apr 1915,"{""day""=>[""8""], ""month""=>[""Apr""], ""year""=>[""1915""]}",3029756,Brunémont,"[3.13845, 50.27276]"
32,AWD0000vsi,diary,4,5,1915-04-08 00:00:00 UTC,8 Apr 1915,Brunemont,"[3.13845, 50.27276]","",activity,movement,{},3029756,Brunémont,"[3.13845, 50.27276]"
33,AWD0000vsi,diary,4,3,1915-04-08 00:00:00 UTC,8 Apr 1915,Brunemont,"[3.13845, 50.27276]","",place,Cantin,"{""place""=>[""Cantin""], ""location""=>[""false""], ""name""=>[""Cantin""], ""lat""=>[""50.30885""], ""long""=>[""3.12766""], ""id""=>[""3028767""]}",3029756,Brunémont,"[3.13845, 50.27276]"
35,AWD0000vsi,diary,4,3,1915-04-08 00:00:00 UTC,8 Apr 1915,Brunemont,"[3.13845, 50.27276]","",place,Racquet,"{""place""=>[""Racquet""], ""location""=>[""false""], ""name""=>[""Douai""], ""lat""=>[""50.36667""], ""long""=>[""3.06667""], ""id""=>[""3021000""]}",3029756,Brunémont,"[3.13845, 50.27276]"
36,AWD0000vsi,diary,4,4,1915-04-08 00:00:00 UTC,8 Apr 1915,Brunemont,"[3.13845, 50.27276]","",place,Pont-A-Marcq,"{""place""=>[""Pont-A-Marcq""], ""location""=>[""true"", ""false""], ""name""=>[""Pont-à-Marcq""], ""lat""=>[""50.52213""], ""long""=>[""3.11441""], ""id""=>[""2986307""]}",3029756,Brunémont,"[3.13845, 50.27276]"
37,AWD0000vsi,diary,4,5,1915-04-08 00:00:00 UTC,8 Apr 1915,Ennevelin,"[3.12972, 50.54121]","",place,Ennevelin,"{""place""=>[""Ennevelin""], ""location""=>[""true""], ""name""=>[""Ennevelin""], ""lat""=>[""50.54121""], ""long""=>[""3.12972""], ""id""=>[""3020165""]}",3020165,Ennevelin,"[3.12972, 50.54121]"
38,AWD0000vsi,diary,4,2,1915-04-08 00:00:00 UTC,8 Apr 1915,Ennevelin,"[3.12972, 50.54121]","",domestic,accomodation,{},3020165,Ennevelin,"[3.12972, 50.54121]"
