Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
6,AWD0000zai,report,6,4,,,,[],,date,14 Sep 1914,{},,,
7,AWD0000zai,report,6,2,,,,[],,diaryDate,14 Sep 1914,"{""day""=>[""14""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
9,AWD0000zai,report,6,3,,,,[],,place,Paissy,"{""place""=>[""Paissy""], ""location""=>[""true""], ""name""=>[""Paissy""], ""lat""=>[""49.42535""], ""long""=>[""3.69726""], ""id""=>[""2988784""]}",,,
10,AWD0000zai,report,6,3,,,,[],,time,0545AM,{},,,
11,AWD0000zai,report,6,3,,,,[],,place,Vendresse,"{""place""=>[""Vendresse""], ""location""=>[""true""], ""name""=>[""Vendresse""], ""lat""=>[""49.60321""], ""long""=>[""4.79364""], ""id""=>[""2970101""]}",,,
16,AWD0000zai,report,6,2,,,,[],,person,Sergeant  Cunningham,"{""first""=>[""""], ""surname""=>[""Cunningham""], ""rank""=>[""Sergeant""], ""number""=>[""""], ""reason""=>[""casualty_kia""], ""unit""=>[""C Company 1 Cameron Highlanders"", """"]}",,,
21,AWD0000zai,report,6,3,,,,[],,place,Troyon Factory,"{""place""=>[""Troyon Factory""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
5,AWD0000zau,report,7,2,,,,[],,person,  ,"{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""B. Coy"", ""A. Coy""]}",,,
8,AWD0000zau,report,7,2,,,,[],,place,Chivy,"{""place""=>[""Chivy""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
11,AWD0000zau,report,7,2,,,,[],,place,Le Blanc Mont,"{""place""=>[""Le Blanc Mont""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
11,AWD0000zaa,report,8,2,,,,[],,place,Chivy Chemin,"{""place""=>[""Chivy Chemin""], ""location""=>[""false""], ""name""=>[""Vendresse""], ""lat""=>[""49.60321""], ""long""=>[""4.79364""], ""id""=>[""2970101""]}",,,
8,AWD0000zbe,report,9,4,,,,[],,person,Lieutenant J S M Macheson,"{""first""=>[""J S M""], ""surname""=>[""Macheson""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""casualty_wounded""], ""unit""=>[""""]}",,,
10,AWD0000zbe,report,9,4,,,,[],,person,"Lieutenant,Second Lieutenant A G Smith-Sligo, Smith - Sligo, SMITH-SLIGO, Smith-Haige","{""first""=>[""A G""], ""surname""=>[""Smith-Sligo"", ""Smith - Sligo"", ""SMITH-SLIGO"", ""Smith-Haige""], ""rank""=>[""Lieutenant"", ""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
2,AWD0000zbk,report,10,2,,,,[],,reference,continuation,{},,,
8,AWD0000zbk,report,10,5,,,,[],,person,Major A H Maitland,"{""first""=>[""A H""], ""surname""=>[""Maitland""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""casualty_kia""], ""unit""=>[""""]}",,,
10,AWD0000zbk,report,10,6,,,,[],,person,Second Lieutenant A S NICHOLSON,"{""first""=>[""A S""], ""surname""=>[""NICHOLSON""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""casualty_wounded""], ""unit""=>[""""]}",,,
3,AWD0000zag,report,11,2,,,,[],,date,14 Sep 1914,{},,,
11,AWD0000zag,report,11,4,,,,[],,person,"other John,JOHN,Sir John,SIR JOHN French, FRENCH","{""first""=>[""John"", ""JOHN"", ""Sir John"", ""SIR JOHN""], ""surname""=>[""French"", ""FRENCH""], ""rank""=>[""other""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
13,AWD0000zag,report,11,2,,,,[],,date,20 Sep 1914,{},,,
2,AWD0000zba,diary,12,2,,"","","[0.0, 0.0]","",date,18 Sep 1914,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0000zba,diary,12,4,1914-09-18 00:00:00 UTC,18 Sep 1914,"","[0.0, 0.0]","",diaryDate,18 Sep 1914,"{""day""=>[""18""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0000zba,diary,12,3,1914-09-18 00:00:00 UTC,18 Sep 1914,"","[0.0, 0.0]","",activity,fire,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0000zba,diary,12,3,1914-09-18 00:00:00 UTC,18 Sep 1914,"","[0.0, 0.0]","",place,Vendresse,"{""place""=>[""Vendresse""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0000zba,diary,12,2,1914-09-18 00:00:00 UTC,18 Sep 1914,"","[0.0, 0.0]","",casualties,"killed: 2, wounded: 10",{},2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0000zba,diary,12,4,1914-09-19 00:00:00 UTC,19 Sep 1914,"","[0.0, 0.0]","",diaryDate,19 Sep 1914,"{""day""=>[""19""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0000zba,diary,12,2,1914-09-19 00:00:00 UTC,19 Sep 1914,"","[0.0, 0.0]","",date,19 Sep 1914,{},2985684,Pozières,"[2.72929, 50.04047]"
