Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0000zq5,diary,2,6,1919-03-01 00:00:00 UTC,1 Mar 1919,"","[0.0, 0.0]","",diaryDate,1 Mar 1919,"{""day""=>[""1""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0000zq5,diary,2,2,1919-03-01 00:00:00 UTC,1 Mar 1919,"","[0.0, 0.0]","",domestic,accomodation,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0000zq5,diary,2,9,1919-03-01 00:00:00 UTC,1 Mar 1919,Waldorf,"[0.0, 0.0]","",place,Waldorf,"{""place""=>[""Waldorf""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2814839,Waldorf,"[6.94936, 50.7613]"
6,AWD0000zq5,diary,2,2,1919-03-01 00:00:00 UTC,1 Mar 1919,Waldorf,"[0.0, 0.0]","",activity,other,{},2814839,Waldorf,"[6.94936, 50.7613]"
7,AWD0000zq5,diary,2,3,1919-03-22 00:00:00 UTC,22 Mar 1919,Waldorf,"[0.0, 0.0]","",diaryDate,22 Mar 1919,"{""day""=>[""22""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2814839,Waldorf,"[6.94936, 50.7613]"
9,AWD0000zq5,diary,2,7,1919-03-23 00:00:00 UTC,23 Mar 1919,Waldorf,"[0.0, 0.0]","",diaryDate,23 Mar 1919,"{""day""=>[""23""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2814839,Waldorf,"[6.94936, 50.7613]"
11,AWD0000zq5,diary,2,2,1919-03-23 00:00:00 UTC,23 Mar 1919,Waldorf,"[0.0, 0.0]","",strength,"officer: 12, other: 161",{},2814839,Waldorf,"[6.94936, 50.7613]"
12,AWD0000zq5,diary,2,5,1919-03-24 00:00:00 UTC,24 Mar 1919,Waldorf,"[0.0, 0.0]","",diaryDate,24 Mar 1919,"{""day""=>[""24""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2814839,Waldorf,"[6.94936, 50.7613]"
13,AWD0000zq5,diary,2,6,1919-03-24 00:00:00 UTC,24 Mar 1919,Waldorf,"[0.0, 0.0]","",activity,training,{},2814839,Waldorf,"[6.94936, 50.7613]"
14,AWD0000zq5,diary,2,3,1919-03-24 00:00:00 UTC,24 Mar 1919,Waldorf,"[0.0, 0.0]","",domestic,sport,{},2814839,Waldorf,"[6.94936, 50.7613]"
16,AWD0000zq5,diary,2,2,1919-03-24 00:00:00 UTC,24 Mar 1919,Waldorf,"[0.0, 0.0]","",activity,training,{},2814839,Waldorf,"[6.94936, 50.7613]"
18,AWD0000zq5,diary,2,4,1919-03-31 00:00:00 UTC,31 Mar 1919,Waldorf,"[0.0, 0.0]","",diaryDate,31 Mar 1919,"{""day""=>[""31""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2814839,Waldorf,"[6.94936, 50.7613]"
