Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0000zzu,diary,159,4,1914-08-04 00:00:00 UTC,4 Aug 1914,"","[0.0, 0.0]","",diaryDate,4 Aug 1914,"{""day""=>[""4""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0000zzu,diary,159,4,1914-08-17 00:00:00 UTC,17 Aug 1914,"","[0.0, 0.0]","",diaryDate,17 Aug 1914,"{""day""=>[""17""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0000zzu,diary,159,3,1914-08-17 00:00:00 UTC,17 Aug 1914,"","[0.0, 0.0]","",domestic,accomodation,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0000zzu,diary,159,4,1914-08-17 00:00:00 UTC,17 Aug 1914,"","[0.0, 0.0]","",place,Watford,"{""place""=>[""Watford""], ""location""=>[""true"", ""false""], ""name""=>[""Watford""], ""lat""=>[""51.65531""], ""long""=>[""-0.39602""], ""id""=>[""2634677""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0000zzu,diary,159,3,1914-08-17 00:00:00 UTC,17 Aug 1914,"","[0.0, 0.0]","",place,"St. Albans, St Albans, Saint Albans","{""place""=>[""St. Albans"", ""St Albans"", ""Saint Albans""], ""location""=>[""false""], ""name""=>[""Saint Albans""], ""lat""=>[""51.75""], ""long""=>[""-0.33333""], ""id""=>[""2638867""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0000zzu,diary,159,4,1914-09-15 00:00:00 UTC,15 Sep 1914,"","[0.0, 0.0]","",diaryDate,15 Sep 1914,"{""day""=>[""15""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0000zzu,diary,159,9,1914-09-15 00:00:00 UTC,15 Sep 1914,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0000zzu,diary,159,2,1914-09-15 00:00:00 UTC,15 Sep 1914,"","[0.0, 0.0]","",place,"Southhampton, Southampton","{""place""=>[""Southhampton"", ""Southampton""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Southampton""], ""lat""=>["""", ""50.90395""], ""long""=>["""", ""-1.40428""], ""id""=>["""", ""2637487""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0000zzu,diary,159,2,1914-09-15 00:00:00 UTC,15 Sep 1914,"","[0.0, 0.0]","",place,"SS. WINEFREDIAN, S.S. Winifredian","{""place""=>[""SS. WINEFREDIAN"", ""S.S. Winifredian""], ""location""=>[""false""], ""name""=>[""Southampton"", ""Saint Albans""], ""lat""=>[""50.90395"", ""51.75""], ""long""=>[""-1.40428"", ""-0.33333""], ""id""=>[""2637487"", ""2638867""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0000zzu,diary,159,3,1914-09-15 00:00:00 UTC,15 Sep 1914,"","[0.0, 0.0]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""false""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0000zzu,diary,159,5,1914-09-15 00:00:00 UTC,15 Sep 1914,"","[0.0, 0.0]","",strength,"officer: 31, other: 921",{},2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0000zzu,diary,159,5,1914-09-15 00:00:00 UTC,15 Sep 1914,"","[0.0, 0.0]","",person,"Sergeant  Barz, May, MAI, Barr, Bar","{""first""=>[""""], ""surname""=>[""Barz"", ""May"", ""MAI"", ""Barr"", ""Bar""], ""rank""=>[""Sergeant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
18,AWD0000zzu,diary,159,2,1914-09-15 00:00:00 UTC,15 Sep 1914,"S.S  WINEFREDIAN, S.S. Winifredian","[3.26393, 49.17012]","",place,"S.S  WINEFREDIAN, S.S. Winifredian","{""place""=>[""S.S  WINEFREDIAN"", ""S.S. Winifredian""], ""location""=>[""true""], ""name""=>[""Neuilly-Saint-Front"", """"], ""lat""=>[""49.17012"", """"], ""long""=>[""3.26393"", """"], ""id""=>[""2990615"", """"]}",,,
19,AWD0000zzu,diary,159,5,1914-09-15 00:00:00 UTC,15 Sep 1914,"S.S  WINEFREDIAN, S.S. Winifredian","[3.26393, 49.17012]","",person,Corporal  Coates,"{""first""=>[""""], ""surname""=>[""Coates""], ""rank""=>[""Corporal""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
22,AWD0000zzu,diary,159,3,1914-09-16 00:00:00 UTC,16 Sep 1914,"S.S  WINEFREDIAN, S.S. Winifredian","[3.26393, 49.17012]","",diaryDate,16 Sep 1914,"{""day""=>[""16""], ""month""=>[""Sep""], ""year""=>[""1914""]}",,,
23,AWD0000zzu,diary,159,3,1914-09-16 07:00:00 UTC,16 Sep 1914,"S.S  WINEFREDIAN, S.S. Winifredian","[3.26393, 49.17012]",0700AM,time,0700AM,{},,,
24,AWD0000zzu,diary,159,5,1914-09-16 07:00:00 UTC,16 Sep 1914,"S.S  WINEFREDIAN, S.S. Winifredian","[3.26393, 49.17012]",0700AM,place,Havre,"{""place""=>[""Havre""], ""location""=>[""false""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",,,
25,AWD0000zzu,diary,159,3,1914-09-16 07:00:00 UTC,16 Sep 1914,"S.S  WINEFREDIAN, S.S. Winifredian","[3.26393, 49.17012]",0700AM,person,"Captain  MacNab, MacNale, Mac Nab","{""first""=>[""""], ""surname""=>[""MacNab"", ""MacNale"", ""Mac Nab""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""R A M C""]}",,,
28,AWD0000zzu,diary,159,5,1914-09-16 07:00:00 UTC,16 Sep 1914,"S.S  WINEFREDIAN, S.S. Winifredian","[3.26393, 49.17012]",0700AM,activity,movement,{},,,
29,AWD0000zzu,diary,159,4,1914-09-16 07:00:00 UTC,16 Sep 1914,"S.S  WINEFREDIAN, S.S. Winifredian","[3.26393, 49.17012]",0700AM,place,Le Mans,"{""place""=>[""Le Mans""], ""location""=>[""false""], ""name""=>[""Le Mans""], ""lat""=>[""48""], ""long""=>[""0.2""], ""id""=>[""3003603""]}",,,
30,AWD0000zzu,diary,159,4,1914-09-16 07:00:00 UTC,16 Sep 1914,"S.S  WINEFREDIAN, S.S. Winifredian","[3.26393, 49.17012]",0700AM,person,Sergeant  Wright,"{""first""=>[""""], ""surname""=>[""Wright""], ""rank""=>[""Sergeant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
31,AWD0000zzu,diary,159,3,1914-09-16 07:00:00 UTC,16 Sep 1914,"S.S  WINEFREDIAN, S.S. Winifredian","[3.26393, 49.17012]",0700AM,person,Private  Grant,"{""first""=>[""""], ""surname""=>[""Grant""], ""rank""=>[""Private""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
35,AWD0000zzu,diary,159,4,1914-09-16 07:00:00 UTC,16 Sep 1914,"S.S  WINEFREDIAN, S.S. Winifredian","[3.26393, 49.17012]",0700AM,person,Major B S Green,"{""first""=>[""B S""], ""surname""=>[""Green""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
