Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD000105u,diary,612,8,1915-03-12 00:00:00 UTC,12 Mar 1915,"","[0.0, 0.0]","",diaryDate,12 Mar 1915,"{""day""=>[""12""], ""month""=>[""Mar""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD000105u,diary,612,8,1915-03-12 00:00:00 UTC,12 Mar 1915,Tunbridge Wells,"[0.26333, 51.13245]","",place,Tunbridge Wells,"{""place""=>[""Tunbridge Wells""], ""location""=>[""true""], ""name""=>[""Royal Tunbridge Wells""], ""lat""=>[""51.13245""], ""long""=>[""0.26333""], ""id""=>[""2639022""]}",,,
3,AWD000105u,diary,612,2,1915-03-12 00:00:00 UTC,12 Mar 1915,Tunbridge Wells,"[0.26333, 51.13245]","",strength,"officer: 29, nco: 947",{},,,
4,AWD000105u,diary,612,7,1915-03-12 00:00:00 UTC,12 Mar 1915,Tunbridge Wells,"[0.26333, 51.13245]","",activity,movement,{},,,
5,AWD000105u,diary,612,4,1915-03-12 00:00:00 UTC,12 Mar 1915,Tunbridge Wells,"[0.26333, 51.13245]","",strength,"officer: 29, other: 947",{},,,
9,AWD000105u,diary,612,3,1915-03-12 00:00:00 UTC,12 Mar 1915,Tunbridge Wells,"[0.26333, 51.13245]","",diaryDate,12 Mar 1915,"{""day""=>[""12""], ""month""=>[""Mar""], ""year""=>[""1915""]}",,,
10,AWD000105u,diary,612,6,1915-03-12 00:00:00 UTC,12 Mar 1915,Southampton,"[-1.40428, 50.90395]","",place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
13,AWD000105u,diary,612,2,1915-03-12 00:00:00 UTC,12 Mar 1915,Southampton,"[-1.40428, 50.90395]","",diaryDate,12 Mar 1915,"{""day""=>[""12""], ""month""=>[""Mar""], ""year""=>[""1915""]}",2637487,Southampton,"[-1.40428, 50.90395]"
14,AWD000105u,diary,612,2,1915-03-12 00:00:00 UTC,12 Mar 1915,"Golden Eagle, ""GOLDEN EAGLE""","[-1.40428, 50.90395]","",place,"Golden Eagle, ""GOLDEN EAGLE""","{""place""=>[""Golden Eagle"", ""\""GOLDEN EAGLE\""""], ""location""=>[""true""], ""name""=>[""Southampton"", """"], ""lat""=>[""50.90395"", """"], ""long""=>[""-1.40428"", """"], ""id""=>[""2637487"", """"]}",,,
15,AWD000105u,diary,612,2,1915-03-12 00:00:00 UTC,12 Mar 1915,"Inventor, ""INVENTOR""","[0.0, 0.0]","",place,"Inventor, ""INVENTOR""","{""place""=>[""Inventor"", ""\""INVENTOR\""""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
16,AWD000105u,diary,612,2,1915-03-12 00:00:00 UTC,12 Mar 1915,"Duchess of Argyle, ""DUCHESS of ARGYLLE""","[0.0, 0.0]","",place,"Duchess of Argyle, ""DUCHESS of ARGYLLE""","{""place""=>[""Duchess of Argyle"", ""\""DUCHESS of ARGYLLE\""""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
17,AWD000105u,diary,612,8,1915-03-12 17:00:00 UTC,12 Mar 1915,"Duchess of Argyle, ""DUCHESS of ARGYLLE""","[0.0, 0.0]",0500PM,time,0500PM,{},,,
19,AWD000105u,diary,612,8,1915-03-13 00:00:00 UTC,13 Mar 1915,"Duchess of Argyle, ""DUCHESS of ARGYLLE""","[0.0, 0.0]","",diaryDate,13 Mar 1915,"{""day""=>[""13""], ""month""=>[""Mar""], ""year""=>[""1915""]}",,,
20,AWD000105u,diary,612,11,1915-03-13 00:00:00 UTC,13 Mar 1915,"Duchess of Argyle, ""DUCHESS of ARGYLLE""","[0.0, 0.0]","",activity,movement,{},,,
21,AWD000105u,diary,612,2,1915-03-13 06:40:00 UTC,13 Mar 1915,"Duchess of Argyle, ""DUCHESS of ARGYLLE""","[0.0, 0.0]",0640AM,time,0640AM,{},,,
23,AWD000105u,diary,612,6,1915-03-13 06:40:00 UTC,13 Mar 1915,"Duchess of Argyle, ""DUCHESS of ARGYLLE""","[0.0, 0.0]",0640AM,place,Sanvic,"{""place""=>[""Sanvic""], ""location""=>[""false"", ""true""], ""name""=>[""Sanvic""], ""lat""=>[""49.50745""], ""long""=>[""0.11323""], ""id""=>[""2976092""]}",,,
24,AWD000105u,diary,612,6,1915-03-13 06:40:00 UTC,13 Mar 1915,"Duchess of Argyle, ""DUCHESS of ARGYLLE""","[0.0, 0.0]",0640AM,strength,"officer: 28, other: 947",{},,,
