Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0001408,diary,4,5,1914-08-23 00:00:00 UTC,23 Aug 1914,"","[0.0, 0.0]","",diaryDate,23 Aug 1914,"{""day""=>[""23""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001408,diary,4,2,1914-08-23 00:00:00 UTC,23 Aug 1914,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0001408,diary,4,2,1914-08-23 00:00:00 UTC,23 Aug 1914,"","[0.0, 0.0]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""false"", ""true""], ""name""=>["""", ""Havré""], ""lat""=>["""", ""50.46401""], ""long""=>["""", ""4.04675""], ""id""=>["""", ""2796353""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0001408,diary,4,2,1914-08-23 00:00:00 UTC,23 Aug 1914,"","[0.0, 0.0]","",place,Quievrechain,"{""place""=>[""Quievrechain""], ""location""=>[""false"", ""true""], ""name""=>[""Quiévrechain""], ""lat""=>[""50.39172""], ""long""=>[""3.66815""], ""id""=>[""2984728""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0001408,diary,4,5,1914-08-23 00:00:00 UTC,23 Aug 1914,Valenciennes,"[3.53333, 50.35]","",place,Valenciennes,"{""place""=>[""Valenciennes""], ""location""=>[""true""], ""name""=>[""Valenciennes""], ""lat""=>[""50.35""], ""long""=>[""3.53333""], ""id""=>[""2971041""]}",2971041,Valenciennes,"[3.53333, 50.35]"
12,AWD0001408,diary,4,2,1914-08-23 00:00:00 UTC,23 Aug 1914,Valenciennes,"[3.53333, 50.35]","",activity,line,{},2971041,Valenciennes,"[3.53333, 50.35]"
13,AWD0001408,diary,4,2,1914-08-23 00:00:00 UTC,23 Aug 1914,Valenciennes,"[3.53333, 50.35]","",place,"Saint Aybert, ST AYBERT","{""place""=>[""Saint Aybert"", ""ST AYBERT""], ""location""=>[""true"", ""false""], ""name""=>[""Saint-Aybert"", """"], ""lat""=>[""50.44836"", """"], ""long""=>[""3.65"", """"], ""id""=>[""2981487"", """"]}",2971041,Valenciennes,"[3.53333, 50.35]"
14,AWD0001408,diary,4,2,1914-08-23 00:00:00 UTC,23 Aug 1914,Valenciennes,"[3.53333, 50.35]","",person,"Major H N Blakeney, Blackney","{""first""=>[""H N""], ""surname""=>[""Blakeney"", ""Blackney""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""casualty_wounded""], ""unit""=>["""", ""1 MIDDLESEX REGIMENT""]}",2971041,Valenciennes,"[3.53333, 50.35]"
16,AWD0001408,diary,4,2,1914-08-23 17:00:00 UTC,23 Aug 1914,Valenciennes,"[3.53333, 50.35]",0500PM,time,0500PM,{},2971041,Valenciennes,"[3.53333, 50.35]"
17,AWD0001408,diary,4,3,1914-08-23 17:00:00 UTC,23 Aug 1914,Valenciennes,"[3.53333, 50.35]",0500PM,activity,attack,{},2971041,Valenciennes,"[3.53333, 50.35]"
