Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD000160w,diary,16,6,1914-08-08 00:00:00 UTC,8 Aug 1914,"","[0.0, 0.0]","",diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD000160w,diary,16,3,1914-08-08 00:00:00 UTC,8 Aug 1914,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD000160w,diary,16,3,1914-08-08 00:00:00 UTC,8 Aug 1914,"","[0.0, 0.0]","",place,Shorncliffe Station,"{""place""=>[""Shorncliffe Station""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD000160w,diary,16,3,1914-08-08 00:00:00 UTC,8 Aug 1914,"","[0.0, 0.0]","",place,Shorncliffe,"{""place""=>[""Shorncliffe""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD000160w,diary,16,3,1914-08-08 02:45:00 UTC,8 Aug 1914,"","[0.0, 0.0]",0245AM,time,0245AM,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD000160w,diary,16,4,1914-08-08 02:45:00 UTC,8 Aug 1914,"","[0.0, 0.0]",0245AM,person,Major A R Burrows,"{""first""=>[""A R""], ""surname""=>[""Burrows""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD000160w,diary,16,4,1914-08-08 07:25:00 UTC,8 Aug 1914,"","[0.0, 0.0]",0725AM,time,0725AM,{},2985684,Pozières,"[2.72929, 50.04047]"
9,AWD000160w,diary,16,2,1914-08-08 07:25:00 UTC,8 Aug 1914,"","[0.0, 0.0]",0725AM,place,Shorncliffe,"{""place""=>[""Shorncliffe""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD000160w,diary,16,5,1914-08-08 07:25:00 UTC,8 Aug 1914,"","[0.0, 0.0]",0725AM,place,London Bridge,"{""place""=>[""London Bridge""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD000160w,diary,16,4,1914-08-08 10:15:00 UTC,8 Aug 1914,"","[0.0, 0.0]",1015AM,time,1015AM,{},2985684,Pozières,"[2.72929, 50.04047]"
12,AWD000160w,diary,16,5,1914-08-08 10:15:00 UTC,8 Aug 1914,"","[0.0, 0.0]",1015AM,place,York,"{""place""=>[""York""], ""location""=>[""false""], ""name""=>[""York""], ""lat""=>[""53.95763""], ""long""=>[""-1.08271""], ""id""=>[""2633352""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD000160w,diary,16,4,1914-08-08 15:35:00 UTC,8 Aug 1914,"","[0.0, 0.0]",0335PM,time,0335PM,{},2985684,Pozières,"[2.72929, 50.04047]"
15,AWD000160w,diary,16,4,1914-08-08 15:35:00 UTC,8 Aug 1914,"","[0.0, 0.0]",0335PM,place,Bootham Bar,"{""place""=>[""Bootham Bar""], ""location""=>[""false""], ""name""=>[""York""], ""lat""=>[""53.95763""], ""long""=>[""-1.08271""], ""id""=>[""2633352""]}",2985684,Pozières,"[2.72929, 50.04047]"
16,AWD000160w,diary,16,4,1914-08-08 16:20:00 UTC,8 Aug 1914,"","[0.0, 0.0]",0420PM,time,0420PM,{},2985684,Pozières,"[2.72929, 50.04047]"
17,AWD000160w,diary,16,3,1914-08-08 16:20:00 UTC,8 Aug 1914,"","[0.0, 0.0]",0420PM,place,York,"{""place""=>[""York""], ""location""=>[""false""], ""name""=>[""York""], ""lat""=>[""53.95763""], ""long""=>[""-1.08271""], ""id""=>[""2633352""]}",2985684,Pozières,"[2.72929, 50.04047]"
18,AWD000160w,diary,16,3,1914-08-08 11:35:00 UTC,8 Aug 1914,"","[0.0, 0.0]",1135AM,time,1135AM,{},2985684,Pozières,"[2.72929, 50.04047]"
19,AWD000160w,diary,16,5,1914-08-08 11:35:00 UTC,8 Aug 1914,"","[0.0, 0.0]",1135AM,place,Knavesmire,"{""place""=>[""Knavesmire""], ""location""=>[""false""], ""name""=>[""York"", """"], ""lat""=>[""53.95763"", """"], ""long""=>[""-1.08271"", """"], ""id""=>[""2633352"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
21,AWD000160w,diary,16,4,1914-08-08 15:30:00 UTC,8 Aug 1914,"","[0.0, 0.0]",0330PM,time,0330PM,{},2985684,Pozières,"[2.72929, 50.04047]"
22,AWD000160w,diary,16,4,1914-08-08 15:30:00 UTC,8 Aug 1914,"","[0.0, 0.0]",0330PM,strength,"officer: 24, other: 750",{},2985684,Pozières,"[2.72929, 50.04047]"
1,AWD0001628,diary,17,7,1914-08-09 00:00:00 UTC,9 Aug 1914,"","[0.0, 0.0]","",diaryDate,9 Aug 1914,"{""day""=>[""9""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001628,diary,17,3,1914-08-09 00:00:00 UTC,9 Aug 1914,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001628,diary,17,6,1914-08-09 00:00:00 UTC,9 Aug 1914,"","[0.0, 0.0]","",place,York,"{""place""=>[""York""], ""location""=>[""false""], ""name""=>[""York""], ""lat""=>[""53.95763""], ""long""=>[""-1.08271""], ""id""=>[""2633352""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001628,diary,17,9,1914-08-09 00:00:00 UTC,9 Aug 1914,"","[0.0, 0.0]","",place,Darlington,"{""place""=>[""Darlington""], ""location""=>[""false""], ""name""=>[""Darlington""], ""lat""=>[""54.52429""], ""long""=>[""-1.55039""], ""id""=>[""2651513""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001628,diary,17,5,1914-08-09 13:50:00 UTC,9 Aug 1914,"","[0.0, 0.0]",0150PM,time,0150PM,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0001628,diary,17,5,1914-08-09 15:00:00 UTC,9 Aug 1914,"","[0.0, 0.0]",0300PM,time,0300PM,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0001628,diary,17,4,1914-08-09 15:30:00 UTC,9 Aug 1914,"","[0.0, 0.0]",0330PM,time,0330PM,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0001628,diary,17,4,1914-08-09 14:30:00 UTC,9 Aug 1914,"","[0.0, 0.0]",0230PM,time,0230PM,{},2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0001628,diary,17,2,1914-08-09 14:30:00 UTC,9 Aug 1914,"","[0.0, 0.0]",0230PM,domestic,accomodation,{},2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0001628,diary,17,2,1914-08-09 14:30:00 UTC,9 Aug 1914,"","[0.0, 0.0]",0230PM,unit,"5th Batallion Durham Light Infantry, 5th Battalion Durham Light infantry","{""name""=>[""5th Batallion Durham Light Infantry"", ""5th Battalion Durham Light infantry""], ""context""=>[""other""]}",2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0001628,diary,17,2,1914-08-09 14:30:00 UTC,9 Aug 1914,"","[0.0, 0.0]",0230PM,activity,quiet,{},2985684,Pozières,"[2.72929, 50.04047]"
1,AWD000163x,diary,18,7,1914-08-11 00:00:00 UTC,11 Aug 1914,"","[0.0, 0.0]","",diaryDate,11 Aug 1914,"{""day""=>[""11""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD000163x,diary,18,2,1914-08-11 09:00:00 UTC,11 Aug 1914,"","[0.0, 0.0]",0900AM,time,0900AM,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD000163x,diary,18,2,1914-08-11 09:00:00 UTC,11 Aug 1914,"","[0.0, 0.0]",0900AM,activity,training,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD000163x,diary,18,2,1914-08-11 09:00:00 UTC,11 Aug 1914,"","[0.0, 0.0]",0900AM,place,"Aycliffe Rd, Aycliffe","{""place""=>[""Aycliffe Rd"", ""Aycliffe""], ""location""=>[""false""], ""name""=>["""", ""Aycliffe""], ""lat""=>["""", ""54.6""], ""long""=>["""", ""-1.55""], ""id""=>["""", ""2656723""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD000163x,diary,18,4,1914-08-11 09:00:00 UTC,11 Aug 1914,"","[0.0, 0.0]",0900AM,place,Cockerton,"{""place""=>[""Cockerton""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD000163x,diary,18,4,1914-08-11 09:00:00 UTC,11 Aug 1914,"","[0.0, 0.0]",0900AM,place,Blackwell,"{""place""=>[""Blackwell""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
