Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001auw,signals,4,2,,,,[],,date,22 Sep 1914,{},,,
5,AWD0001auw,signals,4,2,,,,[],,signals,other,{},,,
6,AWD0001auw,signals,4,3,,,,[],,time,1200PM,{},,,
2,AWD0001asc,diary,5,2,,"","","[0.0, 0.0]","",person,Sergeant  Fairbrother,"{""first""=>[""""], ""surname""=>[""Fairbrother""], ""rank""=>[""Sergeant""], ""number""=>[""""], ""reason""=>[""author"", ""other""], ""unit""=>[""20th Hussars"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001asc,diary,5,3,1914-08-04 00:00:00 UTC,4 Aug 1914,"","[0.0, 0.0]","",diaryDate,4 Aug 1914,"{""day""=>[""4""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001asc,diary,5,2,1914-08-04 18:15:00 UTC,4 Aug 1914,"","[0.0, 0.0]",0615PM,time,0615PM,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0001asc,diary,5,3,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0001asc,diary,5,2,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",place,Colchester,"{""place""=>[""Colchester""], ""location""=>[""false""], ""name""=>[""Colchester""], ""lat""=>[""51.88921""], ""long""=>[""0.90421""], ""id""=>[""2652618""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0001asc,diary,5,3,1914-08-16 00:00:00 UTC,16 Aug 1914,"","[0.0, 0.0]","",diaryDate,16 Aug 1914,"{""day""=>[""16""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0001asc,diary,5,2,1914-08-16 00:00:00 UTC,16 Aug 1914,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0001asc,diary,5,2,1914-08-16 07:30:00 UTC,16 Aug 1914,"","[0.0, 0.0]",0730AM,time,0730AM,{},2985684,Pozières,"[2.72929, 50.04047]"
