Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
3,AWD0001b5i,cover,328,2,,,,[],,diaryDate,"1 Oct,May 1914, 1919","{""day""=>[""1""], ""month""=>[""Oct"", ""May""], ""year""=>[""1914"", ""1919""]}",,,
2,AWD0001b3o,diary,332,4,1914-09-16 00:00:00 UTC,16 Sep 1914,"","[0.0, 0.0]","",diaryDate,16 Sep 1914,"{""day""=>[""16""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001b3o,diary,332,4,1914-09-16 00:00:00 UTC,16 Sep 1914,Chatham,"[0.52786, 51.37891]","",place,Chatham,"{""place""=>[""Chatham""], ""location""=>[""true""], ""name""=>[""Chatham""], ""lat""=>[""51.37891""], ""long""=>[""0.52786""], ""id""=>[""2653305""]}",2653305,Chatham,"[0.52786, 51.37891]"
6,AWD0001b3o,diary,332,3,1914-09-16 00:00:00 UTC,16 Sep 1914,Chatham,"[0.52786, 51.37891]","",place,Windmill Hill Camp,"{""place""=>[""Windmill Hill Camp""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2653305,Chatham,"[0.52786, 51.37891]"
8,AWD0001b3o,diary,332,3,1914-09-16 00:00:00 UTC,16 Sep 1914,Chatham,"[0.52786, 51.37891]","",place,Ludgershall,"{""place""=>[""Ludgershall""], ""location""=>[""false""], ""name""=>[""Ludgershall""], ""lat""=>[""51.25558""], ""long""=>[""-1.6222""], ""id""=>[""2643429""]}",2653305,Chatham,"[0.52786, 51.37891]"
9,AWD0001b3o,diary,332,8,1914-09-16 00:00:00 UTC,16 Sep 1914,Chatham,"[0.52786, 51.37891]","",person,"Captain C E P,R D Sankey","{""first""=>[""C E P"", ""R D""], ""surname""=>[""Sankey""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2653305,Chatham,"[0.52786, 51.37891]"
10,AWD0001b3o,diary,332,4,1914-09-16 00:00:00 UTC,16 Sep 1914,Chatham,"[0.52786, 51.37891]","",person,Second Lieutenant J Kiggell,"{""first""=>[""J""], ""surname""=>[""Kiggell""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2653305,Chatham,"[0.52786, 51.37891]"
11,AWD0001b3o,diary,332,2,1914-09-16 00:00:00 UTC,16 Sep 1914,Chatham,"[0.52786, 51.37891]","",unit,"2nd Fd Sqdn RE, 3rd Fd Sqdn RE","{""name""=>[""2nd Fd Sqdn RE"", ""3rd Fd Sqdn RE""], ""context""=>[""other""]}",2653305,Chatham,"[0.52786, 51.37891]"
12,AWD0001b3o,diary,332,4,1914-09-16 00:00:00 UTC,16 Sep 1914,Chatham,"[0.52786, 51.37891]","",person,Lieutenant J C Bowles,"{""first""=>[""J C""], ""surname""=>[""Bowles""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""3rd Fd Sqdn RE"", ""2nd Fd Sqdn RE"", ""2nd Fd. Sqdn. R.E."", """"]}",2653305,Chatham,"[0.52786, 51.37891]"
14,AWD0001b3o,diary,332,4,1914-09-16 00:00:00 UTC,16 Sep 1914,Ludgershall,"[-1.6222, 51.25558]","",place,Ludgershall,"{""place""=>[""Ludgershall""], ""location""=>[""true""], ""name""=>[""Ludgershall""], ""lat""=>[""51.25558""], ""long""=>[""-1.6222""], ""id""=>[""2643429""]}",2643429,Ludgershall,"[-1.6222, 51.25558]"
16,AWD0001b3o,diary,332,3,1914-09-17 00:00:00 UTC,17 Sep 1914,Ludgershall,"[-1.6222, 51.25558]","",diaryDate,17 Sep 1914,"{""day""=>[""17""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2643429,Ludgershall,"[-1.6222, 51.25558]"
17,AWD0001b3o,diary,332,4,1914-09-17 00:00:00 UTC,17 Sep 1914,Ludgershall,"[-1.6222, 51.25558]","",person,Captain  Sankey,"{""first""=>[""""], ""surname""=>[""Sankey""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2643429,Ludgershall,"[-1.6222, 51.25558]"
