Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0001ds6,diary,478,6,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001ds6,diary,478,6,1914-08-05 00:00:00 UTC,5 Aug 1914,Woolwich,"[0.0, 0.0]","",place,Woolwich,"{""place""=>[""Woolwich""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2633583,Woolwich,"[0.0648, 51.491]"
4,AWD0001ds6,diary,478,4,1914-08-05 00:00:00 UTC,5 Aug 1914,Woolwich,"[0.0, 0.0]","",activity,movement,{},2633583,Woolwich,"[0.0648, 51.491]"
5,AWD0001ds6,diary,478,4,1914-08-06 00:00:00 UTC,6 Aug 1914,Woolwich,"[0.0, 0.0]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
10,AWD0001ds6,diary,478,3,1914-08-07 00:00:00 UTC,7 Aug 1914,Woolwich,"[0.0, 0.0]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
14,AWD0001ds6,diary,478,2,1914-08-07 00:00:00 UTC,7 Aug 1914,Woolwich,"[0.0, 0.0]","",place,Woolwich,"{""place""=>[""Woolwich""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2633583,Woolwich,"[0.0648, 51.491]"
15,AWD0001ds6,diary,478,2,1914-08-11 00:00:00 UTC,11 Aug 1914,Woolwich,"[0.0, 0.0]","",diaryDate,11 Aug 1914,"{""day""=>[""11""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
21,AWD0001ds6,diary,478,2,1914-08-18 00:00:00 UTC,18 Aug 1914,Woolwich,"[0.0, 0.0]","",diaryDate,18 Aug 1914,"{""day""=>[""18""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
26,AWD0001ds6,diary,478,3,1914-08-18 00:00:00 UTC,18 Aug 1914,Woolwich,"[0.0, 0.0]","",activity,training,{},2633583,Woolwich,"[0.0648, 51.491]"
30,AWD0001ds6,diary,478,4,1914-08-19 00:00:00 UTC,19 Aug 1914,Woolwich,"[0.0, 0.0]","",diaryDate,19 Aug 1914,"{""day""=>[""19""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
33,AWD0001ds6,diary,478,2,1914-08-19 13:20:00 UTC,19 Aug 1914,Woolwich,"[0.0, 0.0]",0120PM,time,0120PM,{},2633583,Woolwich,"[0.0648, 51.491]"
34,AWD0001ds6,diary,478,2,1914-08-19 13:20:00 UTC,19 Aug 1914,Woolwich,"[0.0, 0.0]",0120PM,activity,training,{},2633583,Woolwich,"[0.0648, 51.491]"
36,AWD0001ds6,diary,478,2,1914-08-19 13:20:00 UTC,19 Aug 1914,West Croydon,"[0.0, 0.0]",0120PM,place,West Croydon,"{""place""=>[""West Croydon""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2650225,Edinburgh,"[-3.19648, 55.95206]"
39,AWD0001ds6,diary,478,5,1914-08-19 13:20:00 UTC,19 Aug 1914,West Croydon,"[0.0, 0.0]",0120PM,activity,movement,{},2650225,Edinburgh,"[-3.19648, 55.95206]"
40,AWD0001ds6,diary,478,3,1914-08-19 16:20:00 UTC,19 Aug 1914,West Croydon,"[0.0, 0.0]",0420PM,time,0420PM,{},2650225,Edinburgh,"[-3.19648, 55.95206]"
44,AWD0001ds6,diary,478,3,1914-08-19 23:40:00 UTC,19 Aug 1914,West Croydon,"[0.0, 0.0]",1140PM,time,1140PM,{},2650225,Edinburgh,"[-3.19648, 55.95206]"
45,AWD0001ds6,diary,478,3,1914-08-20 00:00:00 UTC,20 Aug 1914,West Croydon,"[0.0, 0.0]","",diaryDate,20 Aug 1914,"{""day""=>[""20""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2650225,Edinburgh,"[-3.19648, 55.95206]"
46,AWD0001ds6,diary,478,6,1914-08-20 00:00:00 UTC,20 Aug 1914,Southampton,"[-1.40428, 50.90395]","",place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>["""", ""Southampton""], ""lat""=>["""", ""50.90395""], ""long""=>["""", ""-1.40428""], ""id""=>["""", ""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
47,AWD0001ds6,diary,478,3,1914-08-20 03:40:00 UTC,20 Aug 1914,Southampton,"[-1.40428, 50.90395]",0340AM,time,0340AM,{},2637487,Southampton,"[-1.40428, 50.90395]"
49,AWD0001ds6,diary,478,4,1914-08-20 20:00:00 UTC,20 Aug 1914,Southampton,"[-1.40428, 50.90395]",0800PM,time,0800PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
51,AWD0001ds6,diary,478,2,1914-08-21 00:00:00 UTC,21 Aug 1914,Southampton,"[-1.40428, 50.90395]","",diaryDate,21 Aug 1914,"{""day""=>[""21""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
53,AWD0001ds6,diary,478,4,1914-08-21 00:00:00 UTC,21 Aug 1914,Southampton,"[-1.40428, 50.90395]","",activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
55,AWD0001ds6,diary,478,2,1914-08-21 00:00:00 UTC,21 Aug 1914,Southampton,"[-1.40428, 50.90395]","",diaryDate,21 Aug 1914,"{""day""=>[""21""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
56,AWD0001ds6,diary,478,6,1914-08-21 00:00:00 UTC,21 Aug 1914,Havre,"[0.10767, 49.4938]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre"", """"], ""lat""=>[""49.4938"", """"], ""long""=>[""0.10767"", """"], ""id""=>[""3003796"", """"]}",3003796,Le Havre,"[0.10767, 49.4938]"
57,AWD0001ds6,diary,478,6,1914-08-21 07:00:00 UTC,21 Aug 1914,Havre,"[0.10767, 49.4938]",0700AM,time,0700AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
59,AWD0001ds6,diary,478,2,1914-08-21 15:40:00 UTC,21 Aug 1914,Havre,"[0.10767, 49.4938]",0340PM,time,0340PM,{},3003796,Le Havre,"[0.10767, 49.4938]"
60,AWD0001ds6,diary,478,2,1914-08-21 17:30:00 UTC,21 Aug 1914,Havre,"[0.10767, 49.4938]",0530PM,time,0530PM,{},3003796,Le Havre,"[0.10767, 49.4938]"
61,AWD0001ds6,diary,478,5,1914-08-21 17:30:00 UTC,21 Aug 1914,Havre,"[0.10767, 49.4938]",0530PM,activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
62,AWD0001ds6,diary,478,3,1914-08-21 17:30:00 UTC,21 Aug 1914,Bruyeres,"[6.71845, 48.20709]",0530PM,place,Bruyeres,"{""place""=>[""Bruyeres""], ""location""=>[""true""], ""name""=>[""Bruyères""], ""lat""=>[""48.20709""], ""long""=>[""6.71845""], ""id""=>[""3029725""]}",3029725,Bruyères,"[6.71845, 48.20709]"
64,AWD0001ds6,diary,478,2,1914-08-21 21:00:00 UTC,21 Aug 1914,Bruyeres,"[6.71845, 48.20709]",0900PM,time,0900PM,{},3029725,Bruyères,"[6.71845, 48.20709]"
66,AWD0001ds6,diary,478,3,1914-08-22 00:00:00 UTC,22 Aug 1914,Bruyeres,"[6.71845, 48.20709]","",diaryDate,22 Aug 1914,"{""day""=>[""22""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3029725,Bruyères,"[6.71845, 48.20709]"
69,AWD0001ds6,diary,478,2,1914-08-24 00:00:00 UTC,24 Aug 1914,Bruyeres,"[6.71845, 48.20709]","",diaryDate,24 Aug 1914,"{""day""=>[""24""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3029725,Bruyères,"[6.71845, 48.20709]"
72,AWD0001ds6,diary,478,5,1914-08-24 00:00:00 UTC,24 Aug 1914,Rouen,"[1.09932, 49.44313]","",place,Rouen,"{""place""=>[""Rouen""], ""location""=>[""true""], ""name""=>[""Rouen""], ""lat""=>[""49.44313""], ""long""=>[""1.09932""], ""id""=>[""2982652""]}",2989877,Noyon,"[3.0, 49.58333]"
75,AWD0001ds6,diary,478,3,1914-08-25 00:00:00 UTC,25 Aug 1914,Rouen,"[1.09932, 49.44313]","",diaryDate,25 Aug 1914,"{""day""=>[""25""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2989877,Noyon,"[3.0, 49.58333]"
76,AWD0001ds6,diary,478,3,1914-08-25 09:00:00 UTC,25 Aug 1914,Rouen,"[1.09932, 49.44313]",0900AM,time,0900AM,{},2989877,Noyon,"[3.0, 49.58333]"
77,AWD0001ds6,diary,478,3,1914-08-25 09:00:00 UTC,25 Aug 1914,Bruyeres,"[6.71845, 48.20709]",0900AM,place,Bruyeres,"{""place""=>[""Bruyeres""], ""location""=>[""true""], ""name""=>[""Bruyères""], ""lat""=>[""48.20709""], ""long""=>[""6.71845""], ""id""=>[""3029725""]}",3029725,Bruyères,"[6.71845, 48.20709]"
78,AWD0001ds6,diary,478,5,1914-08-25 09:00:00 UTC,25 Aug 1914,Bruyeres,"[6.71845, 48.20709]",0900AM,activity,movement,{},3029725,Bruyères,"[6.71845, 48.20709]"
82,AWD0001ds6,diary,478,3,1914-08-25 15:00:00 UTC,25 Aug 1914,Bruyeres,"[6.71845, 48.20709]",0300PM,time,0300PM,{},3029725,Bruyères,"[6.71845, 48.20709]"
84,AWD0001ds6,diary,478,3,1914-08-25 23:30:00 UTC,25 Aug 1914,Bruyeres,"[6.71845, 48.20709]",1130PM,time,1130PM,{},3029725,Bruyères,"[6.71845, 48.20709]"
