Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001e96,signals,4,2,,,,[],,date,25 Sep 1914,{},,,
1,AWD0001ea4,diary,5,5,1914-07-29 00:00:00 UTC,29 Jul 1914,"","[0.0, 0.0]","",diaryDate,29 Jul 1914,"{""day""=>[""29""], ""month""=>[""Jul""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001ea4,diary,5,4,1914-07-29 00:00:00 UTC,29 Jul 1914,Wool,"[-2.2189, 50.67966]","",place,Wool,"{""place""=>[""Wool""], ""location""=>[""true""], ""name""=>[""Wool""], ""lat""=>[""50.67966""], ""long""=>[""-2.2189""], ""id""=>[""2633609""]}",,,
3,AWD0001ea4,diary,5,4,1914-07-29 07:30:00 UTC,29 Jul 1914,Wool,"[-2.2189, 50.67966]",0730AM,time,0730AM,{},,,
4,AWD0001ea4,diary,5,2,1914-07-29 07:30:00 UTC,29 Jul 1914,Wool,"[-2.2189, 50.67966]",0730AM,activity,other,{},,,
7,AWD0001ea4,diary,5,5,1914-07-30 00:00:00 UTC,30 Jul 1914,Wool,"[-2.2189, 50.67966]","",diaryDate,30 Jul 1914,"{""day""=>[""30""], ""month""=>[""Jul""], ""year""=>[""1914""]}",,,
8,AWD0001ea4,diary,5,4,1914-07-30 06:15:00 UTC,30 Jul 1914,Wool,"[-2.2189, 50.67966]",0615AM,time,0615AM,{},,,
9,AWD0001ea4,diary,5,2,1914-07-30 06:15:00 UTC,30 Jul 1914,Wool,"[-2.2189, 50.67966]",0615AM,place,Wool,"{""place""=>[""Wool""], ""location""=>[""true""], ""name""=>[""Wool""], ""lat""=>[""50.67966""], ""long""=>[""-2.2189""], ""id""=>[""2633609""]}",,,
10,AWD0001ea4,diary,5,4,1914-07-30 06:15:00 UTC,30 Jul 1914,Wool,"[-2.2189, 50.67966]",0615AM,activity,movement,{},,,
12,AWD0001ea4,diary,5,3,1914-07-30 09:00:00 UTC,30 Jul 1914,Wool,"[-2.2189, 50.67966]",0900AM,time,0900AM,{},,,
13,AWD0001ea4,diary,5,5,1914-07-30 09:00:00 UTC,30 Jul 1914,Gosport,"[-1.12902, 50.79509]",0900AM,place,Gosport,"{""place""=>[""Gosport""], ""location""=>[""true""], ""name""=>[""Gosport""], ""lat""=>[""50.79509""], ""long""=>[""-1.12902""], ""id""=>[""2648272""]}",2648272,Gosport,"[-1.12902, 50.79509]"
20,AWD0001ea4,diary,5,2,1914-07-30 09:00:00 UTC,30 Jul 1914,Gosport,"[-1.12902, 50.79509]",0900AM,strength,other: 50,{},2648272,Gosport,"[-1.12902, 50.79509]"
23,AWD0001ea4,diary,5,2,1914-07-30 09:00:00 UTC,30 Jul 1914,Gosport,"[-1.12902, 50.79509]",0900AM,strength,officer: 2,{},2648272,Gosport,"[-1.12902, 50.79509]"
26,AWD0001ea4,diary,5,2,1914-07-30 09:00:00 UTC,30 Jul 1914,Gosport,"[-1.12902, 50.79509]",0900AM,strength,officer: 1,{},2648272,Gosport,"[-1.12902, 50.79509]"
31,AWD0001ea4,diary,5,4,1914-07-30 15:00:00 UTC,30 Jul 1914,Gosport,"[-1.12902, 50.79509]",0300PM,time,0300PM,{},2648272,Gosport,"[-1.12902, 50.79509]"
32,AWD0001ea4,diary,5,5,1914-07-30 15:00:00 UTC,30 Jul 1914,Gosport,"[-1.12902, 50.79509]",0300PM,activity,movement,{},2648272,Gosport,"[-1.12902, 50.79509]"
33,AWD0001ea4,diary,5,5,1914-08-04 00:00:00 UTC,4 Aug 1914,Gosport,"[-1.12902, 50.79509]","",diaryDate,4 Aug 1914,"{""day""=>[""4""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2648272,Gosport,"[-1.12902, 50.79509]"
37,AWD0001ea4,diary,5,3,1914-08-04 18:15:00 UTC,4 Aug 1914,Gosport,"[-1.12902, 50.79509]",0615PM,time,0615PM,{},2648272,Gosport,"[-1.12902, 50.79509]"
39,AWD0001ea4,diary,5,5,1914-08-09 00:00:00 UTC,9 Aug 1914,Gosport,"[-1.12902, 50.79509]","",diaryDate,9 Aug 1914,"{""day""=>[""9""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2648272,Gosport,"[-1.12902, 50.79509]"
41,AWD0001ea4,diary,5,3,1914-08-09 00:00:00 UTC,9 Aug 1914,Gosport,"[-1.12902, 50.79509]","",person,Brigadier General F C Shaw,"{""first""=>[""F C""], ""surname""=>[""Shaw""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2648272,Gosport,"[-1.12902, 50.79509]"
42,AWD0001ea4,diary,5,3,1914-08-09 15:00:00 UTC,9 Aug 1914,Gosport,"[-1.12902, 50.79509]",0300PM,time,0300PM,{},2648272,Gosport,"[-1.12902, 50.79509]"
44,AWD0001ea4,diary,5,2,1914-08-09 15:00:00 UTC,9 Aug 1914,Gosport,"[-1.12902, 50.79509]",0300PM,domestic,inspections,{},2648272,Gosport,"[-1.12902, 50.79509]"
47,AWD0001ea4,diary,5,5,1914-08-12 00:00:00 UTC,12 Aug 1914,Gosport,"[-1.12902, 50.79509]","",diaryDate,12 Aug 1914,"{""day""=>[""12""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2648272,Gosport,"[-1.12902, 50.79509]"
49,AWD0001ea4,diary,5,2,1914-08-12 00:00:00 UTC,12 Aug 1914,Gosport,"[-1.12902, 50.79509]","",place,Gosport,"{""place""=>[""Gosport""], ""location""=>[""true""], ""name""=>[""Gosport""], ""lat""=>[""50.79509""], ""long""=>[""-1.12902""], ""id""=>[""2648272""]}",2648272,Gosport,"[-1.12902, 50.79509]"
52,AWD0001ea4,diary,5,5,1914-08-13 00:00:00 UTC,13 Aug 1914,Gosport,"[-1.12902, 50.79509]","",diaryDate,13 Aug 1914,"{""day""=>[""13""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2648272,Gosport,"[-1.12902, 50.79509]"
53,AWD0001ea4,diary,5,2,1914-08-13 12:30:00 UTC,13 Aug 1914,Gosport,"[-1.12902, 50.79509]",1230PM,time,1230PM,{},2648272,Gosport,"[-1.12902, 50.79509]"
54,AWD0001ea4,diary,5,6,1914-08-13 12:30:00 UTC,13 Aug 1914,Gosport,"[-1.12902, 50.79509]",1230PM,activity,movement,{},2648272,Gosport,"[-1.12902, 50.79509]"
1,AWD0001e9r,diary,6,4,1914-08-13 00:00:00 UTC,13 Aug 1914,Gosport,"[-1.12902, 50.79509]","",diaryDate,13 Aug 1914,"{""day""=>[""13""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2648272,Gosport,"[-1.12902, 50.79509]"
4,AWD0001e9r,diary,6,4,1914-08-13 00:00:00 UTC,13 Aug 1914,Southampton,"[-1.40428, 50.90395]","",place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
6,AWD0001e9r,diary,6,3,1914-08-13 15:00:00 UTC,13 Aug 1914,Southampton,"[-1.40428, 50.90395]",0300PM,time,0300PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
8,AWD0001e9r,diary,6,5,1914-08-13 15:00:00 UTC,13 Aug 1914,Southampton,"[-1.40428, 50.90395]",0300PM,activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
10,AWD0001e9r,diary,6,2,1914-08-14 00:00:00 UTC,14 Aug 1914,Southampton,"[-1.40428, 50.90395]","",diaryDate,14 Aug 1914,"{""day""=>[""14""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
12,AWD0001e9r,diary,6,2,1914-08-14 00:00:00 UTC,"14 Aug 1914, 1916",Southampton,"[-1.40428, 50.90395]","",diaryDate,"14 Aug 1914, 1916","{""day""=>[""14""], ""month""=>[""Aug""], ""year""=>[""1914"", ""1916""]}",2637487,Southampton,"[-1.40428, 50.90395]"
13,AWD0001e9r,diary,6,2,1914-08-14 00:00:00 UTC,"14 Aug 1914, 1916",Southampton,"[-1.40428, 50.90395]","",activity,resting,{},2637487,Southampton,"[-1.40428, 50.90395]"
14,AWD0001e9r,diary,6,5,1914-08-14 00:00:00 UTC,"14 Aug 1914, 1916",Le Havre,"[0.10767, 49.4938]","",place,Le Havre,"{""place""=>[""Le Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
18,AWD0001e9r,diary,6,3,1914-08-16 00:00:00 UTC,16 Aug 1914,Le Havre,"[0.10767, 49.4938]","",diaryDate,16 Aug 1914,"{""day""=>[""16""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3003796,Le Havre,"[0.10767, 49.4938]"
19,AWD0001e9r,diary,6,3,1914-08-16 11:30:00 UTC,16 Aug 1914,Le Havre,"[0.10767, 49.4938]",1130AM,time,1130AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
20,AWD0001e9r,diary,6,2,1914-08-16 11:30:00 UTC,16 Aug 1914,Le Havre,"[0.10767, 49.4938]",1130AM,place,Le Havre,"{""place""=>[""Le Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
21,AWD0001e9r,diary,6,5,1914-08-16 11:30:00 UTC,16 Aug 1914,Le Havre,"[0.10767, 49.4938]",1130AM,activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
25,AWD0001e9r,diary,6,3,1914-08-16 04:00:00 UTC,16 Aug 1914,Le Havre,"[0.10767, 49.4938]",0400AM,time,0400AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
26,AWD0001e9r,diary,6,2,1914-08-17 00:00:00 UTC,"17 Aug 1914, 1916",Le Havre,"[0.10767, 49.4938]","",diaryDate,"17 Aug 1914, 1916","{""day""=>[""17""], ""month""=>[""Aug""], ""year""=>[""1914"", ""1916""]}",3003796,Le Havre,"[0.10767, 49.4938]"
27,AWD0001e9r,diary,6,4,1914-08-17 00:00:00 UTC,"17 Aug 1914, 1916",Landrecies,"[3.69171, 50.125]","",place,Landrecies,"{""place""=>[""Landrecies""], ""location""=>[""true""], ""name""=>[""Landrecies""], ""lat""=>[""50.125""], ""long""=>[""3.69171""], ""id""=>[""3007830""]}",3007830,Landrecies,"[3.69171, 50.125]"
28,AWD0001e9r,diary,6,4,1914-08-17 00:00:00 UTC,"17 Aug 1914, 1916",Landrecies,"[3.69171, 50.125]","",activity,movement,{},3007830,Landrecies,"[3.69171, 50.125]"
29,AWD0001e9r,diary,6,3,1914-08-17 00:00:00 UTC,"17 Aug 1914, 1916",Noyelles,"[0.0, 0.0]","",place,Noyelles,"{""place""=>[""Noyelles""], ""location""=>[""true""], ""name""=>["""", ""Noyelles-sur-Sambre"", ""Landrecies""], ""lat""=>["""", ""50.15716"", ""50.125""], ""long""=>["""", ""3.79885"", ""3.69171""], ""id""=>["""", ""2989894"", ""3007830""]}",2989899,Noyelles-lès-Vermelles,"[2.72628, 50.49001]"
