Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001ejo,diary,6,4,1915-11-01 00:00:00 UTC,1 Nov 1915,"","[0.0, 0.0]","",diaryDate,1 Nov 1915,"{""day""=>[""1""], ""month""=>[""Nov""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001ejo,diary,6,3,1915-11-01 00:00:00 UTC,1 Nov 1915,"","[0.0, 0.0]","",weather,rain,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001ejo,diary,6,4,1915-11-01 00:00:00 UTC,1 Nov 1915,"","[0.0, 0.0]","",activity,training,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001ejo,diary,6,3,1915-11-01 00:00:00 UTC,1 Nov 1915,Eecke,"[2.59656, 50.77861]","",place,Eecke,"{""place""=>[""Eecke""], ""location""=>[""true""], ""name""=>[""Eecke""], ""lat""=>[""50.77861""], ""long""=>[""2.59656""], ""id""=>[""3020369""]}",8556090,Ecke,"[7.46075, 49.08876]"
7,AWD0001ejo,diary,6,5,1915-11-01 00:00:00 UTC,1 Nov 1915,Eecke,"[2.59656, 50.77861]","",person,"Captain A,A de L Lang","{""first""=>[""A"", ""A de L""], ""surname""=>[""Lang""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""C. co"", ""3rd Bn A and S Hrs"", ""3rd Bttn A & S highlanders"", ""3rd Battalion A & S Highlanders"", ""C Coy""]}",8556090,Ecke,"[7.46075, 49.08876]"
8,AWD0001ejo,diary,6,2,1915-11-01 00:00:00 UTC,1 Nov 1915,"Eecke, Becke","[2.59656, 50.77861]","",place,"Eecke, Becke","{""place""=>[""Eecke"", ""Becke""], ""location""=>[""true""], ""name""=>[""Eecke"", """"], ""lat""=>[""50.77861"", """"], ""long""=>[""2.59656"", """"], ""id""=>[""3020369"", """"]}",,,
9,AWD0001ejo,diary,6,3,1915-11-01 00:00:00 UTC,1 Nov 1915,"Eecke, Becke","[2.59656, 50.77861]","",person,Second Lieutenant  Colquhoun,"{""first""=>[""""], ""surname""=>[""Colquhoun""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
12,AWD0001ejo,diary,6,3,1915-11-01 00:00:00 UTC,1 Nov 1915,"Eecke, Becke","[2.59656, 50.77861]","",person,other I Logan,"{""first""=>[""I""], ""surname""=>[""Logan""], ""rank""=>[""other""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""8th Brigade""]}",,,
13,AWD0001ejo,diary,6,4,1915-11-06 00:00:00 UTC,6 Nov 1915,"Eecke, Becke","[2.59656, 50.77861]","",diaryDate,6 Nov 1915,"{""day""=>[""6""], ""month""=>[""Nov""], ""year""=>[""1915""]}",,,
15,AWD0001ejo,diary,6,4,1915-11-06 00:00:00 UTC,6 Nov 1915,"Eecke, Becke","[2.59656, 50.77861]","",weather,fine,{},,,
17,AWD0001ejo,diary,6,4,1915-11-06 00:00:00 UTC,6 Nov 1915,"Eecke, Becke","[2.59656, 50.77861]","",domestic,sport,{},,,
19,AWD0001ejo,diary,6,3,1915-11-06 00:00:00 UTC,6 Nov 1915,"Eecke, Becke","[2.59656, 50.77861]","",person,"Captain A de L Long, de L. Lang, Lang","{""first""=>[""A""], ""surname""=>[""de L Long"", ""de L. Lang"", ""Lang""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
21,AWD0001ejo,diary,6,4,1915-11-06 00:00:00 UTC,6 Nov 1915,"Eecke, Becke","[2.59656, 50.77861]","",person,General Hely D'Oissel,"{""first""=>[""Hely""], ""surname""=>[""D'Oissel""], ""rank""=>[""General""], ""number""=>[""""], ""reason""=>[""other"", ""commander""], ""unit""=>[""36th French Corps""]}",,,
