Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001exu,diary,5,5,1914-08-23 00:00:00 UTC,23 Aug 1914,"","[0.0, 0.0]","",diaryDate,23 Aug 1914,"{""day""=>[""23""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001exu,diary,5,8,1914-08-23 00:00:00 UTC,23 Aug 1914,Southampton,"[-1.40428, 50.90395]","",place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
3,AWD0001exu,diary,5,5,1914-08-23 00:00:00 UTC,23 Aug 1914,Southampton,"[-1.40428, 50.90395]","",activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
4,AWD0001exu,diary,5,5,1914-08-24 00:00:00 UTC,24 Aug 1914,Southampton,"[-1.40428, 50.90395]","",diaryDate,24 Aug 1914,"{""day""=>[""24""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
7,AWD0001exu,diary,5,7,1914-08-24 00:00:00 UTC,24 Aug 1914,Boulogne,"[1.61667, 50.71667]","",place,Boulogne,"{""place""=>[""Boulogne""], ""location""=>[""true""], ""name""=>[""Boulogne-sur-Mer""], ""lat""=>[""50.71667""], ""long""=>[""1.61667""], ""id""=>[""3031133""]}",3031862,Bologne,"[5.14209, 48.20004]"
8,AWD0001exu,diary,5,2,1914-08-24 00:00:00 UTC,24 Aug 1914,Boulogne,"[1.61667, 50.71667]","",activity,movement,{},3031862,Bologne,"[5.14209, 48.20004]"
9,AWD0001exu,diary,5,5,1914-08-25 00:00:00 UTC,25 Aug 1914,Boulogne,"[1.61667, 50.71667]","",diaryDate,25 Aug 1914,"{""day""=>[""25""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3031862,Bologne,"[5.14209, 48.20004]"
16,AWD0001exu,diary,5,5,1914-08-26 00:00:00 UTC,26 Aug 1914,Boulogne,"[1.61667, 50.71667]","",diaryDate,26 Aug 1914,"{""day""=>[""26""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3031862,Bologne,"[5.14209, 48.20004]"
17,AWD0001exu,diary,5,5,1914-08-26 00:00:00 UTC,26 Aug 1914,"ST QUENTIN, Saint Quentin, st quentin, St.Quentin, St. Quentin","[0.0, 0.0]","",place,"ST QUENTIN, Saint Quentin, st quentin, St.Quentin, St. Quentin","{""place""=>[""ST QUENTIN"", ""Saint Quentin"", ""st quentin"", ""St.Quentin"", ""St. Quentin""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2977295,Saint-Quentin,"[3.28757, 49.84889]"
20,AWD0001exu,diary,5,4,1914-08-26 00:00:00 UTC,26 Aug 1914,Amiens,"[2.3, 49.9]","",place,Amiens,"{""place""=>[""Amiens""], ""location""=>[""true""], ""name""=>[""Amiens"", """"], ""lat""=>[""49.9"", """"], ""long""=>[""2.3"", """"], ""id""=>[""3037854"", """"]}",3037854,Amiens,"[2.3, 49.9]"
22,AWD0001exu,diary,5,2,1914-08-26 00:00:00 UTC,26 Aug 1914,"sileux, Sileux","[1.09932, 49.44313]","",place,"sileux, Sileux","{""place""=>[""sileux"", ""Sileux""], ""location""=>[""true""], ""name""=>[""Rouen"", """"], ""lat""=>[""49.44313"", """"], ""long""=>[""1.09932"", """"], ""id""=>[""2982652"", """"]}",,,
24,AWD0001exu,diary,5,3,1914-08-27 00:00:00 UTC,27 Aug 1914,"sileux, Sileux","[1.09932, 49.44313]","",diaryDate,27 Aug 1914,"{""day""=>[""27""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
