Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001hpj,diary,4,5,1915-12-24 00:00:00 UTC,24 Dec 1915,"","[0.0, 0.0]","",diaryDate,24 Dec 1915,"{""day""=>[""24""], ""month""=>[""Dec""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001hpj,diary,4,5,1915-12-24 00:00:00 UTC,24 Dec 1915,"","[0.0, 0.0]","",person,Second Lieutenant R L Duchesne,"{""first""=>[""R L""], ""surname""=>[""Duchesne""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001hpj,diary,4,5,1915-12-24 00:00:00 UTC,24 Dec 1915,"","[0.0, 0.0]","",person,Second Lieutenant T S Glover,"{""first""=>[""T S""], ""surname""=>[""Glover""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""KOYLI"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0001hpj,diary,4,5,1915-12-24 00:00:00 UTC,24 Dec 1915,"","[0.0, 0.0]","",person,Captain R H Cutting,"{""first""=>[""R H""], ""surname""=>[""Cutting""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""1st Devons""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0001hpj,diary,4,2,1915-12-24 00:00:00 UTC,24 Dec 1915,"","[0.0, 0.0]","",person,  ,"{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0001hpj,diary,4,5,1915-12-25 00:00:00 UTC,25 Dec 1915,"","[0.0, 0.0]","",diaryDate,25 Dec 1915,"{""day""=>[""25""], ""month""=>[""Dec""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0001hpj,diary,4,5,1915-12-26 00:00:00 UTC,26 Dec 1915,"","[0.0, 0.0]","",diaryDate,26 Dec 1915,"{""day""=>[""26""], ""month""=>[""Dec""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0001hpj,diary,4,2,1915-12-26 00:00:00 UTC,26 Dec 1915,"","[0.0, 0.0]","",person,  ,"{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0001hpj,diary,4,5,1915-12-26 00:00:00 UTC,26 Dec 1915,"","[0.0, 0.0]","",person,Second Lieutenant B J G Whitaker,"{""first""=>[""B J G""], ""surname""=>[""Whitaker""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""2nd Duke of Wellingtons"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0001hpj,diary,4,5,1915-12-26 00:00:00 UTC,26 Dec 1915,"","[0.0, 0.0]","",person,Lieutenant F D Chadwick,"{""first""=>[""F D""], ""surname""=>[""Chadwick""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""2nd Duke of Wellingtons""]}",2985684,Pozières,"[2.72929, 50.04047]"
