Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001jtv,diary,3,2,,"","","[0.0, 0.0]","",mapRef,"scale: 10-00am, date: 13/12/16",{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001jtv,diary,3,5,,"",Havre,"[4.04675, 50.46401]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Havré""], ""lat""=>[""50.46401""], ""long""=>[""4.04675""], ""id""=>[""2796353""]}",3003796,Le Havre,"[0.10767, 49.4938]"
5,AWD0001jtv,diary,3,6,1916-12-13 00:00:00 UTC,13 Dec 1916,Havre,"[4.04675, 50.46401]","",diaryDate,13 Dec 1916,"{""day""=>[""13""], ""month""=>[""Dec""], ""year""=>[""1916""]}",3003796,Le Havre,"[0.10767, 49.4938]"
8,AWD0001jtv,diary,3,5,1916-12-13 10:00:00 UTC,13 Dec 1916,Havre,"[4.04675, 50.46401]",1000AM,time,1000AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
9,AWD0001jtv,diary,3,7,1916-12-13 10:00:00 UTC,13 Dec 1916,Havre,"[4.04675, 50.46401]",1000AM,activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
10,AWD0001jtv,diary,3,5,1916-12-13 10:00:00 UTC,13 Dec 1916,Havre,"[4.04675, 50.46401]",1000AM,place,Havre,"{""place""=>[""Havre""], ""location""=>[""false""], ""name""=>[""Havré""], ""lat""=>[""50.46401""], ""long""=>[""4.04675""], ""id""=>[""2796353""]}",3003796,Le Havre,"[0.10767, 49.4938]"
11,AWD0001jtv,diary,3,6,1916-12-14 00:00:00 UTC,14 Dec 1916,Havre,"[4.04675, 50.46401]","",diaryDate,14 Dec 1916,"{""day""=>[""14""], ""month""=>[""Dec""], ""year""=>[""1916""]}",3003796,Le Havre,"[0.10767, 49.4938]"
13,AWD0001jtv,diary,3,5,1916-12-14 10:00:00 UTC,14 Dec 1916,Havre,"[4.04675, 50.46401]",1000AM,time,1000AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
15,AWD0001jtv,diary,3,3,1916-12-14 10:00:00 UTC,14 Dec 1916,Havre,"[4.04675, 50.46401]",1000AM,domestic,medical,{},3003796,Le Havre,"[0.10767, 49.4938]"
17,AWD0001jtv,diary,3,5,1916-12-14 17:00:00 UTC,14 Dec 1916,Havre,"[4.04675, 50.46401]",0500PM,time,0500PM,{},3003796,Le Havre,"[0.10767, 49.4938]"
