Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001k57,diary,4,6,1914-08-06 00:00:00 UTC,6 Aug 1914,"","[0.0, 0.0]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001k57,diary,4,6,1914-08-06 20:00:00 UTC,6 Aug 1914,"","[0.0, 0.0]",0800PM,time,0800PM,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001k57,diary,4,7,1914-08-06 20:00:00 UTC,6 Aug 1914,Cork,"[0.0, 0.0]",0800PM,place,Cork,"{""place""=>[""Cork""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3023852,"Contalmaison,","[2.73123, 50.02275]"
6,AWD0001k57,diary,4,2,1914-08-06 20:00:00 UTC,6 Aug 1914,Cork,"[0.0, 0.0]",0800PM,place,"dublin, Dublin","{""place""=>[""dublin"", ""Dublin""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3023852,"Contalmaison,","[2.73123, 50.02275]"
7,AWD0001k57,diary,4,2,1914-08-06 13:00:00 UTC,6 Aug 1914,Cork,"[0.0, 0.0]",0100PM,time,0100PM,{},3023852,"Contalmaison,","[2.73123, 50.02275]"
9,AWD0001k57,diary,4,5,1914-08-06 13:00:00 UTC,6 Aug 1914,Cork,"[0.0, 0.0]",0100PM,person,Major  Walker,"{""first""=>[""""], ""surname""=>[""Walker""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>["""", ""16 Field Ambulance""]}",3023852,"Contalmaison,","[2.73123, 50.02275]"
10,AWD0001k57,diary,4,2,1914-08-06 13:00:00 UTC,6 Aug 1914,Cork,"[0.0, 0.0]",0100PM,person,",Captain  ","{""first""=>[""""], ""surname""=>[""""], ""rank""=>["""", ""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3023852,"Contalmaison,","[2.73123, 50.02275]"
11,AWD0001k57,diary,4,4,1914-08-06 13:00:00 UTC,6 Aug 1914,Cork,"[0.0, 0.0]",0100PM,person,Captain  McCutcheon,"{""first""=>[""""], ""surname""=>[""McCutcheon""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>["""", ""16 Field Ambulance""]}",3023852,"Contalmaison,","[2.73123, 50.02275]"
12,AWD0001k57,diary,4,7,1914-08-06 13:00:00 UTC,6 Aug 1914,Cork,"[0.0, 0.0]",0100PM,person,"Captain  Bennett, Bennet","{""first""=>[""""], ""surname""=>[""Bennett"", ""Bennet""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3023852,"Contalmaison,","[2.73123, 50.02275]"
13,AWD0001k57,diary,4,4,1914-08-06 13:00:00 UTC,6 Aug 1914,Cork,"[0.0, 0.0]",0100PM,weather,fine,{},3023852,"Contalmaison,","[2.73123, 50.02275]"
