Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001kff,diary,4,4,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001kff,diary,4,5,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",casualties,wounded: 1,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001kff,diary,4,2,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0001kff,diary,4,8,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",activity,line,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0001kff,diary,4,5,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",activity,fire,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0001kff,diary,4,6,1916-01-02 00:00:00 UTC,2 Jan 1916,"","[0.0, 0.0]","",diaryDate,2 Jan 1916,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0001kff,diary,4,3,1916-01-02 00:00:00 UTC,2 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",place,trenches Forward Cottage,"{""place""=>[""trenches Forward Cottage""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
10,AWD0001kff,diary,4,2,1916-01-02 00:00:00 UTC,2 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",domestic,accomodation,{},,,
11,AWD0001kff,diary,4,2,1916-01-02 00:00:00 UTC,2 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",person,  ,"{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
14,AWD0001kff,diary,4,5,1916-01-02 00:00:00 UTC,2 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",unit,8th Bedfordshire,"{""name""=>[""8th Bedfordshire""], ""context""=>[""relieved""]}",,,
17,AWD0001kff,diary,4,5,1916-01-03 00:00:00 UTC,3 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",diaryDate,3 Jan 1916,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
18,AWD0001kff,diary,4,2,1916-01-03 00:00:00 UTC,3 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",activity,line,{},,,
19,AWD0001kff,diary,4,6,1916-01-04 00:00:00 UTC,4 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",diaryDate,4 Jan 1916,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
20,AWD0001kff,diary,4,4,1916-01-17 00:00:00 UTC,17 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",diaryDate,17 Jan 1916,"{""day""=>[""17""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
21,AWD0001kff,diary,4,4,1916-01-17 00:00:00 UTC,17 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",domestic,accomodation,{},,,
22,AWD0001kff,diary,4,6,1916-01-05 00:00:00 UTC,5 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",diaryDate,5 Jan 1916,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
24,AWD0001kff,diary,4,4,1916-01-05 00:00:00 UTC,5 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",person,Second Lieutenant D G Ferguson,"{""first""=>[""D G""], ""surname""=>[""Ferguson""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
25,AWD0001kff,diary,4,5,1916-01-06 00:00:00 UTC,6 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",diaryDate,6 Jan 1916,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
26,AWD0001kff,diary,4,5,1916-01-06 00:00:00 UTC,6 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",person,Second Lieutenant P Dangerfield,"{""first""=>[""P""], ""surname""=>[""Dangerfield""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
27,AWD0001kff,diary,4,5,1916-01-06 00:00:00 UTC,6 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",person,Second Lieutenant B E Davies,"{""first""=>[""B E""], ""surname""=>[""Davies""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
30,AWD0001kff,diary,4,5,1916-01-06 00:00:00 UTC,6 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",person,Second Lieutenant C E Clouting,"{""first""=>[""C E""], ""surname""=>[""Clouting""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
31,AWD0001kff,diary,4,6,1916-01-06 00:00:00 UTC,6 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",person,Captain C F Cattley,"{""first""=>[""C F""], ""surname""=>[""Cattley""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
32,AWD0001kff,diary,4,5,1916-01-06 00:00:00 UTC,6 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",person,"Captain R W Hornan, Harmon, Homan, Hannan, Harman","{""first""=>[""R W""], ""surname""=>[""Hornan"", ""Harmon"", ""Homan"", ""Hannan"", ""Harman""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
33,AWD0001kff,diary,4,3,1916-01-06 00:00:00 UTC,6 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",person,"Captain K W Jones  D.S.O., Jones, James DSO","{""first""=>[""K W""], ""surname""=>[""Jones  D.S.O."", ""Jones"", ""James DSO""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>["""", ""R.A.M.C."", ""RAMC/SR""]}",,,
37,AWD0001kff,diary,4,2,1916-01-06 00:00:00 UTC,6 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",domestic,accomodation,{},,,
38,AWD0001kff,diary,4,15,1916-01-06 00:00:00 UTC,6 Jan 1916,trenches Forward Cottage,"[0.0, 0.0]","",person,"Corporal  Wren, Gunn","{""first""=>[""""], ""surname""=>[""Wren"", ""Gunn""], ""rank""=>[""Corporal""], ""number""=>[""9323"", ""5995""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
