Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001lhq,diary,151,4,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",diaryDate,1 Apr 1918,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001lhq,diary,151,4,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",person,Lieutenant Colonel F Latham,"{""first""=>[""F""], ""surname""=>[""Latham""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001lhq,diary,151,4,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",person,Captain R N Davis,"{""first""=>[""R N""], ""surname""=>[""Davis""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001lhq,diary,151,4,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",person,Captain H W J Brooker,"{""first""=>[""H W J""], ""surname""=>[""Brooker""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001lhq,diary,151,4,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",person,Second Lieutenant D F M Hackett,"{""first""=>[""D F M""], ""surname""=>[""Hackett""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0001lhq,diary,151,4,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",person,Major J H Greasley,"{""first""=>[""J H""], ""surname""=>[""Greasley""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0001lhq,diary,151,4,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",person,Captain F Taylor,"{""first""=>[""F""], ""surname""=>[""Taylor""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0001lhq,diary,151,4,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",person,Captain S T Hartshorne,"{""first""=>[""S T""], ""surname""=>[""Hartshorne""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander"", ""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0001lhq,diary,151,4,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",person,Second Lieutenant A E W Paterson,"{""first""=>[""A E W""], ""surname""=>[""Paterson""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""commander"", ""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0001lhq,diary,151,4,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",person,Second Lieutenant A H Muggeridge,"{""first""=>[""A H""], ""surname""=>[""Muggeridge""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other"", ""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0001lhq,diary,151,4,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",person,Second Lieutenant D H Sims,"{""first""=>[""D H""], ""surname""=>[""Sims""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""commander"", ""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0001lhq,diary,151,4,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",person,Lieutenant R J Huntley,"{""first""=>[""R J""], ""surname""=>[""Huntley""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander"", ""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
1,AWD0001lhk,diary,152,6,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",diaryDate,1 Apr 1918,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001lhk,diary,152,6,1918-04-01 00:00:00 UTC,1 Apr 1918,Winnezeele,"[2.55118, 50.841]","",place,Winnezeele,"{""place""=>[""Winnezeele""], ""location""=>[""true""], ""name""=>[""Winnezeele""], ""lat""=>[""50.841""], ""long""=>[""2.55118""], ""id""=>[""2967341""]}",2967341,Winnezeele,"[2.55118, 50.841]"
4,AWD0001lhk,diary,152,6,1918-04-01 00:00:00 UTC,1 Apr 1918,Winnezeele,"[2.55118, 50.841]","",activity,training,{},2967341,Winnezeele,"[2.55118, 50.841]"
6,AWD0001lhk,diary,152,2,1918-04-01 00:00:00 UTC,1 Apr 1918,Winnezeele,"[2.55118, 50.841]","",place,Ypres Salient,"{""place""=>[""Ypres Salient""], ""location""=>[""true"", ""false""], ""name""=>[""Winnezeele"", """"], ""lat""=>[""50.841"", """"], ""long""=>[""2.55118"", """"], ""id""=>[""2967341"", """"]}",2967341,Winnezeele,"[2.55118, 50.841]"
8,AWD0001lhk,diary,152,4,1918-04-01 20:00:00 UTC,1 Apr 1918,Winnezeele,"[2.55118, 50.841]",0800PM,time,0800PM,{},2967341,Winnezeele,"[2.55118, 50.841]"
