Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001n83,"report, other",2,2,,,,[],,title,2nd Battalion GORDON HIGHLANDERS,{},,,
2,AWD0001n83,"report, other",2,2,,,,[],,person,"Lieutenant Colonel  Smoll, SMOLL","{""first""=>[""""], ""surname""=>[""Smoll"", ""SMOLL""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
3,AWD0001n83,"report, other",2,2,,,,[],,date,7 Apr 1922,{},,,
2,AWD0001nbl,diary,8,2,,"","","[0.0, 0.0]",1100PM,time,1100PM,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001nbl,diary,8,2,,"","","[0.0, 0.0]",1100PM,activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001nbl,diary,8,4,1914-10-04 00:00:00 UTC,4 Oct 1914,"","[0.0, 0.0]","",diaryDate,4 Oct 1914,"{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0001nbl,diary,8,6,1914-10-04 00:00:00 UTC,4 Oct 1914,Lyndhurst,"[-1.57662, 50.87259]","",place,Lyndhurst,"{""place""=>[""Lyndhurst""], ""location""=>[""true""], ""name""=>[""Lyndhurst""], ""lat""=>[""50.87259""], ""long""=>[""-1.57662""], ""id""=>[""2643304""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
7,AWD0001nbl,diary,8,4,1914-10-05 00:00:00 UTC,5 Oct 1914,Lyndhurst,"[-1.57662, 50.87259]","",diaryDate,5 Oct 1914,"{""day""=>[""5""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
8,AWD0001nbl,diary,8,2,1914-10-05 02:30:00 UTC,5 Oct 1914,Lyndhurst,"[-1.57662, 50.87259]",0230AM,time,0230AM,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
9,AWD0001nbl,diary,8,5,1914-10-05 02:30:00 UTC,5 Oct 1914,Southampton,"[-1.40428, 50.90395]",0230AM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
