Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0001nmi,diary,5,7,,"",Ville sur Ancre,"[2.61194, 49.96194]","",place,Ville sur Ancre,"{""place""=>[""Ville sur Ancre""], ""location""=>[""true""], ""name""=>[""Ville-sur-Ancre""], ""lat""=>[""49.96194""], ""long""=>[""2.61194""], ""id""=>[""2968289""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
3,AWD0001nmi,diary,5,6,1916-02-10 00:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]","",diaryDate,10 Feb 1916,"{""day""=>[""10""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
4,AWD0001nmi,diary,5,6,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,time,1100AM,{},2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
5,AWD0001nmi,diary,5,2,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,unit,"2nd Bn Gordon Highlanders, 2 Bn Gordon Highlanders","{""name""=>[""2nd Bn Gordon Highlanders"", ""2 Bn Gordon Highlanders""], ""context""=>[""other""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
9,AWD0001nmi,diary,5,2,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,place,"Ville sur Ancre, Ville sur ancre","{""place""=>[""Ville sur Ancre"", ""Ville sur ancre""], ""location""=>[""false"", ""true""], ""name""=>[""Ville-sur-Ancre""], ""lat""=>[""49.96194""], ""long""=>[""2.61194""], ""id""=>[""2968289""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
10,AWD0001nmi,diary,5,2,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,activity,repair,{},2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
11,AWD0001nmi,diary,5,3,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,unit,"9th S Bn Devonshire Rgt, 8th S Bn Devonshire Regt, 8 th S Bn Devonshire Rgt","{""name""=>[""9th S Bn Devonshire Rgt"", ""8th S Bn Devonshire Regt"", ""8 th S Bn Devonshire Rgt""], ""context""=>[""other""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
15,AWD0001nmi,diary,5,2,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,unit,"2nd Bn Border Regt, 2 nd Bn Border Rgt","{""name""=>[""2nd Bn Border Regt"", ""2 nd Bn Border Rgt""], ""context""=>[""other""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
17,AWD0001nmi,diary,5,7,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,person,Captain F W Petrie-Hay,"{""first""=>[""F W""], ""surname""=>[""Petrie-Hay""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
19,AWD0001nmi,diary,5,7,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,person,Second Lieutenant H H Lawley,"{""first""=>[""H H""], ""surname""=>[""Lawley""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
20,AWD0001nmi,diary,5,2,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,unit,"1st Bn North Staffordshire Regt, 1st Bn. North Staffordshire Regt.","{""name""=>[""1st Bn North Staffordshire Regt"", ""1st Bn. North Staffordshire Regt.""], ""context""=>[""other""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
21,AWD0001nmi,diary,5,7,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,person,Second Lieutenant D H Leck,"{""first""=>[""D H""], ""surname""=>[""Leck""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
23,AWD0001nmi,diary,5,6,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,person,Second Lieutenant V R McGregor,"{""first""=>[""V R""], ""surname""=>[""McGregor""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
25,AWD0001nmi,diary,5,6,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,person,Second Lieutenant H D Drew,"{""first""=>[""H D""], ""surname""=>[""Drew""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
27,AWD0001nmi,diary,5,6,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,person,Second Lieutenant G H Bickley,"{""first""=>[""G H""], ""surname""=>[""Bickley""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
29,AWD0001nmi,diary,5,6,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,person,Second Lieutenant R P W Whiteway,"{""first""=>[""R P W""], ""surname""=>[""Whiteway""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
30,AWD0001nmi,diary,5,6,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,person,Second Lieutenant G H Eardley-Wilmot,"{""first""=>[""G H""], ""surname""=>[""Eardley-Wilmot""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
31,AWD0001nmi,diary,5,5,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,person,Second Lieutenant W A Crichton,"{""first""=>[""W A""], ""surname""=>[""Crichton""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
34,AWD0001nmi,diary,5,2,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,strength,"officer: 9, other: 136",{},2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
36,AWD0001nmi,diary,5,6,1916-02-10 11:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]",1100AM,weather,cold,{},2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
2,AWD0001nje,diary,6,7,1916-02-10 00:00:00 UTC,10 Feb 1916,Ville sur Ancre,"[2.61194, 49.96194]","",diaryDate,10 Feb 1916,"{""day""=>[""10""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2968289,Ville-sur-Ancre,"[2.61194, 49.96194]"
