Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
3,AWD0001qph,cover,4,2,,,,[],,person," ,C E ","{""first""=>["""", ""C E""], ""surname""=>[""""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
2,AWD0001qsn,diary,6,6,1914-12-24 00:00:00 UTC,24 Dec 1914,"","[0.0, 0.0]","",diaryDate,24 Dec 1914,"{""day""=>[""24""], ""month""=>[""Dec""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001qsn,diary,6,4,1914-12-24 00:00:00 UTC,24 Dec 1914,"","[0.0, 0.0]","",place,White City Camp,"{""place""=>[""White City Camp""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001qsn,diary,6,3,1914-12-24 00:00:00 UTC,24 Dec 1914,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0001qsn,diary,6,6,1914-12-24 09:30:00 UTC,24 Dec 1914,"","[0.0, 0.0]",0930AM,time,0930AM,{},2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0001qsn,diary,6,7,1914-12-24 10:00:00 UTC,24 Dec 1914,"","[0.0, 0.0]",1000AM,time,1000AM,{},2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0001qsn,diary,6,2,1914-12-24 10:00:00 UTC,24 Dec 1914,"Addison Road Station, Addison road station","[0.0, 0.0]",1000AM,place,"Addison Road Station, Addison road station","{""place""=>[""Addison Road Station"", ""Addison road station""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
11,AWD0001qsn,diary,6,2,1914-12-24 10:00:00 UTC,24 Dec 1914,"Addison Road Station, Addison road station","[0.0, 0.0]",1000AM,activity,movement,{},,,
12,AWD0001qsn,diary,6,3,1914-12-24 10:00:00 UTC,24 Dec 1914,Southampton,"[-1.40428, 50.90395]",1000AM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
14,AWD0001qsn,diary,6,3,1914-12-24 10:00:00 UTC,24 Dec 1914,Southampton Docks,"[0.0, 0.0]",1000AM,place,Southampton Docks,"{""place""=>[""Southampton Docks""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
