Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001rmf,diary,1,2,,"","","[0.0, 0.0]","",place,"Norrent, NORRENT","{""place""=>[""Norrent"", ""NORRENT""], ""location""=>[""false"", ""true""], ""name""=>["""", ""Norrent-Fontes""], ""lat""=>["""", ""50.58333""], ""long""=>["""", ""2.4""], ""id""=>["""", ""2990096""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001rmf,diary,1,2,1915-10-12 00:00:00 UTC,12 Oct 1915,"","[0.0, 0.0]","",diaryDate,12 Oct 1915,"{""day""=>[""12""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001rmf,diary,1,3,1915-10-17 00:00:00 UTC,17 Oct 1915,"","[0.0, 0.0]","",diaryDate,17 Oct 1915,"{""day""=>[""17""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001rmf,diary,1,3,1915-10-17 00:00:00 UTC,17 Oct 1915,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0001rmf,diary,1,2,1915-10-19 00:00:00 UTC,19 Oct 1915,"","[0.0, 0.0]","",diaryDate,19 Oct 1915,"{""day""=>[""19""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0001rmf,diary,1,2,1915-10-19 00:00:00 UTC,19 Oct 1915,"","[0.0, 0.0]","",place,"THIEMBRONNE, Thiembronne","{""place""=>[""THIEMBRONNE"", ""Thiembronne""], ""location""=>[""true"", ""false""], ""name""=>[""Thiembronne""], ""lat""=>[""50.62101""], ""long""=>[""2.05869""], ""id""=>[""2972867""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0001rmf,diary,1,2,1915-10-20 00:00:00 UTC,20 Oct 1915,"","[0.0, 0.0]","",diaryDate,20 Oct 1915,"{""day""=>[""20""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
17,AWD0001rmf,diary,1,2,1915-10-20 00:00:00 UTC,20 Oct 1915,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
1,AWD0001rnc,diary,2,3,1915-10-20 00:00:00 UTC,20 Oct 1915,Thiembronne,"[2.05869, 50.62101]","",place,Thiembronne,"{""place""=>[""Thiembronne""], ""location""=>[""true""], ""name""=>[""Thiembronne""], ""lat""=>[""50.62101""], ""long""=>[""2.05869""], ""id""=>[""2972867""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
2,AWD0001rnc,diary,2,4,1915-10-24 00:00:00 UTC,24 Oct 1915,Thiembronne,"[2.05869, 50.62101]","",diaryDate,24 Oct 1915,"{""day""=>[""24""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
3,AWD0001rnc,diary,2,2,1915-11-26 00:00:00 UTC,26 Nov 1915,Thiembronne,"[2.05869, 50.62101]","",diaryDate,26 Nov 1915,"{""day""=>[""26""], ""month""=>[""Nov""], ""year""=>[""1915""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
6,AWD0001rnc,diary,2,2,1915-11-26 00:00:00 UTC,26 Nov 1915,Thiembronne,"[2.05869, 50.62101]","",unit,"R M A Woolwich, RMA WOOLICH","{""name""=>[""R M A Woolwich"", ""RMA WOOLICH""], ""context""=>[""joined""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
7,AWD0001rnc,diary,2,3,1915-11-26 00:00:00 UTC,26 Nov 1915,Thiembronne,"[2.05869, 50.62101]","",person,"Captain C J Clibborn, Glibborne, CLIBBORN","{""first""=>[""C J""], ""surname""=>[""Clibborn"", ""Glibborne"", ""CLIBBORN""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""promotion""], ""unit""=>[""3rd Div Art"", ""23rd Div "", ""23RD DIV ART""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
8,AWD0001rnc,diary,2,2,1915-11-26 00:00:00 UTC,26 Nov 1915,Thiembronne,"[2.05869, 50.62101]","",person,"Captain  Soames, SOAMES","{""first""=>[""""], ""surname""=>[""Soames"", ""SOAMES""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""14th Division"", ""14TH DIV""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
9,AWD0001rnc,diary,2,2,1915-11-26 00:00:00 UTC,26 Nov 1915,Thiembronne,"[2.05869, 50.62101]","",person,"Captain  Walwyn, WALWYN","{""first""=>[""""], ""surname""=>[""Walwyn"", ""WALWYN""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>["""", ""UK""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
11,AWD0001rnc,diary,2,2,1915-11-26 00:00:00 UTC,26 Nov 1915,Thiembronne,"[2.05869, 50.62101]","",person,"Captain M H Dendy, DENDY","{""first""=>[""M H""], ""surname""=>[""Dendy"", ""DENDY""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""7th Division"", ""7TH DIV""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
1,AWD0001rmg,diary,3,2,1915-10-24 00:00:00 UTC,24 Oct 1915,Thiembronne,"[2.05869, 50.62101]","",diaryDate,24 Oct 1915,"{""day""=>[""24""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
2,AWD0001rmg,diary,3,4,1915-10-24 00:00:00 UTC,24 Oct 1915,Thiembronne,"[2.05869, 50.62101]","",place,Thiembronne,"{""place""=>[""Thiembronne""], ""location""=>[""true""], ""name""=>[""Thiembronne""], ""lat""=>[""50.62101""], ""long""=>[""2.05869""], ""id""=>[""2972867""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
3,AWD0001rmg,diary,3,2,1915-11-26 00:00:00 UTC,26 Nov 1915,Thiembronne,"[2.05869, 50.62101]","",diaryDate,26 Nov 1915,"{""day""=>[""26""], ""month""=>[""Nov""], ""year""=>[""1915""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
5,AWD0001rmg,diary,3,3,1915-11-26 00:00:00 UTC,26 Nov 1915,Thiembronne,"[2.05869, 50.62101]","",person,Lieutenant V Walrond,"{""first""=>[""V""], ""surname""=>[""Walrond""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""2nd Division""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
6,AWD0001rmg,diary,3,3,1915-11-26 00:00:00 UTC,26 Nov 1915,Thiembronne,"[2.05869, 50.62101]","",person,Lieutenant I R Anderson,"{""first""=>[""I R""], ""surname""=>[""Anderson""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""Meervt Division"", ""MEERUT DIV"", ""Meerut Division""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
7,AWD0001rmg,diary,3,4,1915-11-26 00:00:00 UTC,26 Nov 1915,Thiembronne,"[2.05869, 50.62101]","",person,Second Lieutenant T S Fuller,"{""first""=>[""T S""], ""surname""=>[""Fuller""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
8,AWD0001rmg,diary,3,4,1915-11-26 00:00:00 UTC,26 Nov 1915,Thiembronne,"[2.05869, 50.62101]","",person,Second Lieutenant K A Townsend,"{""first""=>[""K A""], ""surname""=>[""Townsend""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>["""", ""Royal Horse Artillery"", ""D  RHA"", ""D Company RHA""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
9,AWD0001rmg,diary,3,2,1915-11-26 00:00:00 UTC,26 Nov 1915,Thiembronne,"[2.05869, 50.62101]","",person,"Second Lieutenant N N,M N Dewing","{""first""=>[""N N"", ""M N""], ""surname""=>[""Dewing""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined"", ""departed_posted""], ""unit""=>["""", ""Royal Horse Artillery""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
11,AWD0001rmg,diary,3,2,1915-11-26 00:00:00 UTC,26 Nov 1915,Thiembronne,"[2.05869, 50.62101]","",person,",Lieutenant M,M N Dewing, DEWING","{""first""=>[""M"", ""M N""], ""surname""=>[""Dewing"", ""DEWING""], ""rank""=>["""", ""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""E Company RHA"", ""E  RHA""]}",2972867,Thiembronne,"[2.05869, 50.62101]"
