Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001x1p,diary,438,2,1919-04-01 00:00:00 UTC,1 Apr 1919,"","[0.0, 0.0]","",diaryDate,1 Apr 1919,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001x1p,diary,438,3,1919-04-01 00:00:00 UTC,1 Apr 1919,Munstereifel,"[0.0, 0.0]","",place,Munstereifel,"{""place""=>[""Munstereifel""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
3,AWD0001x1p,diary,438,2,1919-04-01 00:00:00 UTC,1 Apr 1919,Munstereifel,"[0.0, 0.0]","",unit,"3 st Bde Munstereipel, 3 Bde MUNSTEREIFEL","{""name""=>[""3 st Bde Munstereipel"", ""3 Bde MUNSTEREIFEL""], ""context""=>[""joined""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
4,AWD0001x1p,diary,438,2,1919-04-01 00:00:00 UTC,1 Apr 1919,Munstereifel,"[0.0, 0.0]","",unit,"3 Bde ARLOFF, 3 st Bde Arloff","{""name""=>[""3 Bde ARLOFF"", ""3 st Bde Arloff""], ""context""=>[""joined""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
5,AWD0001x1p,diary,438,2,1919-04-01 00:00:00 UTC,1 Apr 1919,Munstereifel,"[0.0, 0.0]","",person,  ARLOFF,"{""first""=>[""""], ""surname""=>[""ARLOFF""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""commander"", ""other""], ""unit""=>[""""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
6,AWD0001x1p,diary,438,2,1919-04-01 00:00:00 UTC,1 Apr 1919,Arloff,"[6.79288, 50.59462]","",place,Arloff,"{""place""=>[""Arloff""], ""location""=>[""true""], ""name""=>[""Arloff""], ""lat""=>[""50.59462""], ""long""=>[""6.79288""], ""id""=>[""2955562""]}",2955562,Arloff,"[6.79288, 50.59462]"
7,AWD0001x1p,diary,438,4,1919-04-01 00:00:00 UTC,1 Apr 1919,Arloff,"[6.79288, 50.59462]","",diaryDate,1 Apr 1919,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1919""]}",2955562,Arloff,"[6.79288, 50.59462]"
9,AWD0001x1p,diary,438,2,1919-04-01 00:00:00 UTC,1 Apr 1919,Arloff,"[6.79288, 50.59462]","",unit,3rd Brigade,"{""name""=>[""3rd Brigade""], ""context""=>[""other""]}",2955562,Arloff,"[6.79288, 50.59462]"
10,AWD0001x1p,diary,438,4,1919-04-01 00:00:00 UTC,1 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",place,"Tripplesdorf, Germany","{""place""=>[""Tripplesdorf, Germany""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
16,AWD0001x1p,diary,438,4,1919-04-02 00:00:00 UTC,2 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,2 Apr 1919,"{""day""=>[""2""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
17,AWD0001x1p,diary,438,4,1919-04-03 00:00:00 UTC,3 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,3 Apr 1919,"{""day""=>[""3""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
19,AWD0001x1p,diary,438,4,1919-04-04 00:00:00 UTC,4 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,4 Apr 1919,"{""day""=>[""4""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
20,AWD0001x1p,diary,438,4,1919-04-05 00:00:00 UTC,5 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,5 Apr 1919,"{""day""=>[""5""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
21,AWD0001x1p,diary,438,5,1919-04-06 00:00:00 UTC,6 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,6 Apr 1919,"{""day""=>[""6""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
22,AWD0001x1p,diary,438,3,1919-04-06 00:00:00 UTC,6 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",domestic,parades,{},,,
24,AWD0001x1p,diary,438,4,1919-04-07 00:00:00 UTC,7 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,7 Apr 1919,"{""day""=>[""7""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
25,AWD0001x1p,diary,438,2,1919-04-07 00:00:00 UTC,7 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",place,Munstereifel,"{""place""=>[""Munstereifel""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Bad Münstereifel""], ""lat""=>["""", ""50.55666""], ""long""=>["""", ""6.76424""], ""id""=>["""", ""2953398""]}",,,
27,AWD0001x1p,diary,438,4,1919-04-08 00:00:00 UTC,8 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,8 Apr 1919,"{""day""=>[""8""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
28,AWD0001x1p,diary,438,4,1919-04-09 00:00:00 UTC,9 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,9 Apr 1919,"{""day""=>[""9""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
29,AWD0001x1p,diary,438,4,1919-04-10 00:00:00 UTC,10 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,10 Apr 1919,"{""day""=>[""10""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
30,AWD0001x1p,diary,438,4,1919-04-11 00:00:00 UTC,11 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,11 Apr 1919,"{""day""=>[""11""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
31,AWD0001x1p,diary,438,4,1919-04-12 00:00:00 UTC,12 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,12 Apr 1919,"{""day""=>[""12""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
32,AWD0001x1p,diary,438,5,1919-04-13 00:00:00 UTC,13 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,13 Apr 1919,"{""day""=>[""13""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
33,AWD0001x1p,diary,438,2,1919-04-13 00:00:00 UTC,13 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",domestic,parades,{},,,
36,AWD0001x1p,diary,438,4,1919-04-14 00:00:00 UTC,14 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,14 Apr 1919,"{""day""=>[""14""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
37,AWD0001x1p,diary,438,4,1919-04-15 00:00:00 UTC,15 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,15 Apr 1919,"{""day""=>[""15""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
38,AWD0001x1p,diary,438,4,1919-04-16 00:00:00 UTC,16 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,16 Apr 1919,"{""day""=>[""16""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
39,AWD0001x1p,diary,438,4,1919-04-17 00:00:00 UTC,17 Apr 1919,"Tripplesdorf, Germany","[0.0, 0.0]","",diaryDate,17 Apr 1919,"{""day""=>[""17""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
