Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001xt9,diary,351,5,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001xt9,diary,351,3,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",activity,support,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001xt9,diary,351,4,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",activity,quiet,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001xt9,diary,351,2,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",unit,1st Camerons,"{""name""=>[""1st Camerons""], ""context""=>[""relieved_by""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0001xt9,diary,351,4,1916-01-01 18:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]",0600PM,time,0600PM,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0001xt9,diary,351,2,1916-01-01 18:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]",0600PM,unit,"1st Camerons- 1st Bde, 1st Camerons - 1st Bde","{""name""=>[""1st Camerons- 1st Bde"", ""1st Camerons - 1st Bde""], ""context""=>[""relieved_by""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0001xt9,diary,351,3,1916-01-01 18:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]",0600PM,activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0001xt9,diary,351,4,1916-01-01 18:00:00 UTC,1 Jan 1916,Mazingabe,"[0.0, 0.0]",0600PM,place,Mazingabe,"{""place""=>[""Mazingabe""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2994837,Mazingarbe,"[2.71544, 50.4711]"
11,AWD0001xt9,diary,351,3,1916-01-02 00:00:00 UTC,2 Jan 1916,Mazingabe,"[0.0, 0.0]","",diaryDate,2 Jan 1916,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2994837,Mazingarbe,"[2.71544, 50.4711]"
12,AWD0001xt9,diary,351,5,1916-01-02 00:00:00 UTC,2 Jan 1916,"Mazingabe, MAZINGABE","[2.66121, 49.98167]","",place,"Mazingabe, MAZINGABE","{""place""=>[""Mazingabe"", ""MAZINGABE""], ""location""=>[""true""], ""name""=>["""", ""Méaulte""], ""lat""=>["""", ""49.98167""], ""long""=>["""", ""2.66121""], ""id""=>["""", ""2994803""]}",,,
13,AWD0001xt9,diary,351,5,1916-01-02 00:00:00 UTC,2 Jan 1916,"Mazingabe, MAZINGABE","[2.66121, 49.98167]","",activity,resting,{},,,
14,AWD0001xt9,diary,351,2,1916-01-02 00:00:00 UTC,2 Jan 1916,"Mazingabe, MAZINGABE","[2.66121, 49.98167]","",activity,other,{},,,
15,AWD0001xt9,diary,351,3,1916-01-02 00:00:00 UTC,2 Jan 1916,"Mazingabe, MAZINGABE","[2.66121, 49.98167]","",domestic,hygiene,{},,,
16,AWD0001xt9,diary,351,5,1916-01-02 00:00:00 UTC,2 Jan 1916,"Mazingabe, MAZINGABE","[2.66121, 49.98167]","",activity,fire,{},,,
17,AWD0001xt9,diary,351,4,1916-01-02 13:00:00 UTC,2 Jan 1916,"Mazingabe, MAZINGABE","[2.66121, 49.98167]",0100PM,time,0100PM,{},,,
18,AWD0001xt9,diary,351,4,1916-01-03 00:00:00 UTC,3 Jan 1916,"Mazingabe, MAZINGABE","[2.66121, 49.98167]","",diaryDate,3 Jan 1916,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
20,AWD0001xt9,diary,351,2,1916-01-03 00:00:00 UTC,3 Jan 1916,"Mazingabe, MAZINGABE","[2.66121, 49.98167]","",domestic,other,{},,,
21,AWD0001xt9,diary,351,2,1916-01-03 00:00:00 UTC,3 Jan 1916,"Mazingabe, MAZINGABE","[2.66121, 49.98167]","",domestic,accomodation,{},,,
22,AWD0001xt9,diary,351,2,1916-01-03 00:00:00 UTC,3 Jan 1916,"Mazingabe, MAZINGABE","[2.66121, 49.98167]","",unit,Fatigue Parties,"{""name""=>[""Fatigue Parties""], ""context""=>[""other""]}",,,
23,AWD0001xt9,diary,351,2,1916-01-03 00:00:00 UTC,3 Jan 1916,"Mazingabe, MAZINGABE","[2.66121, 49.98167]","",activity,working,{},,,
24,AWD0001xt9,diary,351,3,1916-01-04 00:00:00 UTC,4 Jan 1916,"Mazingabe, MAZINGABE","[2.66121, 49.98167]","",diaryDate,4 Jan 1916,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
25,AWD0001xt9,diary,351,2,1916-01-04 00:00:00 UTC,4 Jan 1916,MAZINGABE,"[2.66121, 49.98167]","",place,MAZINGABE,"{""place""=>[""MAZINGABE""], ""location""=>[""true""], ""name""=>[""Méaulte""], ""lat""=>[""49.98167""], ""long""=>[""2.66121""], ""id""=>[""2994803""]}",,,
26,AWD0001xt9,diary,351,3,1916-01-05 00:00:00 UTC,5 Jan 1916,MAZINGABE,"[2.66121, 49.98167]","",diaryDate,5 Jan 1916,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
31,AWD0001xt9,diary,351,4,1916-01-06 00:00:00 UTC,6 Jan 1916,MAZINGABE,"[2.66121, 49.98167]","",diaryDate,6 Jan 1916,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
34,AWD0001xt9,diary,351,2,1916-01-06 00:00:00 UTC,6 Jan 1916,MAZINGABE,"[2.66121, 49.98167]","",activity,other,{},,,
35,AWD0001xt9,diary,351,4,1916-01-07 00:00:00 UTC,7 Jan 1916,MAZINGABE,"[2.66121, 49.98167]","",diaryDate,7 Jan 1916,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
36,AWD0001xt9,diary,351,4,1916-01-07 16:30:00 UTC,7 Jan 1916,MAZINGABE,"[2.66121, 49.98167]",0430PM,time,0430PM,{},,,
37,AWD0001xt9,diary,351,3,1916-01-07 16:30:00 UTC,7 Jan 1916,MAZINGABE,"[2.66121, 49.98167]",0430PM,activity,movement,{},,,
38,AWD0001xt9,diary,351,3,1916-01-07 16:30:00 UTC,7 Jan 1916,MAZINGABE,"[2.66121, 49.98167]",0430PM,activity,support,{},,,
43,AWD0001xt9,diary,351,4,1916-01-07 16:30:00 UTC,7 Jan 1916,MAZINGABE,"[2.66121, 49.98167]",0430PM,unit,"6th Welch, 6th Welsh","{""name""=>[""6th Welch"", ""6th Welsh""], ""context""=>[""relieved""]}",,,
44,AWD0001xt9,diary,351,2,1916-01-07 16:30:00 UTC,7 Jan 1916,10th Avenue,"[0.0, 0.0]",0430PM,place,10th Avenue,"{""place""=>[""10th Avenue""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2994837,Mazingarbe,"[2.71544, 50.47109]"
47,AWD0001xt9,diary,351,2,1916-01-07 16:30:00 UTC,7 Jan 1916,10th Avenue,"[0.0, 0.0]",0430PM,unit,"R Sussex, 2 R. Sussex","{""name""=>[""R Sussex"", ""2 R. Sussex""], ""context""=>[""relieved"", ""relieved_by""]}",2994837,Mazingarbe,"[2.71544, 50.47109]"
