Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0001y10,diary,2,7,1919-03-17 00:00:00 UTC,17 Mar 1919,"","[0.0, 0.0]","",diaryDate,17 Mar 1919,"{""day""=>[""17""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0001y10,diary,2,2,1919-03-17 00:00:00 UTC,17 Mar 1919,"","[0.0, 0.0]","",place,"Munstereifel Rhineland , MUNSTER EIFEL RHINELAND","{""place""=>[""Munstereifel Rhineland "", ""MUNSTER EIFEL RHINELAND""], ""location""=>[""true"", ""false""], ""name""=>[""Bad Münstereifel"", """"], ""lat""=>[""50.55666"", """"], ""long""=>[""6.76424"", """"], ""id""=>[""2953398"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0001y10,diary,2,5,1919-03-17 00:00:00 UTC,17 Mar 1919,"","[0.0, 0.0]","",place,Dunkirk,"{""place""=>[""Dunkirk""], ""location""=>[""false""], ""name""=>[""Dunkerque""], ""lat""=>[""51.03297""], ""long""=>[""2.377""], ""id""=>[""3020686""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0001y10,diary,2,6,1919-03-17 07:00:00 UTC,17 Mar 1919,"","[0.0, 0.0]",0700AM,time,0700AM,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0001y10,diary,2,9,1919-03-17 07:00:00 UTC,17 Mar 1919,Munstereifel,"[6.76424, 50.55666]",0700AM,place,Munstereifel,"{""place""=>[""Munstereifel""], ""location""=>[""true""], ""name""=>[""Bad Münstereifel""], ""lat""=>[""50.55666""], ""long""=>[""6.76424""], ""id""=>[""2953398""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
6,AWD0001y10,diary,2,6,1919-03-17 07:00:00 UTC,17 Mar 1919,Munstereifel,"[6.76424, 50.55666]",0700AM,activity,movement,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
7,AWD0001y10,diary,2,6,1919-03-17 10:00:00 UTC,17 Mar 1919,Munstereifel,"[6.76424, 50.55666]",1000AM,time,1000AM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
8,AWD0001y10,diary,2,2,1919-03-17 10:00:00 UTC,17 Mar 1919,Munstereifel,"[6.76424, 50.55666]",1000AM,domestic,accomodation,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
9,AWD0001y10,diary,2,2,1919-03-17 00:00:00 UTC,17 Mar 1919,Munstereifel,"[6.76424, 50.55666]","",diaryDate,17 Mar 1919,"{""day""=>[""17""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
11,AWD0001y10,diary,2,2,1919-03-17 00:00:00 UTC,17 Mar 1919,Munstereifel,"[6.76424, 50.55666]","",place,Munstereifel,"{""place""=>[""Munstereifel""], ""location""=>[""true"", ""false""], ""name""=>[""Bad Münstereifel""], ""lat""=>[""50.55666""], ""long""=>[""6.76424""], ""id""=>[""2953398""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
12,AWD0001y10,diary,2,7,1919-03-17 00:00:00 UTC,17 Mar 1919,Munstereifel,"[6.76424, 50.55666]","",person,Brigadier General  St Aubyn,"{""first""=>[""""], ""surname""=>[""St Aubyn""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
13,AWD0001y10,diary,2,6,1919-03-17 11:00:00 UTC,17 Mar 1919,Munstereifel,"[6.76424, 50.55666]",1100AM,time,1100AM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
14,AWD0001y10,diary,2,7,1919-03-17 11:00:00 UTC,17 Mar 1919,Munstereifel,"[6.76424, 50.55666]",1100AM,person,Major General  Strickland,"{""first""=>[""""], ""surname""=>[""Strickland""], ""rank""=>[""Major General""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
15,AWD0001y10,diary,2,4,1919-03-17 11:00:00 UTC,17 Mar 1919,Munstereifel,"[6.76424, 50.55666]",1100AM,weather,rain,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
16,AWD0001y10,diary,2,4,1919-03-17 11:00:00 UTC,17 Mar 1919,"MunsterEifel, MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[6.76424, 50.55666]",1100AM,place,"MunsterEifel, MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","{""place""=>[""MunsterEifel"", ""MUNSTEREIFEL "", ""MUNSTEREIFEL"", ""Munstereifel""], ""location""=>[""true""], ""name""=>[""Bad Münstereifel""], ""lat""=>[""50.55666""], ""long""=>[""6.76424""], ""id""=>[""2953398""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
17,AWD0001y10,diary,2,7,1919-03-18 00:00:00 UTC,18 Mar 1919,"MunsterEifel, MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[6.76424, 50.55666]","",diaryDate,18 Mar 1919,"{""day""=>[""18""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
18,AWD0001y10,diary,2,6,1919-03-18 09:00:00 UTC,18 Mar 1919,"MunsterEifel, MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[6.76424, 50.55666]",0900AM,time,0900AM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
19,AWD0001y10,diary,2,3,1919-03-18 09:00:00 UTC,18 Mar 1919,"MunsterEifel, MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[6.76424, 50.55666]",0900AM,domestic,accomodation,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
20,AWD0001y10,diary,2,6,1919-03-18 10:00:00 UTC,18 Mar 1919,"MunsterEifel, MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[6.76424, 50.55666]",1000AM,time,1000AM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
21,AWD0001y10,diary,2,2,1919-03-18 10:00:00 UTC,18 Mar 1919,"MunsterEifel, MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[6.76424, 50.55666]",1000AM,activity,training,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
23,AWD0001y10,diary,2,2,1919-03-18 00:00:00 UTC,18 Mar 1919,"MunsterEifel, MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[6.76424, 50.55666]","",diaryDate,18 Mar 1919,"{""day""=>[""18""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
24,AWD0001y10,diary,2,2,1919-03-18 00:00:00 UTC,18 Mar 1919,"MunsterEifel, MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[6.76424, 50.55666]","",place,Munstereifel,"{""place""=>[""Munstereifel""], ""location""=>[""false""], ""name""=>[""Bad Münstereifel""], ""lat""=>[""50.55666""], ""long""=>[""6.76424""], ""id""=>[""2953398""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
25,AWD0001y10,diary,2,6,1919-03-18 15:00:00 UTC,18 Mar 1919,"MunsterEifel, MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[6.76424, 50.55666]",0300PM,time,0300PM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
26,AWD0001y10,diary,2,4,1919-03-18 15:00:00 UTC,18 Mar 1919,"MunsterEifel, MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[6.76424, 50.55666]",0300PM,person,"Brigadier General  St Aubryn, ST AUBYN, St Aubyn, ST. AUBYN","{""first""=>[""""], ""surname""=>[""St Aubryn"", ""ST AUBYN"", ""St Aubyn"", ""ST. AUBYN""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
29,AWD0001y10,diary,2,5,1919-03-18 15:00:00 UTC,18 Mar 1919,"MunsterEifel, MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[6.76424, 50.55666]",0300PM,weather,fine,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
31,AWD0001y10,diary,2,4,1919-03-18 15:00:00 UTC,18 Mar 1919,"MunsterEifel, MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[6.76424, 50.55666]",0300PM,domestic,rations,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
34,AWD0001y10,diary,2,3,1919-03-18 15:00:00 UTC,18 Mar 1919,"Munstereifel, MUNSTEREIFEL , MUNSTEREIFEL","[6.76424, 50.55666]",0300PM,place,"Munstereifel, MUNSTEREIFEL , MUNSTEREIFEL","{""place""=>[""Munstereifel"", ""MUNSTEREIFEL "", ""MUNSTEREIFEL""], ""location""=>[""true""], ""name""=>[""Bad Münstereifel""], ""lat""=>[""50.55666""], ""long""=>[""6.76424""], ""id""=>[""2953398""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
37,AWD0001y10,diary,2,7,1919-03-19 00:00:00 UTC,19 Mar 1919,"Munstereifel, MUNSTEREIFEL , MUNSTEREIFEL","[6.76424, 50.55666]","",diaryDate,19 Mar 1919,"{""day""=>[""19""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
38,AWD0001y10,diary,2,5,1919-03-19 09:00:00 UTC,19 Mar 1919,"Munstereifel, MUNSTEREIFEL , MUNSTEREIFEL","[6.76424, 50.55666]",0900AM,time,0900AM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
40,AWD0001y10,diary,2,3,1919-03-19 09:00:00 UTC,19 Mar 1919,"Munstereifel, MUNSTEREIFEL , MUNSTEREIFEL","[6.76424, 50.55666]",0900AM,person,"Captain W F,W T, Greenwood","{""first""=>[""W F"", ""W T"", """"], ""surname""=>[""Greenwood""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
43,AWD0001y10,diary,2,6,1919-03-19 15:00:00 UTC,19 Mar 1919,"Munstereifel, MUNSTEREIFEL , MUNSTEREIFEL","[6.76424, 50.55666]",0300PM,time,0300PM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
45,AWD0001y10,diary,2,5,1919-03-19 15:00:00 UTC,19 Mar 1919,"Munstereifel, MUNSTEREIFEL , MUNSTEREIFEL","[6.76424, 50.55666]",0300PM,weather,fine,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
46,AWD0001y10,diary,2,4,1919-03-19 15:00:00 UTC,19 Mar 1919,"Munstereifel, MUNSTEREIFEL , MUNSTEREIFEL","[6.76424, 50.55666]",0300PM,domestic,rations,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
48,AWD0001y10,diary,2,7,1919-03-20 00:00:00 UTC,20 Mar 1919,"Munstereifel, MUNSTEREIFEL , MUNSTEREIFEL","[6.76424, 50.55666]","",diaryDate,20 Mar 1919,"{""day""=>[""20""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
49,AWD0001y10,diary,2,4,1919-03-20 00:00:00 UTC,20 Mar 1919,Munstereifel,"[6.76424, 50.55666]","",place,Munstereifel,"{""place""=>[""Munstereifel""], ""location""=>[""true""], ""name""=>[""Bad Münstereifel""], ""lat""=>[""50.55666""], ""long""=>[""6.76424""], ""id""=>[""2953398""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
50,AWD0001y10,diary,2,5,1919-03-20 09:00:00 UTC,20 Mar 1919,Munstereifel,"[6.76424, 50.55666]",0900AM,time,0900AM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
53,AWD0001y10,diary,2,9,1919-03-20 09:00:00 UTC,20 Mar 1919,Munstereifel,"[6.76424, 50.55666]",0900AM,domestic,parades,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
54,AWD0001y10,diary,2,5,1919-03-20 10:00:00 UTC,20 Mar 1919,Munstereifel,"[6.76424, 50.55666]",1000AM,time,1000AM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
57,AWD0001y10,diary,2,4,1919-03-20 10:00:00 UTC,20 Mar 1919,Munstereifel,"[6.76424, 50.55666]",1000AM,domestic,rations,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
58,AWD0001y10,diary,2,7,1919-03-20 10:00:00 UTC,20 Mar 1919,Munstereifel,"[6.76424, 50.55666]",1000AM,person,Captain  Poyser,"{""first""=>[""""], ""surname""=>[""Poyser""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""RAMC""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
59,AWD0001y10,diary,2,5,1919-03-20 10:00:00 UTC,20 Mar 1919,Munstereifel,"[6.76424, 50.55666]",1000AM,weather,fine,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
60,AWD0001y10,diary,2,5,1919-03-20 10:00:00 UTC,20 Mar 1919,Munstereifel,"[6.76424, 50.55666]",1000AM,person,Lieutenant M R Richards,"{""first""=>[""M R""], ""surname""=>[""Richards""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""RAMC"", """"]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
2,AWD0001xz4,diary,3,6,1919-03-21 00:00:00 UTC,21 Mar 1919,Munstereifel,"[6.76424, 50.55666]","",diaryDate,21 Mar 1919,"{""day""=>[""21""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
3,AWD0001xz4,diary,3,6,1919-03-21 09:00:00 UTC,21 Mar 1919,Munstereifel,"[6.76424, 50.55666]",0900AM,time,0900AM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
4,AWD0001xz4,diary,3,7,1919-03-21 09:00:00 UTC,21 Mar 1919,Munstereifel,"[6.76424, 50.55666]",0900AM,place,Munstereifel,"{""place""=>[""Munstereifel""], ""location""=>[""true""], ""name""=>[""Bad Münstereifel""], ""lat""=>[""50.55666""], ""long""=>[""6.76424""], ""id""=>[""2953398""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
5,AWD0001xz4,diary,3,6,1919-03-21 09:00:00 UTC,21 Mar 1919,Munstereifel,"[6.76424, 50.55666]",0900AM,domestic,parades,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
6,AWD0001xz4,diary,3,5,1919-03-21 14:00:00 UTC,21 Mar 1919,Munstereifel,"[6.76424, 50.55666]",0200PM,time,0200PM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
7,AWD0001xz4,diary,3,2,1919-03-21 00:00:00 UTC,21 Mar 1919,Munstereifel,"[6.76424, 50.55666]","",diaryDate,21 Mar 1919,"{""day""=>[""21""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
8,AWD0001xz4,diary,3,7,1919-03-21 14:30:00 UTC,21 Mar 1919,Munstereifel,"[6.76424, 50.55666]",0230PM,time,0230PM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
9,AWD0001xz4,diary,3,5,1919-03-21 14:30:00 UTC,21 Mar 1919,"Flamersheim, FLAMERSHEIM","[6.8533, 50.62337]",0230PM,place,"Flamersheim, FLAMERSHEIM","{""place""=>[""Flamersheim"", ""FLAMERSHEIM""], ""location""=>[""true""], ""name""=>[""Flamersheim""], ""lat""=>[""50.62337""], ""long""=>[""6.8533""], ""id""=>[""2926390""]}",2926390,Flamersheim,"[6.8533, 50.62337]"
11,AWD0001xz4,diary,3,5,1919-03-21 14:30:00 UTC,21 Mar 1919,"Flamersheim, FLAMERSHEIM","[6.8533, 50.62337]",0230PM,person,Lieutenant  CORY,"{""first""=>[""""], ""surname""=>[""CORY""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2926390,Flamersheim,"[6.8533, 50.62337]"
13,AWD0001xz4,diary,3,4,1919-03-21 14:30:00 UTC,21 Mar 1919,"Flamersheim, FLAMERSHEIM","[6.8533, 50.62337]",0230PM,unit,2nd Welsh,"{""name""=>[""2nd Welsh""], ""context""=>[""other""]}",2926390,Flamersheim,"[6.8533, 50.62337]"
17,AWD0001xz4,diary,3,6,1919-03-21 14:30:00 UTC,21 Mar 1919,"Flamersheim, FLAMERSHEIM","[6.8533, 50.62337]",0230PM,weather,fine,{},2926390,Flamersheim,"[6.8533, 50.62337]"
20,AWD0001xz4,diary,3,7,1919-03-22 00:00:00 UTC,22 Mar 1919,"Flamersheim, FLAMERSHEIM","[6.8533, 50.62337]","",diaryDate,22 Mar 1919,"{""day""=>[""22""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2926390,Flamersheim,"[6.8533, 50.62337]"
21,AWD0001xz4,diary,3,3,1919-03-22 00:00:00 UTC,22 Mar 1919,"MUNSTEREIFEL, MUNSTEREIFEL , Munstereifel","[0.0, 0.0]","",place,"MUNSTEREIFEL, MUNSTEREIFEL , Munstereifel","{""place""=>[""MUNSTEREIFEL"", ""MUNSTEREIFEL "", ""Munstereifel""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
22,AWD0001xz4,diary,3,6,1919-03-22 09:00:00 UTC,22 Mar 1919,"MUNSTEREIFEL, MUNSTEREIFEL , Munstereifel","[0.0, 0.0]",0900AM,time,0900AM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
23,AWD0001xz4,diary,3,5,1919-03-22 09:00:00 UTC,22 Mar 1919,"MUNSTEREIFEL, MUNSTEREIFEL , Munstereifel","[0.0, 0.0]",0900AM,domestic,inspections,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
28,AWD0001xz4,diary,3,7,1919-03-22 11:00:00 UTC,22 Mar 1919,"MUNSTEREIFEL, MUNSTEREIFEL , Munstereifel","[0.0, 0.0]",1100AM,time,1100AM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
29,AWD0001xz4,diary,3,6,1919-03-22 11:00:00 UTC,22 Mar 1919,"MUNSTEREIFEL, MUNSTEREIFEL , Munstereifel","[0.0, 0.0]",1100AM,person,Brigadier General  CUBITT,"{""first""=>[""""], ""surname""=>[""CUBITT""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
32,AWD0001xz4,diary,3,2,1919-03-22 00:00:00 UTC,22 Mar 1919,"MUNSTEREIFEL, MUNSTEREIFEL , Munstereifel","[0.0, 0.0]","",diaryDate,22 Mar 1919,"{""day""=>[""22""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
33,AWD0001xz4,diary,3,7,1919-03-22 14:00:00 UTC,22 Mar 1919,"MUNSTEREIFEL, MUNSTEREIFEL , Munstereifel","[0.0, 0.0]",0200PM,time,0200PM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
34,AWD0001xz4,diary,3,4,1919-03-22 14:00:00 UTC,22 Mar 1919,"MUNSTEREIFEL, MUNSTEREIFEL , Munstereifel","[0.0, 0.0]",0200PM,domestic,sport,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
35,AWD0001xz4,diary,3,5,1919-03-22 14:00:00 UTC,22 Mar 1919,"MUNSTEREIFEL, MUNSTEREIFEL , Munstereifel","[0.0, 0.0]",0200PM,weather,fine,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
38,AWD0001xz4,diary,3,7,1919-03-22 16:00:00 UTC,22 Mar 1919,"MUNSTEREIFEL, MUNSTEREIFEL , Munstereifel","[0.0, 0.0]",0400PM,time,0400PM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
40,AWD0001xz4,diary,3,2,1919-03-22 16:00:00 UTC,22 Mar 1919,"MUNSTEREIFEL, MUNSTEREIFEL , Munstereifel","[0.0, 0.0]",0400PM,domestic,rations,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
42,AWD0001xz4,diary,3,8,1919-03-23 00:00:00 UTC,23 Mar 1919,"MUNSTEREIFEL, MUNSTEREIFEL , Munstereifel","[0.0, 0.0]","",diaryDate,23 Mar 1919,"{""day""=>[""23""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
43,AWD0001xz4,diary,3,3,1919-03-23 00:00:00 UTC,23 Mar 1919,"MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[0.0, 0.0]","",place,"MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","{""place""=>[""MUNSTEREIFEL "", ""MUNSTEREIFEL"", ""Munstereifel""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
44,AWD0001xz4,diary,3,6,1919-03-23 10:00:00 UTC,23 Mar 1919,"MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[0.0, 0.0]",1000AM,time,1000AM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
45,AWD0001xz4,diary,3,3,1919-03-23 10:00:00 UTC,23 Mar 1919,"MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[0.0, 0.0]",1000AM,domestic,parades,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
46,AWD0001xz4,diary,3,4,1919-03-23 10:00:00 UTC,23 Mar 1919,"MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[0.0, 0.0]",1000AM,domestic,religion,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
48,AWD0001xz4,diary,3,5,1919-03-23 10:00:00 UTC,23 Mar 1919,"MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[0.0, 0.0]",1000AM,domestic,sport,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
49,AWD0001xz4,diary,3,6,1919-03-23 14:00:00 UTC,23 Mar 1919,"MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[0.0, 0.0]",0200PM,time,0200PM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
51,AWD0001xz4,diary,3,5,1919-03-23 14:00:00 UTC,23 Mar 1919,"MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[0.0, 0.0]",0200PM,weather,fine,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
54,AWD0001xz4,diary,3,7,1919-03-24 00:00:00 UTC,24 Mar 1919,"MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[0.0, 0.0]","",diaryDate,24 Mar 1919,"{""day""=>[""24""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
55,AWD0001xz4,diary,3,5,1919-03-24 00:00:00 UTC,24 Mar 1919,"MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[0.0, 0.0]","",weather,cold,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
56,AWD0001xz4,diary,3,6,1919-03-24 00:00:00 UTC,24 Mar 1919,"MUNSTEREIFEL , MUNSTEREIFEL, Munstereifel","[0.0, 0.0]","",domestic,parades,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
57,AWD0001xz4,diary,3,4,1919-03-24 00:00:00 UTC,24 Mar 1919,MUNSTEREIFEL,"[6.76424, 50.55666]","",place,MUNSTEREIFEL,"{""place""=>[""MUNSTEREIFEL""], ""location""=>[""true""], ""name""=>[""Bad Münstereifel"", """"], ""lat""=>[""50.55666"", """"], ""long""=>[""6.76424"", """"], ""id""=>[""2953398"", """"]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
58,AWD0001xz4,diary,3,7,1919-03-24 09:00:00 UTC,24 Mar 1919,MUNSTEREIFEL,"[6.76424, 50.55666]",0900AM,time,0900AM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
60,AWD0001xz4,diary,3,3,1919-03-24 09:00:00 UTC,24 Mar 1919,MUNSTEREIFEL,"[6.76424, 50.55666]",0900AM,weather,cold,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
61,AWD0001xz4,diary,3,7,1919-03-25 00:00:00 UTC,25 Mar 1919,MUNSTEREIFEL,"[6.76424, 50.55666]","",diaryDate,25 Mar 1919,"{""day""=>[""25""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
63,AWD0001xz4,diary,3,5,1919-03-25 00:00:00 UTC,25 Mar 1919,MUNSTEREIFEL,"[6.76424, 50.55666]","",activity,movement,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
64,AWD0001xz4,diary,3,6,1919-03-25 00:00:00 UTC,25 Mar 1919,MUNSTEREIFEL,"[6.76424, 50.55666]","",place,Munstereifel,"{""place""=>[""Munstereifel""], ""location""=>[""false""], ""name""=>[""Bad Münstereifel""], ""lat""=>[""50.55666""], ""long""=>[""6.76424""], ""id""=>[""2953398""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
65,AWD0001xz4,diary,3,6,1919-03-25 00:00:00 UTC,25 Mar 1919,MUNSTEREIFEL,"[6.76424, 50.55666]","",place,Flamersheim,"{""place""=>[""Flamersheim""], ""location""=>[""false""], ""name""=>[""Flamersheim""], ""lat""=>[""50.62337""], ""long""=>[""6.8533""], ""id""=>[""2926390""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
66,AWD0001xz4,diary,3,7,1919-03-25 10:00:00 UTC,25 Mar 1919,MUNSTEREIFEL,"[6.76424, 50.55666]",1000AM,time,1000AM,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
68,AWD0001xz4,diary,3,4,1919-03-25 10:00:00 UTC,25 Mar 1919,MUNSTEREIFEL,"[6.76424, 50.55666]",1000AM,domestic,inspections,{},2953398,Bad Münstereifel,"[6.76424, 50.55667]"
72,AWD0001xz4,diary,3,7,1919-03-25 10:00:00 UTC,25 Mar 1919,MUNSTEREIFEL,"[6.76424, 50.55666]",1000AM,person,General  BRAITHWAITE,"{""first""=>[""""], ""surname""=>[""BRAITHWAITE""], ""rank""=>[""General""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
73,AWD0001xz4,diary,3,5,1919-03-25 10:00:00 UTC,25 Mar 1919,MUNSTEREIFEL,"[6.76424, 50.55666]",1000AM,person,Brigadier General  CUBITT,"{""first""=>[""""], ""surname""=>[""CUBITT""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2953398,Bad Münstereifel,"[6.76424, 50.55667]"
74,AWD0001xz4,diary,3,7,1919-03-25 10:00:00 UTC,25 Mar 1919,Flamersheim,"[6.8533, 50.62337]",1000AM,place,Flamersheim,"{""place""=>[""Flamersheim""], ""location""=>[""true""], ""name""=>[""Flamersheim""], ""lat""=>[""50.62337""], ""long""=>[""6.8533""], ""id""=>[""2926390""]}",2926390,Flamersheim,"[6.8533, 50.62337]"
76,AWD0001xz4,diary,3,2,1919-03-25 00:00:00 UTC,25 Mar 1919,Flamersheim,"[6.8533, 50.62337]","",diaryDate,25 Mar 1919,"{""day""=>[""25""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2926390,Flamersheim,"[6.8533, 50.62337]"
