Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00022uq,diary,5,6,1916-05-27 00:00:00 UTC,27 May 1916,"","[0.0, 0.0]","",diaryDate,27 May 1916,"{""day""=>[""27""], ""month""=>[""May""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00022uq,diary,5,2,1916-05-27 00:00:00 UTC,27 May 1916,"","[0.0, 0.0]","",activity,other,{},2985684,Pozières,"[2.72929, 50.04047]"
9,AWD00022uq,diary,5,2,1916-05-27 00:00:00 UTC,27 May 1916,"","[0.0, 0.0]","",unit,"2nd Divisonal Ammunition Column, 2nd Divisional Ammunition Column","{""name""=>[""2nd Divisonal Ammunition Column"", ""2nd Divisional Ammunition Column""], ""context""=>[""joined"", ""other""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD00022uq,diary,5,4,1916-05-27 00:00:00 UTC,27 May 1916,"","[0.0, 0.0]","",person,Lieutenant H W Stubbs,"{""first""=>[""H W""], ""surname""=>[""Stubbs""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""Royal field artillery"", ""RFA"", ""V/2 heavy Trench Mortar Battery"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD00022uq,diary,5,3,1916-05-27 00:00:00 UTC,27 May 1916,"","[0.0, 0.0]","",diaryDate,27 May 1916,"{""day""=>[""27""], ""month""=>[""May""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
14,AWD00022uq,diary,5,3,1916-05-27 00:00:00 UTC,27 May 1916,"","[0.0, 0.0]","",person,Lieutenant P Westcott,"{""first""=>[""P""], ""surname""=>[""Westcott""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""RFA"", ""Royal field artillery"", ""V/2 TMB""]}",2985684,Pozières,"[2.72929, 50.04047]"
16,AWD00022uq,diary,5,2,1916-05-27 00:00:00 UTC,27 May 1916,"St Venant, Saint Venant","[2.53946, 50.61956]","",place,"St Venant, Saint Venant","{""place""=>[""St Venant"", ""Saint Venant""], ""location""=>[""true""], ""name""=>["""", ""Saint-Venant""], ""lat""=>["""", ""50.61956""], ""long""=>["""", ""2.53946""], ""id""=>["""", ""2976690""]}",2976690,Saint-Venant,"[2.53946, 50.61956]"
19,AWD00022uq,diary,5,5,1916-05-27 00:00:00 UTC,27 May 1916,"St Venant, Saint Venant","[2.53946, 50.61956]","",activity,training,{},2976690,Saint-Venant,"[2.53946, 50.61956]"
21,AWD00022uq,diary,5,4,1916-06-09 00:00:00 UTC,9 Jun 1916,"St Venant, Saint Venant","[2.53946, 50.61956]","",diaryDate,9 Jun 1916,"{""day""=>[""9""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2976690,Saint-Venant,"[2.53946, 50.61956]"
22,AWD00022uq,diary,5,6,1916-06-10 00:00:00 UTC,10 Jun 1916,"St Venant, Saint Venant","[2.53946, 50.61956]","",diaryDate,10 Jun 1916,"{""day""=>[""10""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2976690,Saint-Venant,"[2.53946, 50.61956]"
