Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002389,diary,523,6,1915-04-01 00:00:00 UTC,1 Apr 1915,"","[0.0, 0.0]","",diaryDate,1 Apr 1915,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0002389,diary,523,6,1915-04-01 00:00:00 UTC,1 Apr 1915,"","[0.0, 0.0]","",casualties,other: 39,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002389,diary,523,6,1915-04-01 00:00:00 UTC,1 Apr 1915,Bethune,"[2.63333, 50.53333]","",place,Bethune,"{""place""=>[""Bethune""], ""location""=>[""true""], ""name""=>[""Béthune""], ""lat""=>[""50.53333""], ""long""=>[""2.63333""], ""id""=>[""3033002""]}",3033002,Béthune,"[2.63333, 50.53333]"
5,AWD0002389,diary,523,6,1915-04-01 00:00:00 UTC,1 Apr 1915,Bethune,"[2.63333, 50.53333]","",person,Major W R Wilson,"{""first""=>[""W R""], ""surname""=>[""Wilson""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""4TH RWF"", """", ""R W 7"", ""4th RWF"", ""4th R. W. F. "", ""Royal Welsh Fusiliers""]}",3033002,Béthune,"[2.63333, 50.53333]"
6,AWD0002389,diary,523,6,1915-04-01 00:00:00 UTC,1 Apr 1915,Bethune,"[2.63333, 50.53333]","",person,Captain F W Greenhill,"{""first""=>[""F W""], ""surname""=>[""Greenhill""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3033002,Béthune,"[2.63333, 50.53333]"
7,AWD0002389,diary,523,6,1915-04-01 00:00:00 UTC,1 Apr 1915,Bethune,"[2.63333, 50.53333]","",person,"Lieutenant Sir R J M,SIR R J M,Sir RJM,R J M,R F M,RJM Walker","{""first""=>[""Sir R J M"", ""SIR R J M"", ""Sir RJM"", ""R J M"", ""R F M"", ""RJM""], ""surname""=>[""Walker""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""2nd Coldstream Guards""]}",3033002,Béthune,"[2.63333, 50.53333]"
8,AWD0002389,diary,523,5,1915-04-01 00:00:00 UTC,1 Apr 1915,Bethune,"[2.63333, 50.53333]","",person,Second Lieutenant A H Macgregor,"{""first""=>[""A H""], ""surname""=>[""Macgregor""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other"", ""casualty_wounded""], ""unit""=>[""London Scottish""]}",3033002,Béthune,"[2.63333, 50.53333]"
9,AWD0002389,diary,523,6,1915-04-01 00:00:00 UTC,1 Apr 1915,Bethune,"[2.63333, 50.53333]","",person,Major J M Young,"{""first""=>[""J M""], ""surname""=>[""Young""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""returned_hospital""], ""unit""=>[""""]}",3033002,Béthune,"[2.63333, 50.53333]"
1,AWD000239n,diary,524,2,1915-04-01 00:00:00 UTC,1 Apr 1915,Bethune,"[2.63333, 50.53333]","",title,NO 4 Field Ambulance,{},3033002,Béthune,"[2.63333, 50.53333]"
2,AWD000239n,diary,524,3,1915-04-01 00:00:00 UTC,1 Apr 1915,Bethune,"[2.63333, 50.53333]","",diaryDate,1 Apr 1915,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1915""]}",3033002,Béthune,"[2.63333, 50.53333]"
