Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00025gz,diary,364,3,1919-03-21 00:00:00 UTC,21 Mar 1919,"","[0.0, 0.0]","",diaryDate,21 Mar 1919,"{""day""=>[""21""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00025gz,diary,364,3,1919-03-28 00:00:00 UTC,28 Mar 1919,"","[0.0, 0.0]","",diaryDate,28 Mar 1919,"{""day""=>[""28""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00025gz,diary,364,4,1919-03-28 00:00:00 UTC,28 Mar 1919,"STOMMELN, STOMHELM, stommeln, Stommeln","[6.75968, 51.02175]","",place,"STOMMELN, STOMHELM, stommeln, Stommeln","{""place""=>[""STOMMELN"", ""STOMHELM"", ""stommeln"", ""Stommeln""], ""location""=>[""true""], ""name""=>[""Stommeln""], ""lat""=>[""51.02175""], ""long""=>[""6.75968""], ""id""=>[""2826466""]}",2826466,Stommeln,"[6.75968, 51.02175]"
5,AWD00025gz,diary,364,3,1919-03-28 00:00:00 UTC,28 Mar 1919,"STOMMELN, STOMHELM, stommeln, Stommeln","[6.75968, 51.02175]","",activity,movement,{},2826466,Stommeln,"[6.75968, 51.02175]"
6,AWD00025gz,diary,364,5,1919-03-28 00:00:00 UTC,28 Mar 1919,COLCHESTER,"[0.90421, 51.88921]","",place,COLCHESTER,"{""place""=>[""COLCHESTER""], ""location""=>[""true""], ""name""=>[""Colchester""], ""lat""=>[""51.88921""], ""long""=>[""0.90421""], ""id""=>[""2652618""]}",2652618,Colchester,"[0.90421, 51.88921]"
7,AWD00025gz,diary,364,2,1919-03-28 17:20:00 UTC,28 Mar 1919,COLCHESTER,"[0.90421, 51.88921]",0520PM,time,0520PM,{},2652618,Colchester,"[0.90421, 51.88921]"
8,AWD00025gz,diary,364,4,1919-03-28 17:20:00 UTC,28 Mar 1919,Dunkerque,"[2.377, 51.03297]",0520PM,place,Dunkerque,"{""place""=>[""Dunkerque""], ""location""=>[""true""], ""name""=>[""Dunkerque""], ""lat""=>[""51.03297""], ""long""=>[""2.377""], ""id""=>[""3020686""]}",3020686,Dunkerque,"[2.377, 51.03297]"
10,AWD00025gz,diary,364,5,1919-03-28 17:20:00 UTC,28 Mar 1919,"Dover, DOVER","[1.32795, 51.12604]",0520PM,place,"Dover, DOVER","{""place""=>[""Dover"", ""DOVER""], ""location""=>[""true""], ""name""=>[""Dover Port""], ""lat""=>[""51.12604""], ""long""=>[""1.32795""], ""id""=>[""9253020""]}",2651048,Dover,"[1.3, 51.13333]"
11,AWD00025gz,diary,364,3,1919-03-28 13:00:00 UTC,28 Mar 1919,"Dover, DOVER","[1.32795, 51.12604]",0100PM,time,0100PM,{},2651048,Dover,"[1.3, 51.13333]"
12,AWD00025gz,diary,364,3,1919-03-28 16:00:00 UTC,28 Mar 1919,"Dover, DOVER","[1.32795, 51.12604]",0400PM,time,0400PM,{},2651048,Dover,"[1.3, 51.13333]"
