Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
3,AWD000292g,report,5,2,,,,[],,diaryDate,6 Jul 1915,"{""day""=>[""6""], ""month""=>[""Jul""], ""year""=>[""1915""]}",,,
5,AWD000292g,report,5,3,,,,[],,date,6 Jul 1915,{},,,
6,AWD000292g,report,5,2,,,,[],,diaryDate,7 Jul 1915,"{""day""=>[""7""], ""month""=>[""Jul""], ""year""=>[""1915""]}",,,
7,AWD000292g,report,5,2,,,,[],,date,7 Jul 1915,{},,,
5,AWD00028tn,"diary, report",6,2,,,,[],,date,7 Jul 1915,{},,,
6,AWD00028tn,"diary, report",6,3,,,,[],,diaryDate,7 Jul 1915,"{""day""=>[""7""], ""month""=>[""Jul""], ""year""=>[""1915""]}",,,
2,AWD00028t6,diary,7,3,1915-07-08 00:00:00 UTC,8 Jul 1915,"","[0.0, 0.0]","",diaryDate,8 Jul 1915,"{""day""=>[""8""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00028t6,diary,7,2,1915-07-09 00:00:00 UTC,9 Jul 1915,"","[0.0, 0.0]","",diaryDate,9 Jul 1915,"{""day""=>[""9""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD00028t6,diary,7,2,1915-07-09 00:00:00 UTC,9 Jul 1915,"","[0.0, 0.0]","",person,"Lieutenant, V BARNETT, Barnett","{""first""=>[""V""], ""surname""=>[""BARNETT"", ""Barnett""], ""rank""=>[""Lieutenant"", """"], ""number""=>[""""], ""reason""=>[""author"", ""other""], ""unit""=>[""3rd D.S.C."", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD000290w,diary,8,2,1915-07-09 00:00:00 UTC,9 Jul 1915,"","[0.0, 0.0]","",diaryDate,9 Jul 1915,"{""day""=>[""9""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD000290w,diary,8,2,1915-07-10 00:00:00 UTC,10 Jul 1915,"","[0.0, 0.0]","",diaryDate,10 Jul 1915,"{""day""=>[""10""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00028sz,diary,9,2,1915-07-10 00:00:00 UTC,10 Jul 1915,"","[0.0, 0.0]","",diaryDate,10 Jul 1915,"{""day""=>[""10""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD00028sz,diary,9,2,1915-07-11 00:00:00 UTC,11 Jul 1915,"","[0.0, 0.0]","",diaryDate,11 Jul 1915,"{""day""=>[""11""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD000290y,diary,10,2,1915-07-10 00:00:00 UTC,10 Jul 1915,"","[0.0, 0.0]","",diaryDate,10 Jul 1915,"{""day""=>[""10""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
1,AWD00028zp,other,11,2,,,,[],,activity,resupplying,{},,,
3,AWD00028zp,other,11,3,,,,[],,diaryDate,11 Jul 1915,"{""day""=>[""11""], ""month""=>[""Jul""], ""year""=>[""1915""]}",,,
3,AWD00028ua,"diary, other",13,2,,,,[],,diaryDate,11 Jul 1915,"{""day""=>[""11""], ""month""=>[""Jul""], ""year""=>[""1915""]}",,,
5,AWD00028ua,"diary, other",13,2,,,,[],,diaryDate,12 Jul 1915,"{""day""=>[""12""], ""month""=>[""Jul""], ""year""=>[""1915""]}",,,
2,AWD0002903,other,16,2,,,,[],,signals,situation,{},,,
3,AWD0002903,other,16,2,,,,[],,date,13 Apr 1915,{},,,
5,AWD0002903,other,16,2,,,,[],,date,14 Jul 1915,{},,,
2,AWD000290o,other,18,2,,,,[],,signals,situation,{},,,
4,AWD000290o,other,18,2,,,,[],,date,16 Jul 1915,{},,,
1,AWD00028v3,other,20,2,,,,[],,title,Rations drawn at railhead,{},,,
3,AWD00028v3,other,20,2,,,,[],,date,17 Jul 1915,{},,,
1,AWD000293g,report,22,2,,,,[],,title,Rations drawn at Railhead,{},,,
4,AWD000293g,report,22,2,,,,[],,date,18 Jul 1915,{},,,
2,AWD000290p,other,24,2,,,,[],,date,20 Jul 1915,{},,,
2,AWD00028ym,other,25,2,,,,[],,date,21 Jul 1915,{},,,
2,AWD00028yq,other,26,2,,,,[],,date,22 Jul 1915,{},,,
2,AWD000290m,other,27,2,,,,[],,date,23 Jul 1915,{},,,
2,AWD00028uu,other,28,2,,,,[],,date,24 Jul 1915,{},,,
2,AWD000291s,other,29,2,,,,[],,date,25 Jul 1915,{},,,
2,AWD00028vl,other,30,2,,,,[],,date,26 Jul 1915,{},,,
2,AWD00028wq,other,71,2,,,,[],,date,4 Sep 1915,{},,,
4,AWD00028t8,report,72,3,,,,[],,date,5 Sep 1915,{},,,
6,AWD00028ug,report,73,2,,,,[],,date,6 Sep 1915,{},,,
1,AWD000294o,"other, report",74,2,,,,[],,date,6 Sep 1915,{},,,
2,AWD000294o,"other, report",74,2,,,,[],,title,Delivered Supplies,{},,,
6,AWD000294o,"other, report",74,2,,,,[],,reference,FOOD,{},,,
2,AWD0002942,"other, report",77,2,,,,[],,date,10 Sep 1915,{},,,
2,AWD000294u,other,78,2,,,,[],,date,11 Sep 1915,{},,,
3,AWD00028tw,other,79,2,,,,[],,date,12 Sep 1915,{},,,
1,AWD00028xa,other,80,2,,,,[],,date,13 Sep 1915,{},,,
1,AWD00028vk,other,81,2,,,,[],,date,14 Sep 1915,{},,,
3,AWD00028vf,other,85,2,,,,[],,date,18 Sep 1915,{},,,
3,AWD00028y2,other,87,2,,,,[],,date,20 Sep 1915,{},,,
4,AWD00028uz,"other, report",88,2,,,,[],,date,21 Sep 1915,{},,,
3,AWD000292w,other,89,2,,,,[],,date,22 Sep 1915,{},,,
4,AWD000292w,other,89,2,,,,[],,person,"Major E D Cole, COLE","{""first""=>[""E D""], ""surname""=>[""Cole"", ""COLE""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""author""], ""unit""=>[""for SO 3rd DSC"", """"]}",,,
3,AWD00028zj,other,90,2,,,,[],,date,23 Sep 1915,{},,,
4,AWD00028zj,other,90,2,,,,[],,person,"Second Lieutenant V BARNETT, Barnett","{""first""=>[""V""], ""surname""=>[""BARNETT"", ""Barnett""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""author""], ""unit""=>["""", ""3rd Div Sup Col""]}",,,
3,AWD00028vq,other,91,2,,,,[],,date,24 Sep 1915,{},,,
3,AWD00028tr,other,92,2,,,,[],,date,25 Sep 1915,{},,,
1,AWD000294p,other,93,2,,,,[],,date,26 Sep 1915,{},,,
1,AWD0002947,other,94,2,,,,[],,date,26 Sep 1915,{},,,
1,AWD00028xh,other,95,2,,,,[],,date,26 Sep 1915,{},,,
1,AWD00028wc,other,96,2,,,,[],,date,27 Sep 1915,{},,,
2,AWD000294z,"other, report",97,2,,,,[],,date,28 Sep 1915,{},,,
3,AWD00028v9,other,98,2,,,,[],,date,29 Sep 1915,{},,,
2,AWD00028v0,other,99,2,,,,[],,date,30 Sep 1915,{},,,
2,AWD0002932,other,100,2,,,,[],,title,RATIONS Delivered,{},,,
3,AWD0002932,other,100,2,,,,[],,date,7 Jul 1915,{},,,
2,AWD00028vo,other,101,2,,,,[],,date,30 Sep 1915,{},,,
3,AWD0002957,other,103,2,,,,[],,date,1 Oct 1915,{},,,
4,AWD0002957,other,103,2,,,,[],,person,"Second Lieutenant V BARNETT, Barnett","{""first""=>[""V""], ""surname""=>[""BARNETT"", ""Barnett""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""commander"", ""author""], ""unit""=>[""SO"", ""3rd Div Sup Col""]}",,,
3,AWD000293p,other,104,2,,,,[],,date,2 Oct 1915,{},,,
4,AWD000293p,other,104,2,,,,[],,person,"Second Lieutenant E,E A COLE, Cole","{""first""=>[""E"", ""E A""], ""surname""=>[""COLE"", ""Cole""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""author""], ""unit""=>["""", ""35r Div Sup Col""]}",,,
1,AWD000291m,other,105,2,,,,[],,date,3 Oct 1915,{},,,
