Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00029d2,diary,392,6,1919-01-01 00:00:00 UTC,1 Jan 1919,"","[0.0, 0.0]","",diaryDate,1 Jan 1919,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00029d2,diary,392,6,1919-01-01 00:00:00 UTC,1 Jan 1919,"","[0.0, 0.0]","",person,Lieutenant  Baracrough,"{""first""=>[""""], ""surname""=>[""Baracrough""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00029d2,diary,392,6,1919-01-01 00:00:00 UTC,1 Jan 1919,Doren,"[0.0, 0.0]","",place,Doren,"{""place""=>[""Doren""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2934486,Düren,"[6.49299, 50.80434]"
4,AWD00029d2,diary,392,2,1919-01-01 00:00:00 UTC,"1 Jan 1919, 1918",Doren,"[0.0, 0.0]","",diaryDate,"1 Jan 1919, 1918","{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1919"", ""1918""]}",2934486,Düren,"[6.49299, 50.80434]"
8,AWD00029d2,diary,392,7,1919-01-02 00:00:00 UTC,2 Jan 1919,Doren,"[0.0, 0.0]","",diaryDate,2 Jan 1919,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
11,AWD00029d2,diary,392,7,1919-01-03 00:00:00 UTC,3 Jan 1919,Doren,"[0.0, 0.0]","",diaryDate,3 Jan 1919,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
16,AWD00029d2,diary,392,6,1919-01-04 00:00:00 UTC,4 Jan 1919,Doren,"[0.0, 0.0]","",diaryDate,4 Jan 1919,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
17,AWD00029d2,diary,392,2,1919-01-04 00:00:00 UTC,4 Jan 1919,Doren,"[0.0, 0.0]","",unit,1 & 3 Corp,"{""name""=>[""1 & 3 Corp""], ""context""=>[""other"", ""relieved_by""]}",2934486,Düren,"[6.49299, 50.80434]"
18,AWD00029d2,diary,392,7,1919-01-05 00:00:00 UTC,5 Jan 1919,Doren,"[0.0, 0.0]","",diaryDate,5 Jan 1919,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
20,AWD00029d2,diary,392,7,1919-01-06 00:00:00 UTC,6 Jan 1919,Doren,"[0.0, 0.0]","",diaryDate,6 Jan 1919,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
