Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002azf,diary,124,4,1917-01-01 00:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]","",diaryDate,1 Jan 1917,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0002azf,diary,124,3,1917-01-01 05:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]",0500AM,time,0500AM,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0002azf,diary,124,2,1917-01-01 05:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]",0500AM,person,Lance Corporal  McKenzie,"{""first""=>[""""], ""surname""=>[""McKenzie""], ""rank""=>[""Lance Corporal""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0002azf,diary,124,3,1917-01-01 05:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]",0500AM,unit,"8th (K.O.R.L), 8th KORL, 8th K.O.R.L.","{""name""=>[""8th (K.O.R.L)"", ""8th KORL"", ""8th K.O.R.L.""], ""context""=>[""relieved_by""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0002azf,diary,124,2,1917-01-01 05:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]",0500AM,place,Courcelles,"{""place""=>[""Courcelles""], ""location""=>[""true"", ""false""], ""name""=>[""Courcelles"", """"], ""lat""=>[""50.46379"", """"], ""long""=>[""4.3747"", """"], ""id""=>[""2800063"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0002azf,diary,124,3,1917-01-02 00:00:00 UTC,2 Jan 1917,"","[0.0, 0.0]","",diaryDate,2 Jan 1917,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0002azf,diary,124,2,1917-01-02 00:00:00 UTC,2 Jan 1917,"courcelles, Courcelles","[4.3747, 50.46379]","",place,"courcelles, Courcelles","{""place""=>[""courcelles"", ""Courcelles""], ""location""=>[""true""], ""name""=>[""Courcelles"", """"], ""lat""=>[""50.46379"", """"], ""long""=>[""4.3747"", """"], ""id""=>[""2800063"", """"]}",2800063,Courcelles,"[4.3747, 50.46379]"
14,AWD0002azf,diary,124,2,1917-01-02 00:00:00 UTC,2 Jan 1917,"courcelles, Courcelles","[4.3747, 50.46379]","",activity,resting,{},2800063,Courcelles,"[4.3747, 50.46379]"
16,AWD0002azf,diary,124,3,1917-01-03 00:00:00 UTC,3 Jan 1917,"courcelles, Courcelles","[4.3747, 50.46379]","",diaryDate,3 Jan 1917,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2800063,Courcelles,"[4.3747, 50.46379]"
17,AWD0002azf,diary,124,2,1917-01-03 00:00:00 UTC,3 Jan 1917,"courcelles, Courcelles","[4.3747, 50.46379]","",unit,"8th (K.O.R.L), 8th K.O.R.L.","{""name""=>[""8th (K.O.R.L)"", ""8th K.O.R.L.""], ""context""=>[""relieved""]}",2800063,Courcelles,"[4.3747, 50.46379]"
19,AWD0002azf,diary,124,2,1917-01-03 19:00:00 UTC,3 Jan 1917,"courcelles, Courcelles","[4.3747, 50.46379]",0700PM,time,0700PM,{},2800063,Courcelles,"[4.3747, 50.46379]"
21,AWD0002azf,diary,124,3,1917-01-04 00:00:00 UTC,4 Jan 1917,"courcelles, Courcelles","[4.3747, 50.46379]","",diaryDate,4 Jan 1917,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2800063,Courcelles,"[4.3747, 50.46379]"
24,AWD0002azf,diary,124,3,1917-01-04 00:00:00 UTC,4 Jan 1917,"courcelles, Courcelles","[4.3747, 50.46379]","",activity,fire,{},2800063,Courcelles,"[4.3747, 50.46379]"
26,AWD0002azf,diary,124,3,1917-01-04 00:00:00 UTC,4 Jan 1917,"courcelles, Courcelles","[4.3747, 50.46379]","",casualties,"killed: 4, wounded: 2",{},2800063,Courcelles,"[4.3747, 50.46379]"
