Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002e1l,diary,3,4,1914-08-04 00:00:00 UTC,4 Aug 1914,"","[0.0, 0.0]","",diaryDate,4 Aug 1914,"{""day""=>[""4""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0002e1l,diary,3,4,1914-08-04 00:00:00 UTC,4 Aug 1914,"","[0.0, 0.0]","",place,Woolwich,"{""place""=>[""Woolwich""], ""location""=>[""true"", ""false""], ""name""=>[""Woolwich"", """"], ""lat""=>[""51.491"", """"], ""long""=>[""0.0648"", """"], ""id""=>[""2633583"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0002e1l,diary,3,5,1914-08-04 00:00:00 UTC,4 Aug 1914,"","[0.0, 0.0]","",person,Second Lieutenant H W Deacon,"{""first""=>[""H W""], ""surname""=>[""Deacon""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0002e1l,diary,3,4,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0002e1l,diary,3,4,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",domestic,parades,{},2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0002e1l,diary,3,4,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",person,Second Lieutenant  Hess,"{""first""=>[""""], ""surname""=>[""Hess""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0002e1l,diary,3,4,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",domestic,inspections,{},2985684,Pozières,"[2.72929, 50.04047]"
1,AWD0002e2u,diary,4,5,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0002e2u,diary,4,4,1914-08-06 00:00:00 UTC,6 Aug 1914,"","[0.0, 0.0]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002e2u,diary,4,5,1914-08-06 00:00:00 UTC,6 Aug 1914,"","[0.0, 0.0]","",person,Second Lieutenant  Johnstone,"{""first""=>[""""], ""surname""=>[""Johnstone""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0002e2u,diary,4,5,1914-08-06 00:00:00 UTC,6 Aug 1914,"","[0.0, 0.0]","",person,"Second Lieutenant  TROUGHTON, Troughton","{""first""=>[""""], ""surname""=>[""TROUGHTON"", ""Troughton""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0002e2u,diary,4,3,1914-08-06 00:00:00 UTC,6 Aug 1914,"","[0.0, 0.0]","",person,Captain  Fraser,"{""first""=>[""""], ""surname""=>[""Fraser""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""RAMC"", ""R.A.M.C."", ""RAMC-37TH BATT""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0002e2u,diary,4,3,1914-08-06 00:00:00 UTC,6 Aug 1914,"","[0.0, 0.0]","",person,Lieutenant  Walker,"{""first""=>[""""], ""surname""=>[""Walker""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0002e2u,diary,4,4,1914-08-07 00:00:00 UTC,7 Aug 1914,"","[0.0, 0.0]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
1,AWD0002e2t,diary,5,5,1914-08-07 00:00:00 UTC,7 Aug 1914,Woolwich,"[0.0648, 51.491]","",place,Woolwich,"{""place""=>[""Woolwich""], ""location""=>[""true""], ""name""=>[""Woolwich""], ""lat""=>[""51.491""], ""long""=>[""0.0648""], ""id""=>[""2633583""]}",2633583,Woolwich,"[0.0648, 51.491]"
2,AWD0002e2t,diary,5,5,1914-08-07 00:00:00 UTC,7 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
4,AWD0002e2t,diary,5,5,1914-08-07 00:00:00 UTC,7 Aug 1914,Woolwich,"[0.0648, 51.491]","",person,Colonel  Battiscombe,"{""first""=>[""""], ""surname""=>[""Battiscombe""], ""rank""=>[""Colonel""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2633583,Woolwich,"[0.0648, 51.491]"
10,AWD0002e2t,diary,5,2,1914-08-08 00:00:00 UTC,8 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
14,AWD0002e2t,diary,5,3,1914-08-08 00:00:00 UTC,8 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
1,AWD0002e2x,diary,6,5,1914-08-08 00:00:00 UTC,8 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
2,AWD0002e2x,diary,6,3,1914-08-08 00:00:00 UTC,8 Aug 1914,Woolwich,"[0.0648, 51.491]","",place,Woolwich,"{""place""=>[""Woolwich""], ""location""=>[""true""], ""name""=>[""Woolwich""], ""lat""=>[""51.491""], ""long""=>[""0.0648""], ""id""=>[""2633583""]}",2633583,Woolwich,"[0.0648, 51.491]"
3,AWD0002e2x,diary,6,4,1914-08-09 00:00:00 UTC,9 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,9 Aug 1914,"{""day""=>[""9""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
5,AWD0002e2x,diary,6,3,1914-08-09 00:00:00 UTC,9 Aug 1914,Woolwich,"[0.0648, 51.491]","",domestic,parades,{},2633583,Woolwich,"[0.0648, 51.491]"
6,AWD0002e2x,diary,6,4,1914-08-09 00:00:00 UTC,9 Aug 1914,Woolwich,"[0.0648, 51.491]","",domestic,inspections,{},2633583,Woolwich,"[0.0648, 51.491]"
7,AWD0002e2x,diary,6,4,1914-08-10 00:00:00 UTC,10 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,10 Aug 1914,"{""day""=>[""10""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
9,AWD0002e2x,diary,6,3,1914-08-10 00:00:00 UTC,10 Aug 1914,Woolwich,"[0.0648, 51.491]","",domestic,parades,{},2633583,Woolwich,"[0.0648, 51.491]"
10,AWD0002e2x,diary,6,2,1914-08-10 00:00:00 UTC,10 Aug 1914,Woolwich,"[0.0648, 51.491]","",activity,training,{},2633583,Woolwich,"[0.0648, 51.491]"
11,AWD0002e2x,diary,6,3,1914-08-11 00:00:00 UTC,11 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,11 Aug 1914,"{""day""=>[""11""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
14,AWD0002e2x,diary,6,3,1914-08-12 00:00:00 UTC,12 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,12 Aug 1914,"{""day""=>[""12""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
15,AWD0002e2x,diary,6,2,1914-08-12 00:00:00 UTC,12 Aug 1914,Woolwich,"[0.0648, 51.491]","",place,Woolwich,"{""place""=>[""Woolwich""], ""location""=>[""true""], ""name""=>[""Woolwich""], ""lat""=>[""51.491""], ""long""=>[""0.0648""], ""id""=>[""2633583""]}",2633583,Woolwich,"[0.0648, 51.491]"
16,AWD0002e2x,diary,6,3,1914-08-13 00:00:00 UTC,13 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,13 Aug 1914,"{""day""=>[""13""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
17,AWD0002e2x,diary,6,2,1914-08-13 00:00:00 UTC,13 Aug 1914,Woolwich,"[0.0648, 51.491]","",activity,training,{},2633583,Woolwich,"[0.0648, 51.491]"
18,AWD0002e2x,diary,6,3,1914-08-14 00:00:00 UTC,14 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,14 Aug 1914,"{""day""=>[""14""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
19,AWD0002e2x,diary,6,2,1914-08-14 00:00:00 UTC,14 Aug 1914,Woolwich,"[0.0648, 51.491]","",place,Woolwich,"{""place""=>[""Woolwich""], ""location""=>[""true""], ""name""=>[""Woolwich""], ""lat""=>[""51.491""], ""long""=>[""0.0648""], ""id""=>[""2633583""]}",2633583,Woolwich,"[0.0648, 51.491]"
20,AWD0002e2x,diary,6,4,1914-08-15 00:00:00 UTC,15 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,15 Aug 1914,"{""day""=>[""15""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
21,AWD0002e2x,diary,6,2,1914-08-15 00:00:00 UTC,15 Aug 1914,Woolwich,"[0.0648, 51.491]","",activity,training,{},2633583,Woolwich,"[0.0648, 51.491]"
22,AWD0002e2x,diary,6,3,1914-08-16 00:00:00 UTC,16 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,16 Aug 1914,"{""day""=>[""16""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
24,AWD0002e2x,diary,6,4,1914-08-17 00:00:00 UTC,17 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,17 Aug 1914,"{""day""=>[""17""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
1,AWD0002e20,diary,7,2,1914-08-17 00:00:00 UTC,17 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,17 Aug 1914,"{""day""=>[""17""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
2,AWD0002e20,diary,7,4,1914-08-17 00:00:00 UTC,17 Aug 1914,Woolwich,"[0.0648, 51.491]","",place,Woolwich,"{""place""=>[""Woolwich""], ""location""=>[""false"", ""true""], ""name""=>[""Woolwich""], ""lat""=>[""51.491""], ""long""=>[""0.0648""], ""id""=>[""2633583""]}",2633583,Woolwich,"[0.0648, 51.491]"
3,AWD0002e20,diary,7,3,1914-08-17 00:00:00 UTC,17 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,17 Aug 1914,"{""day""=>[""17""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
5,AWD0002e20,diary,7,4,1914-08-18 00:00:00 UTC,18 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,18 Aug 1914,"{""day""=>[""18""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
6,AWD0002e20,diary,7,4,1914-08-18 00:00:00 UTC,18 Aug 1914,Woolwich,"[0.0648, 51.491]","",activity,movement,{},2633583,Woolwich,"[0.0648, 51.491]"
9,AWD0002e20,diary,7,4,1914-08-19 00:00:00 UTC,19 Aug 1914,Woolwich,"[0.0648, 51.491]","",diaryDate,19 Aug 1914,"{""day""=>[""19""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
10,AWD0002e20,diary,7,4,1914-08-19 00:00:00 UTC,19 Aug 1914,"Harrow, HARROW","[-0.33208, 51.57835]","",place,"Harrow, HARROW","{""place""=>[""Harrow"", ""HARROW""], ""location""=>[""true""], ""name""=>[""Harrow""], ""lat""=>[""51.57835""], ""long""=>[""-0.33208""], ""id""=>[""2647425""]}",2647425,Harrow,"[-0.33208, 51.57835]"
12,AWD0002e20,diary,7,4,1914-08-20 00:00:00 UTC,20 Aug 1914,"Harrow, HARROW","[-0.33208, 51.57835]","",diaryDate,20 Aug 1914,"{""day""=>[""20""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2647425,Harrow,"[-0.33208, 51.57835]"
16,AWD0002e20,diary,7,4,1914-08-21 00:00:00 UTC,21 Aug 1914,"Harrow, HARROW","[-0.33208, 51.57835]","",diaryDate,21 Aug 1914,"{""day""=>[""21""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2647425,Harrow,"[-0.33208, 51.57835]"
19,AWD0002e20,diary,7,2,1914-08-21 00:00:00 UTC,21 Aug 1914,"Harrow, HARROW","[-0.33208, 51.57835]","",activity,movement,{},2647425,Harrow,"[-0.33208, 51.57835]"
20,AWD0002e20,diary,7,4,1914-08-22 00:00:00 UTC,22 Aug 1914,"Harrow, HARROW","[-0.33208, 51.57835]","",diaryDate,22 Aug 1914,"{""day""=>[""22""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2647425,Harrow,"[-0.33208, 51.57835]"
21,AWD0002e20,diary,7,2,1914-08-22 00:00:00 UTC,22 Aug 1914,"Harrow, HARROW","[-0.33208, 51.57835]","",activity,movement,{},2647425,Harrow,"[-0.33208, 51.57835]"
24,AWD0002e20,diary,7,3,1914-08-22 00:00:00 UTC,22 Aug 1914,"Harrow, HARROW","[-0.33208, 51.57835]","",place,SOUTHAMPTON,"{""place""=>[""SOUTHAMPTON""], ""location""=>[""false""], ""name""=>[""Southampton"", """", ""Southampton Port""], ""lat""=>[""50.90395"", """", ""50.90325""], ""long""=>[""-1.40428"", """", ""-1.41981""], ""id""=>[""2637487"", """", ""9253609""]}",2647425,Harrow,"[-0.33208, 51.57835]"
26,AWD0002e20,diary,7,4,1914-08-23 00:00:00 UTC,23 Aug 1914,"Harrow, HARROW","[-0.33208, 51.57835]","",diaryDate,23 Aug 1914,"{""day""=>[""23""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2647425,Harrow,"[-0.33208, 51.57835]"
27,AWD0002e20,diary,7,2,1914-08-23 00:00:00 UTC,23 Aug 1914,"Harrow, HARROW","[-0.33208, 51.57835]","",activity,movement,{},2647425,Harrow,"[-0.33208, 51.57835]"
28,AWD0002e20,diary,7,5,1914-08-23 00:00:00 UTC,23 Aug 1914,Boulogne,"[1.61667, 50.71667]","",place,Boulogne,"{""place""=>[""Boulogne""], ""location""=>[""true""], ""name""=>["""", ""Boulogne-sur-Mer""], ""lat""=>["""", ""50.71667""], ""long""=>["""", ""1.61667""], ""id""=>["""", ""3031133""]}",3031862,Bologne,"[5.14209, 48.20004]"
30,AWD0002e20,diary,7,5,1914-08-24 00:00:00 UTC,24 Aug 1914,Boulogne,"[1.61667, 50.71667]","",diaryDate,24 Aug 1914,"{""day""=>[""24""], ""month""=>[""Aug""], ""year""=>[""1914""]}",3031862,Bologne,"[5.14209, 48.20004]"
32,AWD0002e20,diary,7,3,1914-08-24 00:00:00 UTC,24 Aug 1914,Boulogne,"[1.61667, 50.71667]","",activity,movement,{},3031862,Bologne,"[5.14209, 48.20004]"
