Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002ehv,diary,111,3,,"",Steenwerck,"[0.0, 0.0]","",place,Steenwerck,"{""place""=>[""Steenwerck""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2973821,Steenwerck,"[2.77829, 50.70199]"
4,AWD0002ehv,diary,111,2,,"",Steenwerck,"[0.0, 0.0]","",activity,resupplying,{},2973821,Steenwerck,"[2.77829, 50.70199]"
6,AWD0002ehv,diary,111,4,1914-01-01 00:00:00 UTC,1 Jan 1914,Steenwerck,"[0.0, 0.0]","",diaryDate,1 Jan 1914,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1914""]}",2973821,Steenwerck,"[2.77829, 50.70199]"
8,AWD0002ehv,diary,111,3,1914-01-01 00:00:00 UTC,1 Jan 1914,Steenwerck,"[0.0, 0.0]","",person,"Colonel  O'Keffe, OKeefe, OKEFFE","{""first""=>[""""], ""surname""=>[""O'Keffe"", ""OKeefe"", ""OKEFFE""], ""rank""=>[""Colonel""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2973821,Steenwerck,"[2.77829, 50.70199]"
14,AWD0002ehv,diary,111,3,1914-01-01 00:00:00 UTC,1 Jan 1914,Steenwerck,"[0.0, 0.0]","",person,Lieutenant  Tilbrook,"{""first""=>[""""], ""surname""=>[""Tilbrook""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""returned_leave""], ""unit""=>[""""]}",2973821,Steenwerck,"[2.77829, 50.70199]"
18,AWD0002ehv,diary,111,3,1914-01-02 00:00:00 UTC,2 Jan 1914,Steenwerck,"[0.0, 0.0]","",diaryDate,2 Jan 1914,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1914""]}",2973821,Steenwerck,"[2.77829, 50.70199]"
21,AWD0002ehv,diary,111,3,1914-01-02 00:00:00 UTC,2 Jan 1914,Steenwerck,"[0.0, 0.0]","",place,Steenwerck,"{""place""=>[""Steenwerck""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2973821,Steenwerck,"[2.77829, 50.70199]"
2,AWD0002ej9,diary,112,4,1914-01-02 00:00:00 UTC,2 Jan 1914,Steenwerck,"[0.0, 0.0]","",place,Steenwerck,"{""place""=>[""Steenwerck""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2973821,Steenwerck,"[2.77829, 50.70199]"
3,AWD0002ej9,diary,112,4,1914-01-02 00:00:00 UTC,2 Jan 1914,Steenwerck,"[0.0, 0.0]","",person,"Major  Euson, , Enson, ENSON","{""first""=>[""""], ""surname""=>[""Euson"", """", ""Enson"", ""ENSON""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""other"", ""commander""], ""unit""=>[""""]}",2973821,Steenwerck,"[2.77829, 50.70199]"
5,AWD0002ej9,diary,112,3,1914-01-03 00:00:00 UTC,3 Jan 1914,Steenwerck,"[0.0, 0.0]","",diaryDate,3 Jan 1914,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1914""]}",2973821,Steenwerck,"[2.77829, 50.70199]"
