Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002f1c,diary,320,4,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0002f1c,diary,320,6,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",domestic,religion,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0002f1c,diary,320,7,1916-01-01 00:00:00 UTC,1 Jan 1916,Forceville,"[2.55746, 50.06049]","",place,Forceville,"{""place""=>[""Forceville""], ""location""=>[""true""], ""name""=>[""Forceville""], ""lat""=>[""50.06049""], ""long""=>[""2.55746""], ""id""=>[""3017790""]}",3017790,Forceville,"[2.55746, 50.06049]"
16,AWD0002f1c,diary,320,3,1916-01-01 00:00:00 UTC,1 Jan 1916,Forceville,"[2.55746, 50.06049]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3017790,Forceville,"[2.55746, 50.06049]"
17,AWD0002f1c,diary,320,5,1916-01-01 00:00:00 UTC,1 Jan 1916,acheux,"[2.55746, 50.06049]","",place,acheux,"{""place""=>[""acheux""], ""location""=>[""true""], ""name""=>[""Forceville"", """"], ""lat""=>[""50.06049"", """"], ""long""=>[""2.55746"", """"], ""id""=>[""3017790"", """"]}",3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
18,AWD0002f1c,diary,320,6,1916-01-01 00:00:00 UTC,1 Jan 1916,acheux,"[2.55746, 50.06049]","",person,Major General  Lambton,"{""first""=>[""""], ""surname""=>[""Lambton""], ""rank""=>[""Major General""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
19,AWD0002f1c,diary,320,5,1916-01-01 00:00:00 UTC,1 Jan 1916,acheux,"[2.55746, 50.06049]","",person,Second Lieutenant W A Stirling,"{""first""=>[""W A""], ""surname""=>[""Stirling""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
20,AWD0002f1c,diary,320,2,1916-01-05 00:00:00 UTC,5 Jan 1916,acheux,"[2.55746, 50.06049]","",diaryDate,5 Jan 1916,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
23,AWD0002f1c,diary,320,6,1916-01-05 00:00:00 UTC,5 Jan 1916,acheux,"[2.55746, 50.06049]","",person,Brigadier General  Hull,"{""first""=>[""""], ""surname""=>[""Hull""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
25,AWD0002f1c,diary,320,3,1916-01-05 00:00:00 UTC,5 Jan 1916,acheux,"[2.55746, 50.06049]","",person,Major  Nairne,"{""first""=>[""""], ""surname""=>[""Nairne""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
28,AWD0002f1c,diary,320,5,1916-01-05 00:00:00 UTC,5 Jan 1916,acheux,"[2.55746, 50.06049]","",person,"Captain Burt, Marshall, Burt Marshall","{""first""=>[""Burt"", """"], ""surname""=>[""Marshall"", ""Burt Marshall""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
29,AWD0002f1c,diary,320,5,1916-01-05 00:00:00 UTC,5 Jan 1916,acheux,"[2.55746, 50.06049]","",person,Lieutenant  Harrison,"{""first""=>[""""], ""surname""=>[""Harrison""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""""]}",3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
32,AWD0002f1c,diary,320,2,1916-01-05 00:00:00 UTC,5 Jan 1916,acheux,"[2.55746, 50.06049]","",person,Major  Nairne,"{""first""=>[""""], ""surname""=>[""Nairne""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander"", ""other""], ""unit""=>[""""]}",3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
33,AWD0002f1c,diary,320,12,1916-01-05 00:00:00 UTC,5 Jan 1916,acheux,"[2.55746, 50.06049]","",person,General D Campbell,"{""first""=>[""D""], ""surname""=>[""Campbell""], ""rank""=>[""General""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
34,AWD0002f1c,diary,320,4,1916-01-05 00:00:00 UTC,5 Jan 1916,acheux,"[2.55746, 50.06049]","",domestic,sport,{},3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
36,AWD0002f1c,diary,320,2,1916-01-05 00:00:00 UTC,5 Jan 1916,acheux,"[2.55746, 50.06049]","",person,"Major  Nairns, Nairne","{""first""=>[""""], ""surname""=>[""Nairns"", ""Nairne""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""4 DIVISION: 10 Infantry Brigade: 2 Battalion Seaforth Highlanders"", """"]}",3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
