Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002g0s,diary,103,3,1915-01-01 00:00:00 UTC,1 Jan 1915,"","[0.0, 0.0]","",diaryDate,1 Jan 1915,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002g0s,diary,103,2,1915-01-01 00:00:00 UTC,1 Jan 1915,"","[0.0, 0.0]","",activity,repair,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0002g0s,diary,103,3,1915-01-01 00:00:00 UTC,1 Jan 1915,"","[0.0, 0.0]","",person,  ,"{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0002g0s,diary,103,4,1915-01-01 00:00:00 UTC,1 Jan 1915,"","[0.0, 0.0]","",person,Captain  Sutton,"{""first""=>[""""], ""surname""=>[""Sutton""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0002g0s,diary,103,4,1915-01-01 00:00:00 UTC,1 Jan 1915,"","[0.0, 0.0]","",person,Second Lieutenant  Marshall,"{""first""=>[""""], ""surname""=>[""Marshall""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>["""", ""1st Batt Somerset Light Infantry"", ""B Coy"", ""B Company""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0002g0s,diary,103,4,1915-01-01 00:00:00 UTC,1 Jan 1915,"","[0.0, 0.0]","",person,Second Lieutenant  Harrington,"{""first""=>[""""], ""surname""=>[""Harrington""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0002g0s,diary,103,2,1915-01-02 00:00:00 UTC,2 Jan 1915,"","[0.0, 0.0]","",diaryDate,2 Jan 1915,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0002g0s,diary,103,3,1915-01-02 00:00:00 UTC,2 Jan 1915,"","[0.0, 0.0]","",person,Lieutenant G Leacroft,"{""first""=>[""G""], ""surname""=>[""Leacroft""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0002g05,diary,104,2,1915-01-02 00:00:00 UTC,2 Jan 1915,"","[0.0, 0.0]","",diaryDate,2 Jan 1915,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002g05,diary,104,2,1915-01-02 00:00:00 UTC,2 Jan 1915,"","[0.0, 0.0]","",activity,construction,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0002g05,diary,104,3,1915-01-02 00:00:00 UTC,2 Jan 1915,"","[0.0, 0.0]","",activity,repair,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0002g05,diary,104,4,1915-01-02 00:00:00 UTC,2 Jan 1915,Ploegsteert Wood,"[0.0, 0.0]","",place,Ploegsteert Wood,"{""place""=>[""Ploegsteert Wood""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2788854,Ploegsteert,"[2.88019, 50.72659]"
11,AWD0002g05,diary,104,4,1915-01-02 00:00:00 UTC,2 Jan 1915,Fort Boyd,"[0.0, 0.0]","",place,Fort Boyd,"{""place""=>[""Fort Boyd""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
14,AWD0002g05,diary,104,5,1915-01-02 00:00:00 UTC,2 Jan 1915,MAXIM FOLLY,"[0.0, 0.0]","",place,MAXIM FOLLY,"{""place""=>[""MAXIM FOLLY""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
15,AWD0002g05,diary,104,4,1915-01-02 00:00:00 UTC,2 Jan 1915,Three Huns Farm,"[0.0, 0.0]","",place,Three Huns Farm,"{""place""=>[""Three Huns Farm""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
17,AWD0002g05,diary,104,4,1915-01-02 00:00:00 UTC,2 Jan 1915,Three Huns Farm,"[0.0, 0.0]","",weather,fine,{},,,
18,AWD0002g05,diary,104,4,1915-01-03 00:00:00 UTC,3 Jan 1915,Three Huns Farm,"[0.0, 0.0]","",diaryDate,3 Jan 1915,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1915""]}",,,
20,AWD0002g05,diary,104,3,1915-01-03 00:00:00 UTC,3 Jan 1915,Three Huns Farm,"[0.0, 0.0]","",activity,fire,{},,,
22,AWD0002g05,diary,104,3,1915-01-03 09:20:00 UTC,3 Jan 1915,Three Huns Farm,"[0.0, 0.0]",0920AM,time,0920AM,{},,,
23,AWD0002g05,diary,104,5,1915-01-03 09:20:00 UTC,3 Jan 1915,Three Huns Farm,"[0.0, 0.0]",0920AM,casualties,wounded: 1,{},,,
1,AWD0002fz8,diary,105,2,1915-01-03 00:00:00 UTC,3 Jan 1915,Three Huns Farm,"[0.0, 0.0]","",diaryDate,3 Jan 1915,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1915""]}",,,
2,AWD0002fz8,diary,105,6,1915-01-03 00:00:00 UTC,3 Jan 1915,Three Huns Farm,"[0.0, 0.0]","",activity,construction,{},,,
4,AWD0002fz8,diary,105,2,1915-01-03 16:00:00 UTC,3 Jan 1915,Three Huns Farm,"[0.0, 0.0]",0400PM,time,0400PM,{},,,
5,AWD0002fz8,diary,105,2,1915-01-03 16:00:00 UTC,3 Jan 1915,Three Huns Farm,"[0.0, 0.0]",0400PM,activity,fire,{},,,
8,AWD0002fz8,diary,105,4,1915-01-03 16:00:00 UTC,3 Jan 1915,Three Huns Farm,"[0.0, 0.0]",0400PM,weather,fine,{},,,
9,AWD0002fz8,diary,105,4,1915-01-04 00:00:00 UTC,4 Jan 1915,Three Huns Farm,"[0.0, 0.0]","",diaryDate,4 Jan 1915,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1915""]}",,,
10,AWD0002fz8,diary,105,5,1915-01-04 00:00:00 UTC,4 Jan 1915,Three Huns Farm,"[0.0, 0.0]","",weather,rain,{},,,
11,AWD0002fz8,diary,105,4,1915-01-04 00:00:00 UTC,4 Jan 1915,Three Huns Farm,"[0.0, 0.0]","",activity,quiet,{},,,
14,AWD0002fz8,diary,105,3,1915-01-04 00:00:00 UTC,4 Jan 1915,Fort Boyd,"[0.0, 0.0]","",place,Fort Boyd,"{""place""=>[""Fort Boyd""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
2,AWD0002fys,diary,106,3,1915-01-04 00:00:00 UTC,4 Jan 1915,Fort Boyd,"[0.0, 0.0]","",activity,construction,{},,,
4,AWD0002fys,diary,106,2,1915-01-04 00:00:00 UTC,4 Jan 1915,"THREE HUNS FARM, Three Huns Farm","[0.0, 0.0]","",place,"THREE HUNS FARM, Three Huns Farm","{""place""=>[""THREE HUNS FARM"", ""Three Huns Farm""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
5,AWD0002fys,diary,106,2,1915-01-04 00:00:00 UTC,4 Jan 1915,"Maxim Farm, MAXIM FARM","[0.0, 0.0]","",place,"Maxim Farm, MAXIM FARM","{""place""=>[""Maxim Farm"", ""MAXIM FARM""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
6,AWD0002fys,diary,106,2,1915-01-04 00:00:00 UTC,4 Jan 1915,"Maxim Farm, MAXIM FARM","[0.0, 0.0]","",domestic,accomodation,{},,,
7,AWD0002fys,diary,106,2,1915-01-04 00:00:00 UTC,4 Jan 1915,"POEGSTEERT, Ploegsteert","[0.0, 0.0]","",place,"POEGSTEERT, Ploegsteert","{""place""=>[""POEGSTEERT"", ""Ploegsteert""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2788854,Ploegsteert,"[2.88019, 50.72659]"
10,AWD0002fys,diary,106,2,1915-01-04 00:00:00 UTC,4 Jan 1915,"POEGSTEERT, Ploegsteert","[0.0, 0.0]","",unit,"No 2 Coy LRB, No.2 Coy L.R.B.","{""name""=>[""No 2 Coy LRB"", ""No.2 Coy L.R.B.""], ""context""=>[""relieved_by""]}",2788854,Ploegsteert,"[2.88019, 50.72659]"
11,AWD0002fys,diary,106,2,1915-01-04 00:00:00 UTC,4 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]","",place,"PONT DE NIEPPE, Pont de Nieppe","{""place""=>[""PONT DE NIEPPE"", ""Pont de Nieppe""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2974198,Sorel,"[3.05, 50.01667]"
12,AWD0002fys,diary,106,3,1915-01-05 00:00:00 UTC,5 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]","",diaryDate,5 Jan 1915,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1915""]}",2974198,Sorel,"[3.05, 50.01667]"
13,AWD0002fys,diary,106,2,1915-01-05 09:30:00 UTC,5 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]",0930AM,time,0930AM,{},2974198,Sorel,"[3.05, 50.01667]"
16,AWD0002fys,diary,106,3,1915-01-05 09:30:00 UTC,5 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]",0930AM,casualties,wounded: 1,{},2974198,Sorel,"[3.05, 50.01667]"
17,AWD0002fys,diary,106,2,1915-01-05 09:30:00 UTC,5 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]",0930AM,activity,fire,{},2974198,Sorel,"[3.05, 50.01667]"
18,AWD0002fys,diary,106,2,1915-01-05 09:30:00 UTC,5 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]",0930AM,activity,construction,{},2974198,Sorel,"[3.05, 50.01667]"
2,AWD0002fyz,diary,107,4,1915-01-05 09:30:00 UTC,5 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]",0930AM,weather,rain,{},2974198,Sorel,"[3.05, 50.01667]"
3,AWD0002fyz,diary,107,3,1915-01-05 09:30:00 UTC,5 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]",0930AM,unit,"No 2 Coy LRB, No. 2 Coy L R B, No.2 Coy L.R.B.","{""name""=>[""No 2 Coy LRB"", ""No. 2 Coy L R B"", ""No.2 Coy L.R.B.""], ""context""=>[""relieved""]}",2974198,Sorel,"[3.05, 50.01667]"
6,AWD0002fyz,diary,107,3,1915-01-06 00:00:00 UTC,6 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]","",diaryDate,6 Jan 1915,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1915""]}",2974198,Sorel,"[3.05, 50.01667]"
7,AWD0002fyz,diary,107,3,1915-01-06 00:00:00 UTC,6 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]","",weather,fine,{},2974198,Sorel,"[3.05, 50.01667]"
8,AWD0002fyz,diary,107,3,1915-01-06 00:00:00 UTC,6 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]","",activity,quiet,{},2974198,Sorel,"[3.05, 50.01667]"
11,AWD0002fyz,diary,107,2,1915-01-06 00:00:00 UTC,6 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]","",activity,working,{},2974198,Sorel,"[3.05, 50.01667]"
12,AWD0002fyz,diary,107,4,1915-01-06 00:00:00 UTC,6 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]","",place,Ploegsteert,"{""place""=>[""Ploegsteert""], ""location""=>[""false"", ""true""], ""name""=>[""Ploegsteert""], ""lat""=>[""50.72659""], ""long""=>[""2.88019""], ""id""=>[""2788854""]}",2974198,Sorel,"[3.05, 50.01667]"
13,AWD0002fyz,diary,107,3,1915-01-07 00:00:00 UTC,7 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]","",diaryDate,7 Jan 1915,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1915""]}",2974198,Sorel,"[3.05, 50.01667]"
14,AWD0002fyz,diary,107,5,1915-01-07 00:00:00 UTC,7 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]","",weather,rain,{},2974198,Sorel,"[3.05, 50.01667]"
15,AWD0002fyz,diary,107,4,1915-01-07 00:00:00 UTC,7 Jan 1915,"PONT DE NIEPPE, Pont de Nieppe","[0.0, 0.0]","",activity,fire,{},2974198,Sorel,"[3.05, 50.01667]"
