Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0002izq,diary,2,2,1916-06-01 00:00:00 UTC,1 Jun 1916,"","[0.0, 0.0]","",diaryDate,1 Jun 1916,"{""day""=>[""1""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0002izq,diary,2,8,1916-06-01 00:00:00 UTC,1 Jun 1916,Arras,"[2.78186, 50.29301]","",place,Arras,"{""place""=>[""Arras""], ""location""=>[""true""], ""name""=>[""Arras""], ""lat""=>[""50.29301""], ""long""=>[""2.78186""], ""id""=>[""3036784""]}",2967451,Warlus,"[2.66872, 50.27482]"
4,AWD0002izq,diary,2,6,1916-06-01 00:00:00 UTC,1 Jun 1916,Arras,"[2.78186, 50.29301]","",diaryDate,1 Jun 1916,"{""day""=>[""1""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2967451,Warlus,"[2.66872, 50.27482]"
5,AWD0002izq,diary,2,5,1916-06-01 00:00:00 UTC,1 Jun 1916,Arras,"[2.78186, 50.29301]",1200AM,time,1200AM,{},2967451,Warlus,"[2.66872, 50.27482]"
7,AWD0002izq,diary,2,4,1916-06-01 00:00:00 UTC,1 Jun 1916,Arras,"[2.78186, 50.29301]",1200AM,activity,quiet,{},2967451,Warlus,"[2.66872, 50.27482]"
10,AWD0002izq,diary,2,3,1916-06-02 00:00:00 UTC,2 Jun 1916,Arras,"[2.78186, 50.29301]","",diaryDate,2 Jun 1916,"{""day""=>[""2""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2967451,Warlus,"[2.66872, 50.27482]"
11,AWD0002izq,diary,2,3,1916-06-02 00:00:00 UTC,2 Jun 1916,Arras,"[2.78186, 50.29301]",1200AM,time,1200AM,{},2967451,Warlus,"[2.66872, 50.27482]"
12,AWD0002izq,diary,2,5,1916-06-02 00:00:00 UTC,2 Jun 1916,Arras,"[2.78186, 50.29301]","",diaryDate,2 Jun 1916,"{""day""=>[""2""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2967451,Warlus,"[2.66872, 50.27482]"
13,AWD0002izq,diary,2,8,1916-06-02 00:00:00 UTC,2 Jun 1916,Arras,"[2.78186, 50.29301]","",person,Lieutenant  O'Brien,"{""first""=>[""""], ""surname""=>[""O'Brien""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""returned_training""], ""unit""=>[""""]}",2967451,Warlus,"[2.66872, 50.27482]"
16,AWD0002izq,diary,2,3,1916-06-02 00:00:00 UTC,2 Jun 1916,Arras,"[2.78186, 50.29301]",1200AM,time,1200AM,{},2967451,Warlus,"[2.66872, 50.27482]"
17,AWD0002izq,diary,2,7,1916-06-03 00:00:00 UTC,3 Jun 1916,Arras,"[2.78186, 50.29301]","",diaryDate,3 Jun 1916,"{""day""=>[""3""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2967451,Warlus,"[2.66872, 50.27482]"
18,AWD0002izq,diary,2,5,1916-06-03 00:00:00 UTC,3 Jun 1916,Arras,"[2.78186, 50.29301]","",domestic,inspections,{},2967451,Warlus,"[2.66872, 50.27482]"
22,AWD0002izq,diary,2,2,1916-06-03 12:00:00 UTC,3 Jun 1916,Arras,"[2.78186, 50.29301]",1200PM,time,1200PM,{},2967451,Warlus,"[2.66872, 50.27482]"
23,AWD0002izq,diary,2,3,1916-06-03 12:00:00 UTC,3 Jun 1916,Arras,"[2.78186, 50.29301]",1200PM,activity,fire,{},2967451,Warlus,"[2.66872, 50.27482]"
24,AWD0002izq,diary,2,2,1916-06-03 23:00:00 UTC,3 Jun 1916,Arras,"[2.78186, 50.29301]",1100PM,time,1100PM,{},2967451,Warlus,"[2.66872, 50.27482]"
25,AWD0002izq,diary,2,8,1916-06-04 00:00:00 UTC,4 Jun 1916,Arras,"[2.78186, 50.29301]","",diaryDate,4 Jun 1916,"{""day""=>[""4""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2967451,Warlus,"[2.66872, 50.27482]"
26,AWD0002izq,diary,2,3,1916-06-04 00:00:00 UTC,4 Jun 1916,Arras,"[2.78186, 50.29301]",1200AM,time,1200AM,{},2967451,Warlus,"[2.66872, 50.27482]"
28,AWD0002izq,diary,2,3,1916-06-04 00:00:00 UTC,4 Jun 1916,Arras,"[2.78186, 50.29301]",1200AM,activity,enemy_activity,{},2967451,Warlus,"[2.66872, 50.27482]"
29,AWD0002izq,diary,2,2,1916-06-04 00:00:00 UTC,4 Jun 1916,Arras,"[2.78186, 50.29301]",1200AM,activity,fire,{},2967451,Warlus,"[2.66872, 50.27482]"
30,AWD0002izq,diary,2,2,1916-06-04 00:00:00 UTC,4 Jun 1916,Arras,"[2.78186, 50.29301]",1200AM,casualties,killed: 3,{},2967451,Warlus,"[2.66872, 50.27482]"
31,AWD0002izq,diary,2,6,1916-06-04 00:00:00 UTC,4 Jun 1916,Arras,"[2.78186, 50.29301]",1200AM,casualties,"killed: 3, wounded: 1",{},2967451,Warlus,"[2.66872, 50.27482]"
32,AWD0002izq,diary,2,2,1916-06-04 00:00:00 UTC,4 Jun 1916,Arras,"[2.78186, 50.29301]",1200AM,casualties,wounded: 1,{},2967451,Warlus,"[2.66872, 50.27482]"
33,AWD0002izq,diary,2,8,1916-06-05 00:00:00 UTC,5 Jun 1916,Arras,"[2.78186, 50.29301]","",diaryDate,5 Jun 1916,"{""day""=>[""5""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2967451,Warlus,"[2.66872, 50.27482]"
34,AWD0002izq,diary,2,3,1916-06-05 00:00:00 UTC,5 Jun 1916,Arras,"[2.78186, 50.29301]",1200AM,time,1200AM,{},2967451,Warlus,"[2.66872, 50.27482]"
35,AWD0002izq,diary,2,8,1916-06-05 00:00:00 UTC,5 Jun 1916,Arras,"[2.78186, 50.29301]",1200AM,person,Lieutenant  Patterson,"{""first""=>[""""], ""surname""=>[""Patterson""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",2967451,Warlus,"[2.66872, 50.27482]"
37,AWD0002izq,diary,2,8,1916-06-06 00:00:00 UTC,6 Jun 1916,Arras,"[2.78186, 50.29301]","",diaryDate,6 Jun 1916,"{""day""=>[""6""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2967451,Warlus,"[2.66872, 50.27482]"
38,AWD0002izq,diary,2,4,1916-06-06 00:00:00 UTC,6 Jun 1916,Arras,"[2.78186, 50.29301]",1200AM,time,1200AM,{},2967451,Warlus,"[2.66872, 50.27482]"
39,AWD0002izq,diary,2,3,1916-06-07 00:00:00 UTC,7 Jun 1916,Arras,"[2.78186, 50.29301]","",diaryDate,7 Jun 1916,"{""day""=>[""7""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2967451,Warlus,"[2.66872, 50.27482]"
41,AWD0002izq,diary,2,2,1916-06-07 00:00:00 UTC,7 Jun 1916,Arras,"[2.78186, 50.29301]","",activity,quiet,{},2967451,Warlus,"[2.66872, 50.27482]"
42,AWD0002izq,diary,2,6,1916-06-08 00:00:00 UTC,8 Jun 1916,Arras,"[2.78186, 50.29301]","",diaryDate,8 Jun 1916,"{""day""=>[""8""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2967451,Warlus,"[2.66872, 50.27482]"
