Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002j9m,diary,5,2,,"","","[0.0, 0.0]","",place,Cervarese,"{""place""=>[""Cervarese""], ""location""=>[""false"", ""true""], ""name""=>[""Fosse"", """"], ""lat""=>[""50.34001"", """"], ""long""=>[""5.84083"", """"], ""id""=>[""2798100"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0002j9m,diary,5,5,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",diaryDate,1 Apr 1918,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002j9m,diary,5,5,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",activity,training,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0002j9m,diary,5,2,1918-04-01 00:00:00 UTC,1 Apr 1918,"Cervarese St Croce (Italy), Cervaree St Croce (Italy)","[0.0, 0.0]","",place,"Cervarese St Croce (Italy), Cervaree St Croce (Italy)","{""place""=>[""Cervarese St Croce (Italy)"", ""Cervaree St Croce (Italy)""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
7,AWD0002j9m,diary,5,5,1918-04-02 00:00:00 UTC,2 Apr 1918,"Cervarese St Croce (Italy), Cervaree St Croce (Italy)","[0.0, 0.0]","",diaryDate,2 Apr 1918,"{""day""=>[""2""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
8,AWD0002j9m,diary,5,3,1918-04-02 00:00:00 UTC,2 Apr 1918,"Cervarese St Croce (Italy), Cervaree St Croce (Italy)","[0.0, 0.0]","",activity,movement,{},,,
9,AWD0002j9m,diary,5,7,1918-04-02 00:00:00 UTC,2 Apr 1918,Marsango,"[0.0, 0.0]","",place,Marsango,"{""place""=>[""Marsango""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
10,AWD0002j9m,diary,5,5,1918-04-03 00:00:00 UTC,3 Apr 1918,Marsango,"[0.0, 0.0]","",diaryDate,3 Apr 1918,"{""day""=>[""3""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
11,AWD0002j9m,diary,5,3,1918-04-03 00:00:00 UTC,3 Apr 1918,Marsango,"[0.0, 0.0]","",activity,resting,{},,,
15,AWD0002j9m,diary,5,2,1918-04-03 19:30:00 UTC,3 Apr 1918,Marsango,"[0.0, 0.0]",0730PM,time,0730PM,{},,,
16,AWD0002j9m,diary,5,4,1918-04-04 00:00:00 UTC,4 Apr 1918,Marsango,"[0.0, 0.0]","",diaryDate,4 Apr 1918,"{""day""=>[""4""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
17,AWD0002j9m,diary,5,3,1918-04-04 00:00:00 UTC,4 Apr 1918,Camposampiero,"[0.0, 0.0]","",place,Camposampiero,"{""place""=>[""Camposampiero""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
18,AWD0002j9m,diary,5,6,1918-04-04 00:00:00 UTC,4 Apr 1918,Camposampiero,"[0.0, 0.0]","",activity,movement,{},,,
19,AWD0002j9m,diary,5,5,1918-04-05 00:00:00 UTC,5 Apr 1918,Camposampiero,"[0.0, 0.0]","",diaryDate,5 Apr 1918,"{""day""=>[""5""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
20,AWD0002j9m,diary,5,5,1918-04-06 00:00:00 UTC,6 Apr 1918,Camposampiero,"[0.0, 0.0]","",diaryDate,6 Apr 1918,"{""day""=>[""6""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
21,AWD0002j9m,diary,5,3,1918-04-06 00:00:00 UTC,6 Apr 1918,Camposampiero,"[0.0, 0.0]","",activity,movement,{},,,
22,AWD0002j9m,diary,5,5,1918-04-07 00:00:00 UTC,7 Apr 1918,Camposampiero,"[0.0, 0.0]","",diaryDate,7 Apr 1918,"{""day""=>[""7""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
23,AWD0002j9m,diary,5,3,1918-04-07 00:00:00 UTC,7 Apr 1918,Camposampiero,"[0.0, 0.0]","",activity,movement,{},,,
24,AWD0002j9m,diary,5,3,1918-04-07 19:30:00 UTC,7 Apr 1918,Camposampiero,"[0.0, 0.0]",0730PM,time,0730PM,{},,,
25,AWD0002j9m,diary,5,2,1918-04-07 19:30:00 UTC,7 Apr 1918,Camposampiero,"[0.0, 0.0]",0730PM,activity,movement,{},,,
26,AWD0002j9m,diary,5,2,1918-04-07 19:30:00 UTC,7 Apr 1918,Camposampiero,"[0.0, 0.0]",0730PM,place,Beaurepaire,"{""place""=>[""Beaurepaire""], ""location""=>[""false"", ""true""], ""name""=>[""Beaurepaire""], ""lat""=>[""46.90977""], ""long""=>[""-1.08928""], ""id""=>[""3034062""]}",,,
27,AWD0002j9m,diary,5,5,1918-04-08 00:00:00 UTC,8 Apr 1918,Camposampiero,"[0.0, 0.0]","",diaryDate,8 Apr 1918,"{""day""=>[""8""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
28,AWD0002j9m,diary,5,2,1918-04-08 00:00:00 UTC,8 Apr 1918,Camposampiero,"[0.0, 0.0]","",place,Mondicourt,"{""place""=>[""Mondicourt""], ""location""=>[""false"", ""true""], ""name""=>[""Mondicourt""], ""lat""=>[""50.17196""], ""long""=>[""2.46198""], ""id""=>[""2993355""]}",,,
29,AWD0002j9m,diary,5,3,1918-04-08 00:00:00 UTC,8 Apr 1918,Beaurepaire,"[-1.08928, 46.90977]","",place,Beaurepaire,"{""place""=>[""Beaurepaire""], ""location""=>[""true""], ""name""=>[""Beaurepaire""], ""lat""=>[""46.90977""], ""long""=>[""-1.08928""], ""id""=>[""3034062""]}",3034062,Beaurepaire,"[-1.08928, 46.90977]"
30,AWD0002j9m,diary,5,5,1918-04-09 00:00:00 UTC,9 Apr 1918,Beaurepaire,"[-1.08928, 46.90977]","",diaryDate,9 Apr 1918,"{""day""=>[""9""], ""month""=>[""Apr""], ""year""=>[""1918""]}",3034062,Beaurepaire,"[-1.08928, 46.90977]"
31,AWD0002j9m,diary,5,3,1918-04-09 00:00:00 UTC,9 Apr 1918,Beaurepaire,"[-1.08928, 46.90977]","",domestic,inspections,{},3034062,Beaurepaire,"[-1.08928, 46.90977]"
