Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002jc0,diary,300,2,,"","","[0.0, 0.0]","",activity,construction,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002jc0,diary,300,6,1915-07-01 00:00:00 UTC,1 Jul 1915,"","[0.0, 0.0]","",diaryDate,1 Jul 1915,"{""day""=>[""1""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0002jc0,diary,300,4,1915-07-01 00:00:00 UTC,1 Jul 1915,"","[0.0, 0.0]","",gridRef,I 13 c 9 3,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0002jc0,diary,300,7,1915-07-01 00:00:00 UTC,1 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",place,Zevecoten,"{""place""=>[""Zevecoten""], ""location""=>[""true""], ""name""=>[""Zevekote""], ""lat""=>[""50.77351""], ""long""=>[""3.23356""], ""id""=>[""2783261""]}",2783261,"Zevekote,","[3.23356, 50.77351]"
11,AWD0002jc0,diary,300,5,1915-07-01 00:00:00 UTC,1 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",person,Second Lieutenant  Keating,"{""first""=>[""""], ""surname""=>[""Keating""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2783261,"Zevekote,","[3.23356, 50.77351]"
12,AWD0002jc0,diary,300,2,1915-07-01 00:00:00 UTC,1 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",activity,training,{},2783261,"Zevekote,","[3.23356, 50.77351]"
13,AWD0002jc0,diary,300,4,1915-07-01 00:00:00 UTC,1 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",person,Second Corporal  Ralph,"{""first""=>[""""], ""surname""=>[""Ralph""], ""rank""=>[""Second Corporal""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2783261,"Zevekote,","[3.23356, 50.77351]"
16,AWD0002jc0,diary,300,3,1915-07-01 00:00:00 UTC,1 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",activity,repair,{},2783261,"Zevekote,","[3.23356, 50.77351]"
17,AWD0002jc0,diary,300,2,1915-07-01 00:00:00 UTC,1 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",activity,construction,{},2783261,"Zevekote,","[3.23356, 50.77351]"
23,AWD0002jc0,diary,300,4,1915-07-01 00:00:00 UTC,1 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",unit,"15th Infantry Brigade, 14th Infantry Brigade","{""name""=>[""15th Infantry Brigade"", ""14th Infantry Brigade""], ""context""=>[""other""]}",2783261,"Zevekote,","[3.23356, 50.77351]"
24,AWD0002jc0,diary,300,6,1915-07-02 00:00:00 UTC,2 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",diaryDate,2 Jul 1915,"{""day""=>[""2""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2783261,"Zevekote,","[3.23356, 50.77351]"
25,AWD0002jc0,diary,300,3,1915-07-02 00:00:00 UTC,2 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",activity,repair,{},2783261,"Zevekote,","[3.23356, 50.77351]"
28,AWD0002jc0,diary,300,5,1915-07-02 00:00:00 UTC,2 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",activity,construction,{},2783261,"Zevekote,","[3.23356, 50.77351]"
29,AWD0002jc0,diary,300,2,1915-07-02 00:00:00 UTC,2 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",gridRef,I 13 c 9 3,{},2783261,"Zevekote,","[3.23356, 50.77351]"
30,AWD0002jc0,diary,300,2,1915-07-02 00:00:00 UTC,2 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",unit,"44th Field Artillery Brigade, 27th Field Artillery Brigade","{""name""=>[""44th Field Artillery Brigade"", ""27th Field Artillery Brigade""], ""context""=>[""other""]}",2783261,"Zevekote,","[3.23356, 50.77351]"
31,AWD0002jc0,diary,300,3,1915-07-02 00:00:00 UTC,2 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",activity,construction,{},2783261,"Zevekote,","[3.23356, 50.77351]"
2,AWD0002jcs,diary,301,6,1915-07-03 00:00:00 UTC,3 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",diaryDate,3 Jul 1915,"{""day""=>[""3""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2783261,"Zevekote,","[3.23356, 50.77351]"
3,AWD0002jcs,diary,301,5,1915-07-03 00:00:00 UTC,3 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",place,Zevecoten,"{""place""=>[""Zevecoten""], ""location""=>[""true""], ""name""=>[""Zevekote""], ""lat""=>[""50.77351""], ""long""=>[""3.23356""], ""id""=>[""2783261""]}",2783261,"Zevekote,","[3.23356, 50.77351]"
5,AWD0002jcs,diary,301,5,1915-07-03 00:00:00 UTC,3 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",place,Ouderdom,"{""place""=>[""Ouderdom""], ""location""=>[""false""], ""name""=>[""Ouderdom""], ""lat""=>[""50.8243""], ""long""=>[""2.78226""], ""id""=>[""2789504""]}",2783261,"Zevekote,","[3.23356, 50.77351]"
6,AWD0002jcs,diary,301,3,1915-07-03 00:00:00 UTC,3 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",activity,construction,{},2783261,"Zevekote,","[3.23356, 50.77351]"
7,AWD0002jcs,diary,301,3,1915-07-03 00:00:00 UTC,3 Jul 1915,Zevecoten,"[3.23356, 50.77351]","",activity,repair,{},2783261,"Zevekote,","[3.23356, 50.77351]"
