Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002jft,diary,5,3,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",diaryDate,1 Apr 1918,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0002jft,diary,5,3,1918-04-01 00:00:00 UTC,1 Apr 1918,Ca Bianca,"[0.0, 0.0]","",place,Ca Bianca,"{""place""=>[""Ca Bianca""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
5,AWD0002jft,diary,5,3,1918-04-01 00:00:00 UTC,1 Apr 1918,Ca Bianca,"[0.0, 0.0]","",activity,training,{},,,
7,AWD0002jft,diary,5,4,1918-04-01 00:00:00 UTC,1 Apr 1918,Ca Bianca,"[0.0, 0.0]","",person,Lieutenant J D Ramsey,"{""first""=>[""J D""], ""surname""=>[""Ramsey""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
8,AWD0002jft,diary,5,4,1918-04-01 00:00:00 UTC,1 Apr 1918,Ca Bianca,"[0.0, 0.0]","",person,Lieutenant J W R Paine,"{""first""=>[""J W R""], ""surname""=>[""Paine""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
10,AWD0002jft,diary,5,4,1918-04-02 00:00:00 UTC,2 Apr 1918,Ca Bianca,"[0.0, 0.0]","",diaryDate,2 Apr 1918,"{""day""=>[""2""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
11,AWD0002jft,diary,5,2,1918-04-02 00:00:00 UTC,2 Apr 1918,Ca Bianca,"[0.0, 0.0]","",activity,movement,{},,,
13,AWD0002jft,diary,5,2,1918-04-02 00:00:00 UTC,2 Apr 1918,Ca Bianca,"[0.0, 0.0]","",domestic,parades,{},,,
14,AWD0002jft,diary,5,2,1918-04-02 00:00:00 UTC,2 Apr 1918,"Sarmeola, Sarmeloa","[0.0, 0.0]","",place,"Sarmeola, Sarmeloa","{""place""=>[""Sarmeola"", ""Sarmeloa""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
16,AWD0002jft,diary,5,4,1918-04-03 00:00:00 UTC,3 Apr 1918,"Sarmeola, Sarmeloa","[0.0, 0.0]","",diaryDate,3 Apr 1918,"{""day""=>[""3""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
17,AWD0002jft,diary,5,2,1918-04-03 00:00:00 UTC,3 Apr 1918,"Sarmeola, Sarmeloa","[0.0, 0.0]","",activity,movement,{},,,
18,AWD0002jft,diary,5,3,1918-04-03 00:00:00 UTC,3 Apr 1918,Sarmeola,"[0.0, 0.0]","",place,Sarmeola,"{""place""=>[""Sarmeola""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
20,AWD0002jft,diary,5,3,1918-04-03 00:00:00 UTC,3 Apr 1918,Padova,"[0.0, 0.0]","",place,Padova,"{""place""=>[""Padova""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
22,AWD0002jft,diary,5,2,1918-04-03 00:00:00 UTC,3 Apr 1918,Padova,"[0.0, 0.0]","",casualties,casualties: 0,{},,,
23,AWD0002jft,diary,5,4,1918-04-04 00:00:00 UTC,4 Apr 1918,Padova,"[0.0, 0.0]","",diaryDate,4 Apr 1918,"{""day""=>[""4""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
25,AWD0002jft,diary,5,2,1918-04-04 00:00:00 UTC,4 Apr 1918,Padova,"[0.0, 0.0]","",place,Vognera,"{""place""=>[""Vognera""], ""location""=>[""false"", ""true""], ""name""=>["""", ""Plaisance""], ""lat""=>["""", ""43.60436""], ""long""=>["""", ""0.04615""], ""id""=>["""", ""2986938""]}",,,
26,AWD0002jft,diary,5,2,1918-04-04 00:00:00 UTC,4 Apr 1918,Padova,"[0.0, 0.0]","",place,"Sampierdarena, sampiernarena","{""place""=>[""Sampierdarena"", ""sampiernarena""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
27,AWD0002jft,diary,5,2,1918-04-04 00:00:00 UTC,4 Apr 1918,Padova,"[0.0, 0.0]","",place,Bologna,"{""place""=>[""Bologna""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
28,AWD0002jft,diary,5,2,1918-04-04 00:00:00 UTC,4 Apr 1918,Padova,"[0.0, 0.0]","",activity,movement,{},,,
29,AWD0002jft,diary,5,4,1918-04-05 00:00:00 UTC,5 Apr 1918,Padova,"[0.0, 0.0]","",diaryDate,5 Apr 1918,"{""day""=>[""5""], ""month""=>[""Apr""], ""year""=>[""1918""]}",,,
30,AWD0002jft,diary,5,2,1918-04-05 00:00:00 UTC,5 Apr 1918,Padova,"[0.0, 0.0]","",place,Marseilles,"{""place""=>[""Marseilles""], ""location""=>[""false"", ""true""], ""name""=>["""", ""Marseille""], ""lat""=>["""", ""43.29695""], ""long""=>["""", ""5.38107""], ""id""=>["""", ""2995469""]}",,,
32,AWD0002jft,diary,5,2,1918-04-05 00:00:00 UTC,5 Apr 1918,Padova,"[0.0, 0.0]","",place,"MonteCarlo, Monte Carlo","{""place""=>[""MonteCarlo"", ""Monte Carlo""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
33,AWD0002jft,diary,5,2,1918-04-05 00:00:00 UTC,5 Apr 1918,Padova,"[0.0, 0.0]","",place,Nice,"{""place""=>[""Nice""], ""location""=>[""false"", ""true""], ""name""=>["""", ""Nice""], ""lat""=>["""", ""43.70313""], ""long""=>["""", ""7.26608""], ""id""=>["""", ""2990440""]}",,,
34,AWD0002jft,diary,5,2,1918-04-05 00:00:00 UTC,5 Apr 1918,Padova,"[0.0, 0.0]","",place,Cannes,"{""place""=>[""Cannes""], ""location""=>[""false"", ""true""], ""name""=>["""", ""Cannes""], ""lat""=>["""", ""43.55135""], ""long""=>["""", ""7.01275""], ""id""=>["""", ""3028808""]}",,,
