Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002jzk,diary,483,9,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",diaryDate,1 Jul 1916,"{""day""=>[""1""], ""month""=>[""Jul""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
1,AWD0002jxo,diary,484,5,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",diaryDate,1 Jul 1916,"{""day""=>[""1""], ""month""=>[""Jul""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0002jxo,diary,484,2,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",person, M Peuvion,"{""first""=>[""M""], ""surname""=>[""Peuvion""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
1,AWD0002jvv,diary,485,5,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",diaryDate,1 Jul 1916,"{""day""=>[""1""], ""month""=>[""Jul""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0002jvv,diary,485,3,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",place,duisans,"{""place""=>[""duisans""], ""location""=>[""false""], ""name""=>[""Duisans""], ""lat""=>[""50.30633""], ""long""=>[""2.68653""], ""id""=>[""3020705""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0002jvv,diary,485,5,1916-07-02 00:00:00 UTC,2 Jul 1916,"","[0.0, 0.0]","",diaryDate,2 Jul 1916,"{""day""=>[""2""], ""month""=>[""Jul""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002jvv,diary,485,5,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",place,Duisans,"{""place""=>[""Duisans""], ""location""=>[""true""], ""name""=>[""Duisans""], ""lat""=>[""50.30633""], ""long""=>[""2.68653""], ""id""=>[""3020705""]}",3020705,Duisans,"[2.68653, 50.30633]"
11,AWD0002jvv,diary,485,2,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",place,"Frevent, frevent","{""place""=>[""Frevent"", ""frevent""], ""location""=>[""false""], ""name""=>[""Frévent""], ""lat""=>[""50.27608""], ""long""=>[""2.28725""], ""id""=>[""3017080""]}",3020705,Duisans,"[2.68653, 50.30633]"
2,AWD0002jxp,diary,486,2,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",person,"Captain L Horebelishm, Hore-Belisha","{""first""=>[""L""], ""surname""=>[""Horebelishm"", ""Hore-Belisha""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""departed_posted"", ""other""], ""unit""=>[""Third army"", """"]}",3020705,Duisans,"[2.68653, 50.30633]"
3,AWD0002jxp,diary,486,4,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",diaryDate,2 Jul 1916,"{""day""=>[""2""], ""month""=>[""Jul""], ""year""=>[""1916""]}",3020705,Duisans,"[2.68653, 50.30633]"
4,AWD0002jxp,diary,486,2,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",person,"Captain,Corporal L Horebelisha, Hore-Bellish","{""first""=>[""L""], ""surname""=>[""Horebelisha"", ""Hore-Bellish""], ""rank""=>[""Captain"", ""Corporal""], ""number""=>[""""], ""reason""=>[""other"", ""resigned""], ""unit""=>[""""]}",3020705,Duisans,"[2.68653, 50.30633]"
5,AWD0002jxp,diary,486,4,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",place,Duisans,"{""place""=>[""Duisans""], ""location""=>[""true""], ""name""=>[""Duisans""], ""lat""=>[""50.30633""], ""long""=>[""2.68653""], ""id""=>[""3020705""]}",3020705,Duisans,"[2.68653, 50.30633]"
9,AWD0002jxp,diary,486,3,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",place,Rebreuviette,"{""place""=>[""Rebreuviette""], ""location""=>[""false""], ""name""=>[""Rebreuviette""], ""lat""=>[""50.26667""], ""long""=>[""2.36667""], ""id""=>[""2984263""]}",3020705,Duisans,"[2.68653, 50.30633]"
11,AWD0002jxp,diary,486,4,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",place,"Rebreue, Etree, Rebreuve, etree","{""place""=>[""Rebreue"", ""Etree"", ""Rebreuve"", ""etree""], ""location""=>[""false""], ""name""=>[""Estrée-Wamin""], ""lat""=>[""50.27135""], ""long""=>[""2.40171""], ""id""=>[""3019498""]}",3020705,Duisans,"[2.68653, 50.30633]"
14,AWD0002jxp,diary,486,3,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",unit,"13th Inf B???, 13th Inf B??, 13th FA","{""name""=>[""13th Inf B???"", ""13th Inf B??"", ""13th FA""], ""context""=>[""other""]}",3020705,Duisans,"[2.68653, 50.30633]"
17,AWD0002jxp,diary,486,2,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",place,Houvin,"{""place""=>[""Houvin""], ""location""=>[""false""], ""name""=>["""", ""Houvin-Houvigneul""], ""lat""=>["""", ""50.29719""], ""long""=>["""", ""2.38431""], ""id""=>["""", ""3013046""]}",3020705,Duisans,"[2.68653, 50.30633]"
20,AWD0002jxp,diary,486,3,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",place,Magnicourt,"{""place""=>[""Magnicourt""], ""location""=>[""false""], ""name""=>[""Magnicourt""], ""lat""=>[""48.45104""], ""long""=>[""4.38062""], ""id""=>[""2996789""]}",3020705,Duisans,"[2.68653, 50.30633]"
21,AWD0002jxp,diary,486,2,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",place,Sars,"{""place""=>[""Sars""], ""location""=>[""false""], ""name""=>["""", ""Sars-le-Bois""], ""lat""=>["""", ""50.2952""], ""long""=>["""", ""2.42862""], ""id""=>["""", ""2975937""]}",3020705,Duisans,"[2.68653, 50.30633]"
23,AWD0002jxp,diary,486,2,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",place,"Beaudricourt, Beaudicourt","{""place""=>[""Beaudricourt"", ""Beaudicourt""], ""location""=>[""false""], ""name""=>[""Beaudricourt"", """"], ""lat""=>[""50.24829"", """"], ""long""=>[""2.40738"", """"], ""id""=>[""3034330"", """"]}",3020705,Duisans,"[2.68653, 50.30633]"
25,AWD0002jxp,diary,486,2,1916-07-02 00:00:00 UTC,2 Jul 1916,Duisans,"[2.68653, 50.30633]","",place,"Evergny, Ivergny","{""place""=>[""Evergny"", ""Ivergny""], ""location""=>[""false""], ""name""=>["""", ""Ivergny""], ""lat""=>["""", ""50.23932""], ""long""=>["""", ""2.39193""], ""id""=>["""", ""3012634""]}",3020705,Duisans,"[2.68653, 50.30633]"
