Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
6,AWD0002knv,diary,684,2,,"","RHISNES, Rhisnes","[0.0, 0.0]","",place,"RHISNES, Rhisnes","{""place""=>[""RHISNES"", ""Rhisnes""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2788111,Rhisnes,"[4.80592, 50.50682]"
15,AWD0002knv,diary,684,2,,"","RHISNES, Rhisnes","[0.0, 0.0]",0500AM,time,0500AM,{},2788111,Rhisnes,"[4.80592, 50.50682]"
1,AWD0002kmm,diary,685,2,1919-02-01 00:00:00 UTC,1 Feb 1919,"RHISNES, Rhisnes","[0.0, 0.0]","",diaryDate,1 Feb 1919,"{""day""=>[""1""], ""month""=>[""Feb""], ""year""=>[""1919""]}",2788111,Rhisnes,"[4.80592, 50.50682]"
2,AWD0002kmm,diary,685,2,1919-02-01 00:00:00 UTC,1 Feb 1919,"Rhisnes, RHISNES","[0.0, 0.0]","",place,"Rhisnes, RHISNES","{""place""=>[""Rhisnes"", ""RHISNES""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2788111,Rhisnes,"[4.80592, 50.50682]"
5,AWD0002kmg,diary,686,2,1919-02-01 00:00:00 UTC,1 Feb 1919,"Rhisnes, RHISNES","[0.0, 0.0]","",person,"Captain  Rose, Rowe","{""first""=>[""""], ""surname""=>[""Rose"", ""Rowe""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>["""", ""5 DIVISION: DIVISIONAL TROOPS: DIVISIONAL TRAIN""]}",2788111,Rhisnes,"[4.80592, 50.50682]"
6,AWD0002kmg,diary,686,3,1919-02-01 00:00:00 UTC,1 Feb 1919,"Rhisnes, RHISNES","[0.0, 0.0]","",diaryDate,1 Feb 1919,"{""day""=>[""1""], ""month""=>[""Feb""], ""year""=>[""1919""]}",2788111,Rhisnes,"[4.80592, 50.50682]"
7,AWD0002kmg,diary,686,3,1919-01-31 00:00:00 UTC,31 Jan 1919,"Rhisnes, RHISNES","[0.0, 0.0]","",diaryDate,31 Jan 1919,"{""day""=>[""31""], ""month""=>[""Jan""], ""year""=>[""1919""]}",2788111,Rhisnes,"[4.80592, 50.50682]"
1,AWD0002kmu,diary,687,2,1919-02-02 00:00:00 UTC,2 Feb 1919,"Rhisnes, RHISNES","[0.0, 0.0]","",diaryDate,2 Feb 1919,"{""day""=>[""2""], ""month""=>[""Feb""], ""year""=>[""1919""]}",2788111,Rhisnes,"[4.80592, 50.50682]"
8,AWD0002kmu,diary,687,2,1919-02-02 00:00:00 UTC,2 Feb 1919,Rhisnes,"[4.80592, 50.50682]","",place,Rhisnes,"{""place""=>[""Rhisnes""], ""location""=>[""true""], ""name""=>[""Rhisnes""], ""lat""=>[""50.50682""], ""long""=>[""4.80592""], ""id""=>[""2788111""]}",2788111,Rhisnes,"[4.80592, 50.50682]"
26,AWD0002kmu,diary,687,2,1919-01-26 00:00:00 UTC,26 Jan 1919,Rhisnes,"[4.80592, 50.50682]","",diaryDate,26 Jan 1919,"{""day""=>[""26""], ""month""=>[""Jan""], ""year""=>[""1919""]}",2788111,Rhisnes,"[4.80592, 50.50682]"
1,AWD0002kmq,diary,688,2,1919-02-02 00:00:00 UTC,"2 Feb 1919, 1914",Rhisnes,"[4.80592, 50.50682]","",diaryDate,"2 Feb 1919, 1914","{""day""=>[""2""], ""month""=>[""Feb""], ""year""=>[""1919"", ""1914""]}",2788111,Rhisnes,"[4.80592, 50.50682]"
8,AWD0002kmq,diary,688,3,1919-02-02 00:00:00 UTC,2 Feb 1919,Rhisnes,"[4.80592, 50.50682]","",diaryDate,2 Feb 1919,"{""day""=>[""2""], ""month""=>[""Feb""], ""year""=>[""1919""]}",2788111,Rhisnes,"[4.80592, 50.50682]"
9,AWD0002kmq,diary,688,3,1919-02-02 00:00:00 UTC,2 Feb 1919,Rhisnes,"[4.80592, 50.50682]","",place,Rhisnes,"{""place""=>[""Rhisnes""], ""location""=>[""true""], ""name""=>[""Rhisnes""], ""lat""=>[""50.50682""], ""long""=>[""4.80592""], ""id""=>[""2788111""]}",2788111,Rhisnes,"[4.80592, 50.50682]"
