Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002ldk,diary,491,4,1917-05-01 00:00:00 UTC,1 May 1917,"","[0.0, 0.0]","",diaryDate,1 May 1917,"{""day""=>[""1""], ""month""=>[""May""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0002ldk,diary,491,5,1917-05-01 00:00:00 UTC,1 May 1917,"","[0.0, 0.0]","",weather,fine,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002ldk,diary,491,4,1917-05-01 00:00:00 UTC,1 May 1917,"","[0.0, 0.0]","",activity,training,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0002ldk,diary,491,5,1917-05-01 00:00:00 UTC,1 May 1917,Chateau de la Haie,"[0.0, 0.0]","",place,Chateau de la Haie,"{""place""=>[""Chateau de la Haie""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3014075,Château de la Haie,"[2.66022, 50.39005]"
8,AWD0002ldk,diary,491,4,1917-05-01 00:00:00 UTC,1 May 1917,Chateau de la Haie,"[0.0, 0.0]","",domestic,sport,{},3014075,Château de la Haie,"[2.66022, 50.39005]"
10,AWD0002ldk,diary,491,4,1917-05-02 00:00:00 UTC,2 May 1917,Chateau de la Haie,"[0.0, 0.0]","",diaryDate,2 May 1917,"{""day""=>[""2""], ""month""=>[""May""], ""year""=>[""1917""]}",3014075,Château de la Haie,"[2.66022, 50.39005]"
11,AWD0002ldk,diary,491,3,1917-05-02 00:00:00 UTC,2 May 1917,Chateau de la Haie,"[0.0, 0.0]","",place,Chateau de la Haie,"{""place""=>[""Chateau de la Haie""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3014075,Château de la Haie,"[2.66022, 50.39005]"
12,AWD0002ldk,diary,491,3,1917-05-02 00:00:00 UTC,2 May 1917,Chateau de la Haie,"[0.0, 0.0]","",weather,fine,{},3014075,Château de la Haie,"[2.66022, 50.39005]"
13,AWD0002ldk,diary,491,4,1917-05-02 00:00:00 UTC,2 May 1917,Chateau de la Haie,"[0.0, 0.0]","",activity,movement,{},3014075,Château de la Haie,"[2.66022, 50.39005]"
16,AWD0002ldk,diary,491,3,1917-05-02 00:00:00 UTC,2 May 1917,Villers au Bois,"[2.67156, 50.37408]","",place,Villers au Bois,"{""place""=>[""Villers au Bois""], ""location""=>[""true""], ""name""=>[""Villers-au-Bois""], ""lat""=>[""50.37408""], ""long""=>[""2.67156""], ""id""=>[""2968426""]}",2968426,Villers-au-Bois,"[2.67156, 50.37408]"
18,AWD0002ldk,diary,491,2,1917-05-02 00:00:00 UTC,2 May 1917,Villers au Bois,"[2.67156, 50.37408]","",activity,movement,{},2968426,Villers-au-Bois,"[2.67156, 50.37408]"
19,AWD0002ldk,diary,491,3,1917-05-02 00:00:00 UTC,2 May 1917,Roclincourt,"[2.78688, 50.32619]","",place,Roclincourt,"{""place""=>[""Roclincourt""], ""location""=>[""true""], ""name""=>[""Roclincourt""], ""lat""=>[""50.32619""], ""long""=>[""2.78688""], ""id""=>[""2983186""]}",2983186,Roclincourt,"[2.78688, 50.32619]"
20,AWD0002ldk,diary,491,2,1917-05-02 00:00:00 UTC,2 May 1917,Roclincourt,"[2.78688, 50.32619]","",domestic,accomodation,{},2983186,Roclincourt,"[2.78688, 50.32619]"
21,AWD0002ldk,diary,491,4,1917-05-02 00:00:00 UTC,2 May 1917,Roclincourt,"[2.78688, 50.32619]","",place,Roclincourt,"{""place""=>[""Roclincourt""], ""location""=>[""true""], ""name""=>[""Roclincourt""], ""lat""=>[""50.32619""], ""long""=>[""2.78688""], ""id""=>[""2983186""]}",2983186,Roclincourt,"[2.78688, 50.32619]"
24,AWD0002ldk,diary,491,3,1917-05-02 00:00:00 UTC,2 May 1917,Roclincourt,"[2.78688, 50.32619]","",person,Regimental Sergeant Major  Brown,"{""first""=>[""""], ""surname""=>[""Brown""], ""rank""=>[""Regimental Sergeant Major""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2983186,Roclincourt,"[2.78688, 50.32619]"
25,AWD0002ldk,diary,491,4,1917-05-02 00:00:00 UTC,2 May 1917,Roclincourt,"[2.78688, 50.32619]","",person,"Second Lieutenant  SUTHERLAND, Sutherland","{""first""=>[""""], ""surname""=>[""SUTHERLAND"", ""Sutherland""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_sick""], ""unit""=>[""""]}",2983186,Roclincourt,"[2.78688, 50.32619]"
26,AWD0002ldk,diary,491,4,1917-05-02 00:00:00 UTC,2 May 1917,Roclincourt,"[2.78688, 50.32619]","",person,"Second Lieutenant  HARRIS, Harris","{""first""=>[""""], ""surname""=>[""HARRIS"", ""Harris""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_sick""], ""unit""=>[""""]}",2983186,Roclincourt,"[2.78688, 50.32619]"
29,AWD0002ldk,diary,491,3,1917-05-02 00:00:00 UTC,2 May 1917,Roclincourt,"[2.78688, 50.32619]","",activity,reserve,{},2983186,Roclincourt,"[2.78688, 50.32619]"
31,AWD0002ldk,diary,491,4,1917-05-03 00:00:00 UTC,3 May 1917,Roclincourt,"[2.78688, 50.32619]","",diaryDate,3 May 1917,"{""day""=>[""3""], ""month""=>[""May""], ""year""=>[""1917""]}",2983186,Roclincourt,"[2.78688, 50.32619]"
32,AWD0002ldk,diary,491,3,1917-05-03 00:00:00 UTC,3 May 1917,Roclincourt,"[2.78688, 50.32619]","",activity,reconnoitered,{},2983186,Roclincourt,"[2.78688, 50.32619]"
