Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
5,AWD0002qr4,diary,664,2,,"","","[0.0, 0.0]","",person,"Captain H W J Barker, Barsker","{""first""=>[""H W J""], ""surname""=>[""Barker"", ""Barsker""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>["""", ""1 BATTALION LEICESTERSHIRE REGIMENT (Headquarters)""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0002qr4,diary,664,4,,"","","[0.0, 0.0]","",person,Lieutenant Colonel H B Brown,"{""first""=>[""H B""], ""surname""=>[""Brown""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0002qr4,diary,664,2,,"","","[0.0, 0.0]","",person,"Major,Major General J W E,E Mosse, Morse","{""first""=>[""J W E"", ""E""], ""surname""=>[""Mosse"", ""Morse""], ""rank""=>[""Major"", ""Major General""], ""number""=>[""""], ""reason""=>[""other"", ""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0002qr4,diary,664,2,,"","","[0.0, 0.0]","",person,"Lieutenant R N Davis, Dam","{""first""=>[""R N""], ""surname""=>[""Davis"", ""Dam""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other"", ""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0002qr4,diary,664,3,,"","","[0.0, 0.0]","",person,"Lieutenant D F M,D F> M,D S M Hackett, Hackett (T.O.), Hachett","{""first""=>[""D F M"", ""D F> M"", ""D S M""], ""surname""=>[""Hackett"", ""Hackett (T.O.)"", ""Hachett""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0002qr4,diary,664,3,,"","","[0.0, 0.0]","",person,Lieutenant F Taylor,"{""first""=>[""F""], ""surname""=>[""Taylor""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
16,AWD0002qr4,diary,664,3,,"","","[0.0, 0.0]","",person,Second Lieutenant P A Crouch,"{""first""=>[""P A""], ""surname""=>[""Crouch""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
17,AWD0002qr4,diary,664,3,,"","","[0.0, 0.0]","",person,Second Lieutenant E H Butler,"{""first""=>[""E H""], ""surname""=>[""Butler""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""A Coy"", ""1 BATTALION LEICESTERSHIRE REGIMENT (A Company)"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
19,AWD0002qr4,diary,664,3,,"","","[0.0, 0.0]","",person,Captain S T Hartshorne,"{""first""=>[""S T""], ""surname""=>[""Hartshorne""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""A Coy"", ""1 BATTALION LEICESTERSHIRE REGIMENT (A Company)"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
20,AWD0002qr4,diary,664,3,,"","","[0.0, 0.0]","",person,Lieutenant J D Vessey,"{""first""=>[""J D""], ""surname""=>[""Vessey""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""A Coy"", ""1 BATTALION LEICESTERSHIRE REGIMENT (A Company)"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
21,AWD0002qr4,diary,664,3,,"","","[0.0, 0.0]","",person,Second Lieutenant C E Lancaster,"{""first""=>[""C E""], ""surname""=>[""Lancaster""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""A Coy"", ""1 BATTALION LEICESTERSHIRE REGIMENT (A Company)"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
22,AWD0002qr4,diary,664,3,,"","","[0.0, 0.0]","",person,"Second Lieutenant A N Bagshaw, Bagahaw, Bayshaw","{""first""=>[""A N""], ""surname""=>[""Bagshaw"", ""Bagahaw"", ""Bayshaw""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""B Coy"", """", ""1 BATTALION LEICESTERSHIRE REGIMENT (B Company)""]}",2985684,Pozières,"[2.72929, 50.04047]"
23,AWD0002qr4,diary,664,3,,"","","[0.0, 0.0]","",person,Second Lieutenant J H Connell,"{""first""=>[""J H""], ""surname""=>[""Connell""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""B Coy"", ""1 BATTALION LEICESTERSHIRE REGIMENT (B Company)"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
24,AWD0002qr4,diary,664,3,,"","","[0.0, 0.0]","",person,"Lieutenant P A B Wilson, Wuson, Winxin","{""first""=>[""P A B""], ""surname""=>[""Wilson"", ""Wuson"", ""Winxin""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""B Coy"", ""1 BATTALION LEICESTERSHIRE REGIMENT (B Company)"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
25,AWD0002qr4,diary,664,3,,"","","[0.0, 0.0]","",person,Captain J H John,"{""first""=>[""J H""], ""surname""=>[""John""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""1 BATTALION LEICESTERSHIRE REGIMENT (B Company)"", ""B Coy"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
27,AWD0002qr4,diary,664,3,,"","","[0.0, 0.0]","",person,Second Lieutenant H A Sims,"{""first""=>[""H A""], ""surname""=>[""Sims""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""C Coy"", ""1 BATTALION LEICESTERSHIRE REGIMENT (C Company)"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
28,AWD0002qr4,diary,664,3,,"","","[0.0, 0.0]","",person,Captain F E Shelton,"{""first""=>[""F E""], ""surname""=>[""Shelton""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>["""", ""C Coy"", ""1 BATTALION LEICESTERSHIRE REGIMENT (C Company)""]}",2985684,Pozières,"[2.72929, 50.04047]"
