Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002qwo,diary,172,7,1917-01-01 00:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]","",diaryDate,1 Jan 1917,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0002qwo,diary,172,5,1917-01-01 00:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]","",activity,quiet,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002qwo,diary,172,3,1917-01-01 00:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]","",activity,line,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0002qwo,diary,172,7,1917-01-02 00:00:00 UTC,2 Jan 1917,"","[0.0, 0.0]","",diaryDate,2 Jan 1917,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0002qwo,diary,172,5,1917-01-02 02:00:00 UTC,2 Jan 1917,"","[0.0, 0.0]",0200AM,time,0200AM,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0002qwo,diary,172,3,1917-01-02 02:00:00 UTC,2 Jan 1917,"","[0.0, 0.0]",0200AM,activity,enemy_activity,{},2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0002qwo,diary,172,2,1917-01-02 02:00:00 UTC,2 Jan 1917,"","[0.0, 0.0]",0200AM,person," B,D Coy","{""first""=>[""B"", ""D""], ""surname""=>[""Coy""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""combat""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0002qwo,diary,172,10,1917-01-02 02:00:00 UTC,2 Jan 1917,"","[0.0, 0.0]",0200AM,person,Corporal  Hurn,"{""first""=>[""""], ""surname""=>[""Hurn""], ""rank""=>[""Corporal""], ""number""=>[""""], ""reason""=>[""combat""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0002qwo,diary,172,4,1917-01-02 02:00:00 UTC,2 Jan 1917,"","[0.0, 0.0]",0200AM,casualties,"wounded: 2, missing: 1",{},2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0002qwo,diary,172,6,1917-01-03 00:00:00 UTC,3 Jan 1917,"","[0.0, 0.0]","",diaryDate,3 Jan 1917,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
