Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002szz,cover,1,2,,,,[],,diaryDate,"1 Nov,Aug 1917, 1915","{""day""=>[""1""], ""month""=>[""Nov"", ""Aug""], ""year""=>[""1917"", ""1915""]}",,,
1,AWD0002t2a,cover,3,2,,,,[],,diaryDate,"1 Dec,Aug 1915","{""day""=>[""1""], ""month""=>[""Dec"", ""Aug""], ""year""=>[""1915""]}",,,
3,AWD0002t1a,diary,5,4,1915-08-24 00:00:00 UTC,24 Aug 1915,"","[0.0, 0.0]","",diaryDate,24 Aug 1915,"{""day""=>[""24""], ""month""=>[""Aug""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0002t1a,diary,5,6,1915-08-24 00:00:00 UTC,24 Aug 1915,"","[0.0, 0.0]","",place,Amesbury,"{""place""=>[""Amesbury""], ""location""=>[""false"", ""true""], ""name""=>[""Amesbury""], ""lat""=>[""51.17172""], ""long""=>[""-1.77897""], ""id""=>[""2657355""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0002t1a,diary,5,5,1915-08-24 06:45:00 UTC,24 Aug 1915,"","[0.0, 0.0]",0645AM,time,0645AM,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0002t1a,diary,5,11,1915-08-24 06:45:00 UTC,24 Aug 1915,"","[0.0, 0.0]",0645AM,activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0002t1a,diary,5,4,1915-08-25 00:00:00 UTC,25 Aug 1915,"","[0.0, 0.0]","",diaryDate,25 Aug 1915,"{""day""=>[""25""], ""month""=>[""Aug""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0002t1a,diary,5,7,1915-08-25 00:00:00 UTC,25 Aug 1915,Havre,"[0.10767, 49.4938]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
11,AWD0002t1a,diary,5,5,1915-08-25 14:00:00 UTC,25 Aug 1915,Havre,"[0.10767, 49.4938]",0200PM,time,0200PM,{},3003796,Le Havre,"[0.10767, 49.4938]"
16,AWD0002t1a,diary,5,4,1915-08-26 00:00:00 UTC,26 Aug 1915,Havre,"[0.10767, 49.4938]","",diaryDate,26 Aug 1915,"{""day""=>[""26""], ""month""=>[""Aug""], ""year""=>[""1915""]}",3003796,Le Havre,"[0.10767, 49.4938]"
