Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
6,AWD0002u5l,diary,5,5,1915-10-31 00:00:00 UTC,31 Oct 1915,"","[0.0, 0.0]","",diaryDate,31 Oct 1915,"{""day""=>[""31""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0002u5l,diary,5,5,1915-10-31 00:00:00 UTC,31 Oct 1915,Larkhill,"[-1.81667, 51.2]","",place,Larkhill,"{""place""=>[""Larkhill""], ""location""=>[""true""], ""name""=>[""Lark Hill""], ""lat""=>[""51.2""], ""long""=>[""-1.81667""], ""id""=>[""2644852""]}",2644852,Lark Hill,"[-1.81667, 51.2]"
8,AWD0002u5l,diary,5,4,1915-10-31 10:30:00 UTC,31 Oct 1915,Larkhill,"[-1.81667, 51.2]",1030AM,time,1030AM,{},2644852,Lark Hill,"[-1.81667, 51.2]"
10,AWD0002u5l,diary,5,5,1915-11-04 00:00:00 UTC,4 Nov 1915,Larkhill,"[-1.81667, 51.2]","",diaryDate,4 Nov 1915,"{""day""=>[""4""], ""month""=>[""Nov""], ""year""=>[""1915""]}",2644852,Lark Hill,"[-1.81667, 51.2]"
12,AWD0002u5l,diary,5,3,1915-11-04 00:00:00 UTC,4 Nov 1915,Larkhill,"[0.0, 0.0]","",place,Larkhill,"{""place""=>[""Larkhill""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2644852,Lark Hill,"[-1.81667, 51.2]"
14,AWD0002u5l,diary,5,5,1915-11-08 00:00:00 UTC,8 Nov 1915,Larkhill,"[0.0, 0.0]","",diaryDate,8 Nov 1915,"{""day""=>[""8""], ""month""=>[""Nov""], ""year""=>[""1915""]}",2644852,Lark Hill,"[-1.81667, 51.2]"
15,AWD0002u5l,diary,5,3,1915-11-08 00:00:00 UTC,8 Nov 1915,Southampton,"[-1.40428, 50.90395]","",place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
17,AWD0002u5l,diary,5,3,1915-11-08 00:00:00 UTC,8 Nov 1915,Larkhill,"[-1.81667, 51.2]","",place,Larkhill,"{""place""=>[""Larkhill""], ""location""=>[""true""], ""name""=>[""Lark Hill""], ""lat""=>[""51.2""], ""long""=>[""-1.81667""], ""id""=>[""2644852""]}",2644852,Lark Hill,"[-1.81667, 51.2]"
18,AWD0002u5l,diary,5,4,1915-11-08 00:00:00 UTC,8 Nov 1915,Larkhill,"[-1.81667, 51.2]","",activity,movement,{},2644852,Lark Hill,"[-1.81667, 51.2]"
19,AWD0002u5l,diary,5,2,1915-11-08 00:00:00 UTC,8 Nov 1915,Larkhill,"[-1.81667, 51.2]","",place,Amesbury,"{""place""=>[""Amesbury""], ""location""=>[""false"", ""true""], ""name""=>[""Amesbury""], ""lat""=>[""51.17509""], ""long""=>[""-1.78064""], ""id""=>[""2657355""]}",2644852,Lark Hill,"[-1.81667, 51.2]"
20,AWD0002u5l,diary,5,2,1915-11-08 10:40:00 UTC,8 Nov 1915,Larkhill,"[-1.81667, 51.2]",1040AM,time,1040AM,{},2644852,Lark Hill,"[-1.81667, 51.2]"
21,AWD0002u5l,diary,5,4,1915-11-08 10:40:00 UTC,8 Nov 1915,Larkhill,"[-1.81667, 51.2]",1040AM,strength,"officer: 30, other: 995",{},2644852,Lark Hill,"[-1.81667, 51.2]"
22,AWD0002u5l,diary,5,2,1915-11-08 13:25:00 UTC,8 Nov 1915,Larkhill,"[-1.81667, 51.2]",0125PM,time,0125PM,{},2644852,Lark Hill,"[-1.81667, 51.2]"
24,AWD0002u5l,diary,5,2,1915-11-08 11:40:00 UTC,8 Nov 1915,Larkhill,"[-1.81667, 51.2]",1140AM,time,1140AM,{},2644852,Lark Hill,"[-1.81667, 51.2]"
25,AWD0002u5l,diary,5,2,1915-11-08 11:40:00 UTC,8 Nov 1915,Larkhill,"[-1.81667, 51.2]",1140AM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true"", ""false""], ""name""=>[""Southampton"", ""Southampton Port""], ""lat""=>[""50.90395"", ""50.90325""], ""long""=>[""-1.40428"", ""-1.41981""], ""id""=>[""2637487"", ""9253608""]}",2644852,Lark Hill,"[-1.81667, 51.2]"
26,AWD0002u5l,diary,5,2,1915-11-08 18:00:00 UTC,8 Nov 1915,Larkhill,"[-1.81667, 51.2]",0600PM,time,0600PM,{},2644852,Lark Hill,"[-1.81667, 51.2]"
28,AWD0002u5l,diary,5,3,1915-11-08 18:00:00 UTC,8 Nov 1915,Larkhill,"[-1.81667, 51.2]",0600PM,activity,movement,{},2644852,Lark Hill,"[-1.81667, 51.2]"
29,AWD0002u5l,diary,5,4,1915-11-08 18:00:00 UTC,8 Nov 1915,Southampton,"[-1.40428, 50.90395]",0600PM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
30,AWD0002u5l,diary,5,2,1915-11-08 00:00:00 UTC,8 Nov 1915,Southampton,"[-1.40428, 50.90395]","",diaryDate,8 Nov 1915,"{""day""=>[""8""], ""month""=>[""Nov""], ""year""=>[""1915""]}",2637487,Southampton,"[-1.40428, 50.90395]"
33,AWD0002u5l,diary,5,6,1915-11-09 00:00:00 UTC,9 Nov 1915,Southampton,"[-1.40428, 50.90395]","",diaryDate,9 Nov 1915,"{""day""=>[""9""], ""month""=>[""Nov""], ""year""=>[""1915""]}",2637487,Southampton,"[-1.40428, 50.90395]"
