Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
4,AWD0002v6f,diary,3,5,1914-09-02 00:00:00 UTC,2 Sep 1914,"","[0.0, 0.0]","",diaryDate,2 Sep 1914,"{""day""=>[""2""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0002v6f,diary,3,4,1914-09-04 00:00:00 UTC,4 Sep 1914,"","[0.0, 0.0]","",diaryDate,4 Sep 1914,"{""day""=>[""4""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0002v6f,diary,3,2,1914-09-04 00:00:00 UTC,4 Sep 1914,"","[0.0, 0.0]","",person,",other Shashi Kuman,SHASHI Das, KUMAR DAS","{""first""=>[""Shashi Kuman"", ""SHASHI""], ""surname""=>[""Das"", ""KUMAR DAS""], ""rank""=>["""", ""other""], ""number""=>[""1343""], ""reason""=>[""resigned"", ""departed_sick""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0002v6f,diary,3,4,1914-09-05 00:00:00 UTC,5 Sep 1914,"","[0.0, 0.0]","",diaryDate,5 Sep 1914,"{""day""=>[""5""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0002v6f,diary,3,2,1914-09-05 00:00:00 UTC,5 Sep 1914,"","[0.0, 0.0]","",person,"Captain E D MUNRO, Munro","{""first""=>[""E D""], ""surname""=>[""MUNRO"", ""Munro""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002v1n,diary,4,3,1914-09-06 00:00:00 UTC,6 Sep 1914,"","[0.0, 0.0]","",diaryDate,6 Sep 1914,"{""day""=>[""6""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0002v1n,diary,4,2,1914-09-06 00:00:00 UTC,6 Sep 1914,"","[0.0, 0.0]","",activity,resupplying,{},2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0002v1n,diary,4,3,1914-09-07 00:00:00 UTC,7 Sep 1914,"","[0.0, 0.0]","",diaryDate,7 Sep 1914,"{""day""=>[""7""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0002v1n,diary,4,2,1914-09-08 00:00:00 UTC,8 Sep 1914,"","[0.0, 0.0]","",diaryDate,8 Sep 1914,"{""day""=>[""8""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0002v1n,diary,4,2,1914-09-08 00:00:00 UTC,8 Sep 1914,"","[0.0, 0.0]","",domestic,medical,{},2985684,Pozières,"[2.72929, 50.04047]"
18,AWD0002v1n,diary,4,2,1914-09-09 00:00:00 UTC,9 Sep 1914,"","[0.0, 0.0]","",diaryDate,9 Sep 1914,"{""day""=>[""9""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
23,AWD0002v1n,diary,4,2,1914-09-10 00:00:00 UTC,10 Sep 1914,"","[0.0, 0.0]","",diaryDate,10 Sep 1914,"{""day""=>[""10""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
30,AWD0002v1n,diary,4,2,1914-09-12 00:00:00 UTC,12 Sep 1914,"","[0.0, 0.0]","",diaryDate,12 Sep 1914,"{""day""=>[""12""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
1,AWD0002v2v,diary,5,2,1914-09-12 00:00:00 UTC,12 Sep 1914,"","[0.0, 0.0]","",title,Army Form 0.2118,{},2985684,Pozières,"[2.72929, 50.04047]"
