Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0002xn3,diary,3,5,1914-08-13 00:00:00 UTC,13 Aug 1914,"","[0.0, 0.0]","",diaryDate,13 Aug 1914,"{""day""=>[""13""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0002xn3,diary,3,5,1914-08-13 00:00:00 UTC,13 Aug 1914,Meerut,"[0.0, 0.0]","",place,Meerut,"{""place""=>[""Meerut""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
5,AWD0002xn3,diary,3,3,1914-08-17 00:00:00 UTC,17 Aug 1914,Meerut,"[0.0, 0.0]","",diaryDate,17 Aug 1914,"{""day""=>[""17""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
6,AWD0002xn3,diary,3,5,1914-08-17 00:00:00 UTC,17 Aug 1914,Meerut,"[0.0, 0.0]","",person,Captain P K Gilroy,"{""first""=>[""P K""], ""surname""=>[""Gilroy""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
7,AWD0002xn3,diary,3,2,1914-08-17 00:00:00 UTC,17 Aug 1914,Meerut,"[0.0, 0.0]","",diaryDate,17 Aug 1914,"{""day""=>[""17""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
8,AWD0002xn3,diary,3,5,1914-08-18 00:00:00 UTC,18 Aug 1914,Meerut,"[0.0, 0.0]","",diaryDate,18 Aug 1914,"{""day""=>[""18""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
9,AWD0002xn3,diary,3,5,1914-08-18 00:00:00 UTC,18 Aug 1914,Meerut,"[0.0, 0.0]","",person,Captain R B Nicholson,"{""first""=>[""R B""], ""surname""=>[""Nicholson""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
10,AWD0002xn3,diary,3,3,1914-08-19 00:00:00 UTC,19 Aug 1914,Meerut,"[0.0, 0.0]","",diaryDate,19 Aug 1914,"{""day""=>[""19""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
11,AWD0002xn3,diary,3,5,1914-08-19 00:00:00 UTC,19 Aug 1914,Meerut,"[0.0, 0.0]","",person,Lieutenant P F Gow,"{""first""=>[""P F""], ""surname""=>[""Gow""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
12,AWD0002xn3,diary,3,5,1914-08-19 00:00:00 UTC,19 Aug 1914,Meerut,"[0.0, 0.0]","",person,Captain E O'G Kirwan,"{""first""=>[""E O'G""], ""surname""=>[""Kirwan""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
13,AWD0002xn3,diary,3,2,1914-08-19 00:00:00 UTC,19 Aug 1914,Meerut,"[0.0, 0.0]","",diaryDate,19 Aug 1914,"{""day""=>[""19""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
14,AWD0002xn3,diary,3,2,1914-08-19 00:00:00 UTC,19 Aug 1914,Meerut,"[0.0, 0.0]","",activity,resupplying,{},,,
17,AWD0002xn3,diary,3,3,1914-08-19 00:00:00 UTC,19 Aug 1914,Meerut,"[0.0, 0.0]","",domestic,accomodation,{},,,
19,AWD0002xn3,diary,3,2,1914-08-19 00:00:00 UTC,19 Aug 1914,Meerut,"[0.0, 0.0]","",place,Meerut,"{""place""=>[""Meerut""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
