Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0002xpb,diary,4,4,1914-08-15 00:00:00 UTC,15 Aug 1914,"","[0.0, 0.0]","",diaryDate,15 Aug 1914,"{""day""=>[""15""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0002xpb,diary,4,3,1914-08-15 00:00:00 UTC,15 Aug 1914,Meerut,"[0.0, 0.0]","",place,Meerut,"{""place""=>[""Meerut""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
9,AWD0002xpb,diary,4,2,1914-08-15 10:00:00 UTC,15 Aug 1914,Meerut,"[0.0, 0.0]",1000AM,time,1000AM,{},,,
10,AWD0002xpb,diary,4,5,1914-08-15 10:00:00 UTC,15 Aug 1914,Meerut,"[0.0, 0.0]",1000AM,person,Captain G R Lynn,"{""first""=>[""G R""], ""surname""=>[""Lynn""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
12,AWD0002xpb,diary,4,4,1914-08-18 00:00:00 UTC,18 Aug 1914,Meerut,"[0.0, 0.0]","",diaryDate,18 Aug 1914,"{""day""=>[""18""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
14,AWD0002xpb,diary,4,2,1914-08-18 11:00:00 UTC,18 Aug 1914,Meerut,"[0.0, 0.0]",1100AM,time,1100AM,{},,,
15,AWD0002xpb,diary,4,3,1914-08-18 11:00:00 UTC,18 Aug 1914,Meerut,"[0.0, 0.0]",1100AM,place,Meerut,"{""place""=>[""Meerut""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
18,AWD0002xpb,diary,4,5,1914-08-18 11:00:00 UTC,18 Aug 1914,Meerut,"[0.0, 0.0]",1100AM,person,Captain R I Binning,"{""first""=>[""R I""], ""surname""=>[""Binning""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
20,AWD0002xpb,diary,4,4,1914-08-18 11:00:00 UTC,18 Aug 1914,Meerut,"[0.0, 0.0]",1100AM,person,Captain A W M Harvey,"{""first""=>[""A W M""], ""surname""=>[""Harvey""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
21,AWD0002xpb,diary,4,3,1914-08-19 00:00:00 UTC,19 Aug 1914,Meerut,"[0.0, 0.0]","",diaryDate,19 Aug 1914,"{""day""=>[""19""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
23,AWD0002xpb,diary,4,4,1914-08-19 00:00:00 UTC,19 Aug 1914,Meerut,"[1.91667, 50.05]","",place,Meerut,"{""place""=>[""Meerut""], ""location""=>[""true""], ""name""=>["""", ""Pont-Remy""], ""lat""=>["""", ""50.05""], ""long""=>["""", ""1.91667""], ""id""=>["""", ""2986122""]}",,,
26,AWD0002xpb,diary,4,2,1914-08-19 00:00:00 UTC,19 Aug 1914,"Meerut, India","[0.0, 0.0]","",place,"Meerut, India","{""place""=>[""Meerut, India""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
27,AWD0002xpb,diary,4,3,1914-08-20 00:00:00 UTC,20 Aug 1914,"Meerut, India","[0.0, 0.0]","",diaryDate,20 Aug 1914,"{""day""=>[""20""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
