Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0002xr1,diary,3,4,1915-05-29 00:00:00 UTC,29 May 1915,"","[0.0, 0.0]","",diaryDate,29 May 1915,"{""day""=>[""29""], ""month""=>[""May""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0002xr1,diary,3,3,1915-05-29 08:00:00 UTC,29 May 1915,"","[0.0, 0.0]",0800AM,time,0800AM,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0002xr1,diary,3,4,1915-05-29 08:00:00 UTC,29 May 1915,"","[0.0, 0.0]",0800AM,place,Rouen,"{""place""=>[""Rouen""], ""location""=>[""false"", ""true""], ""name""=>[""Rouen""], ""lat""=>[""49.44313""], ""long""=>[""1.09932""], ""id""=>[""2982652""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0002xr1,diary,3,2,1915-05-29 08:00:00 UTC,29 May 1915,"","[0.0, 0.0]",0800AM,person,",other  Treherne, Trehesne","{""first""=>[""""], ""surname""=>[""Treherne"", ""Trehesne""], ""rank""=>["""", ""other""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0002xr1,diary,3,2,1915-05-29 08:00:00 UTC,29 May 1915,"","[0.0, 0.0]",0800AM,place,Rouen,"{""place""=>[""Rouen""], ""location""=>[""false""], ""name""=>["""", ""Rouen""], ""lat""=>["""", ""49.44313""], ""long""=>["""", ""1.09932""], ""id""=>["""", ""2982652""]}",2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0002xr1,diary,3,4,1915-05-29 09:30:00 UTC,29 May 1915,"","[0.0, 0.0]",0930AM,time,0930AM,{},2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0002xr1,diary,3,2,1915-05-29 09:30:00 UTC,29 May 1915,"","[0.0, 0.0]",0930AM,domestic,inspections,{},2985684,Pozières,"[2.72929, 50.04047]"
19,AWD0002xr1,diary,3,3,1915-05-29 14:00:00 UTC,29 May 1915,"","[0.0, 0.0]",0200PM,time,0200PM,{},2985684,Pozières,"[2.72929, 50.04047]"
21,AWD0002xr1,diary,3,3,1915-05-29 14:00:00 UTC,29 May 1915,"","[0.0, 0.0]",0200PM,place,Lillers,"{""place""=>[""Lillers""], ""location""=>[""false""], ""name""=>[""Lillers""], ""lat""=>[""50.56345""], ""long""=>[""2.48042""], ""id""=>[""2998320""]}",2985684,Pozières,"[2.72929, 50.04047]"
23,AWD0002xr1,diary,3,3,1915-05-29 14:00:00 UTC,29 May 1915,"","[0.0, 0.0]",0200PM,activity,other,{},2985684,Pozières,"[2.72929, 50.04047]"
24,AWD0002xr1,diary,3,4,1915-05-30 00:00:00 UTC,30 May 1915,"","[0.0, 0.0]","",diaryDate,30 May 1915,"{""day""=>[""30""], ""month""=>[""May""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
25,AWD0002xr1,diary,3,3,1915-05-30 17:00:00 UTC,30 May 1915,"","[0.0, 0.0]",0500PM,time,0500PM,{},2985684,Pozières,"[2.72929, 50.04047]"
28,AWD0002xr1,diary,3,3,1915-05-30 17:00:00 UTC,30 May 1915,"","[0.0, 0.0]",0500PM,place,Rouen,"{""place""=>[""Rouen""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
29,AWD0002xr1,diary,3,4,1915-05-31 00:00:00 UTC,31 May 1915,"","[0.0, 0.0]","",diaryDate,31 May 1915,"{""day""=>[""31""], ""month""=>[""May""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
30,AWD0002xr1,diary,3,4,1915-05-31 10:00:00 UTC,31 May 1915,"","[0.0, 0.0]",1000AM,time,1000AM,{},2985684,Pozières,"[2.72929, 50.04047]"
31,AWD0002xr1,diary,3,2,1915-05-31 10:00:00 UTC,31 May 1915,"","[0.0, 0.0]",1000AM,activity,other,{},2985684,Pozières,"[2.72929, 50.04047]"
32,AWD0002xr1,diary,3,2,1915-05-31 08:00:00 UTC,31 May 1915,"","[0.0, 0.0]",0800AM,time,0800AM,{},2985684,Pozières,"[2.72929, 50.04047]"
