Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002xxv,diary,2,3,1914-08-08 00:00:00 UTC,8 Aug 1914,"","[0.0, 0.0]","",diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0002xxv,diary,2,3,1914-08-08 00:00:00 UTC,8 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]","",place,"Dekka Doon, Dekra Doon, Dehra Doon","{""place""=>[""Dekka Doon"", ""Dekra Doon"", ""Dehra Doon""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
4,AWD0002xxv,diary,2,3,1914-08-08 00:00:00 UTC,8 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]","",place,Nepal,"{""place""=>[""Nepal""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
6,AWD0002xxv,diary,2,2,1914-08-09 00:00:00 UTC,9 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]","",diaryDate,9 Aug 1914,"{""day""=>[""9""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
7,AWD0002xxv,diary,2,2,1914-08-09 00:00:00 UTC,9 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]","",activity,other,{},,,
8,AWD0002xxv,diary,2,2,1914-08-09 04:00:00 UTC,9 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]",0400AM,time,0400AM,{},,,
9,AWD0002xxv,diary,2,4,1914-08-09 04:00:00 UTC,9 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]",0400AM,person,Major D M Watt,"{""first""=>[""D M""], ""surname""=>[""Watt""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
10,AWD0002xxv,diary,2,2,1914-08-10 00:00:00 UTC,10 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]","",diaryDate,10 Aug 1914,"{""day""=>[""10""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
11,AWD0002xxv,diary,2,2,1914-08-10 05:00:00 UTC,10 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]",0500AM,time,0500AM,{},,,
14,AWD0002xxv,diary,2,3,1914-08-10 05:00:00 UTC,10 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]",0500AM,place,Bombay,"{""place""=>[""Bombay""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
15,AWD0002xxv,diary,2,4,1914-08-10 05:00:00 UTC,10 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]",0500AM,person,Lieutenant  Lucas,"{""first""=>[""""], ""surname""=>[""Lucas""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
16,AWD0002xxv,diary,2,2,1914-08-11 00:00:00 UTC,11 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]","",diaryDate,11 Aug 1914,"{""day""=>[""11""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
17,AWD0002xxv,diary,2,2,1914-08-11 00:00:00 UTC,11 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]","",domestic,other,{},,,
18,AWD0002xxv,diary,2,4,1914-08-11 00:00:00 UTC,11 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]","",person,Major H S Becher,"{""first""=>[""H S""], ""surname""=>[""Becher""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
26,AWD0002xxv,diary,2,3,1914-08-11 00:00:00 UTC,11 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]","",person, Sarabjit Gurung,"{""first""=>[""Sarabjit""], ""surname""=>[""Gurung""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
28,AWD0002xxv,diary,2,2,1914-08-11 00:00:00 UTC,11 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]","",person,"Lieutenant, Kharakbahadur Gurung","{""first""=>[""Kharakbahadur""], ""surname""=>[""Gurung""], ""rank""=>[""Lieutenant"", """"], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""1st Battalion"", """"]}",,,
2,AWD0002ybe,diary,3,2,1914-08-11 00:00:00 UTC,11 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]","",person,Captain  Barton,"{""first""=>[""""], ""surname""=>[""Barton""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander"", ""departed_posted""], ""unit""=>["""", ""Staff Officer Deputy Director Railway transport""]}",,,
3,AWD0002ybe,diary,3,3,1914-08-12 00:00:00 UTC,12 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]","",diaryDate,12 Aug 1914,"{""day""=>[""12""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
4,AWD0002ybe,diary,3,3,1914-08-12 00:00:00 UTC,12 Aug 1914,"Dekka Doon, Dekra Doon, Dehra Doon","[0.0, 0.0]","",person,Captain  Barton,"{""first""=>[""""], ""surname""=>[""Barton""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
