Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0002yzt,diary,6,2,,"5 Dec,Aug 1914","","[0.0, 0.0]","",diaryDate,"5 Dec,Aug 1914","{""day""=>[""5""], ""month""=>[""Dec"", ""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0002yzt,diary,6,5,1914-08-09 00:00:00 UTC,9 Aug 1914,"","[0.0, 0.0]","",diaryDate,9 Aug 1914,"{""day""=>[""9""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0002yzt,diary,6,2,1914-08-09 00:00:00 UTC,9 Aug 1914,"","[0.0, 0.0]","",place,Lansdowne,"{""place""=>[""Lansdowne""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0002yzt,diary,6,2,1914-08-09 10:00:00 UTC,9 Aug 1914,"","[0.0, 0.0]",1000AM,time,1000AM,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0002yzt,diary,6,4,1914-08-11 00:00:00 UTC,11 Aug 1914,"","[0.0, 0.0]","",diaryDate,11 Aug 1914,"{""day""=>[""11""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0002yzt,diary,6,4,1914-08-11 17:00:00 UTC,11 Aug 1914,"","[0.0, 0.0]",0500PM,time,0500PM,{},2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0002yzt,diary,6,4,1914-08-12 00:00:00 UTC,12 Aug 1914,"","[0.0, 0.0]","",diaryDate,12 Aug 1914,"{""day""=>[""12""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0002yzt,diary,6,2,1914-08-12 00:00:00 UTC,12 Aug 1914,"","[0.0, 0.0]","",person,Captain  Alexander,"{""first""=>[""""], ""surname""=>[""Alexander""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other"", ""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0002yzt,diary,6,2,1914-08-12 00:00:00 UTC,12 Aug 1914,"","[0.0, 0.0]","",diaryDate,12 Aug 1914,"{""day""=>[""12""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
16,AWD0002yzt,diary,6,4,1914-08-13 00:00:00 UTC,13 Aug 1914,"","[0.0, 0.0]","",diaryDate,13 Aug 1914,"{""day""=>[""13""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
17,AWD0002yzt,diary,6,2,1914-08-13 00:00:00 UTC,13 Aug 1914,"","[0.0, 0.0]","",orders,move,{},2985684,Pozières,"[2.72929, 50.04047]"
19,AWD0002yzt,diary,6,2,1914-08-13 00:00:00 UTC,13 Aug 1914,"","[0.0, 0.0]","",person,"Captain  Lordwick, Lurdwich","{""first""=>[""""], ""surname""=>[""Lordwick"", ""Lurdwich""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
22,AWD0002yzt,diary,6,4,1914-08-18 00:00:00 UTC,18 Aug 1914,"","[0.0, 0.0]","",diaryDate,18 Aug 1914,"{""day""=>[""18""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
24,AWD0002yzt,diary,6,2,1914-08-18 06:30:00 UTC,18 Aug 1914,"","[0.0, 0.0]",0630AM,time,0630AM,{},2985684,Pozières,"[2.72929, 50.04047]"
