Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
7,AWD0002zin,diary,2,3,1915-05-20 00:00:00 UTC,20 May 1915,"","[0.0, 0.0]","",diaryDate,20 May 1915,"{""day""=>[""20""], ""month""=>[""May""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0002zin,diary,2,3,1915-05-20 00:00:00 UTC,20 May 1915,Aldershot,"[0.0, 0.0]","",place,Aldershot,"{""place""=>[""Aldershot""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
9,AWD0002zin,diary,2,2,1915-05-20 00:00:00 UTC,20 May 1915,Aldershot,"[0.0, 0.0]","",activity,movement,{},2657540,Aldershot,"[-0.76389, 51.24827]"
10,AWD0002zin,diary,2,3,1915-05-21 00:00:00 UTC,21 May 1915,Aldershot,"[0.0, 0.0]","",diaryDate,21 May 1915,"{""day""=>[""21""], ""month""=>[""May""], ""year""=>[""1915""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
13,AWD0002zin,diary,2,3,1915-05-21 00:00:00 UTC,21 May 1915,Aldershot,"[0.0, 0.0]","",person,Sergeant  Byrne,"{""first""=>[""""], ""surname""=>[""Byrne""], ""rank""=>[""Sergeant""], ""number""=>[""""], ""reason""=>[""casualty_wounded""], ""unit""=>[""""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
18,AWD0002zip,blank,8,2,,,,[],,activity,attack,{},,,
1,AWD0002zhz,diary,12,4,1915-07-01 00:00:00 UTC,1 Jul 1915,Aldershot,"[0.0, 0.0]","",diaryDate,1 Jul 1915,"{""day""=>[""1""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
3,AWD0002zhz,diary,12,3,1915-07-01 00:00:00 UTC,1 Jul 1915,Aldershot,"[0.0, 0.0]","",activity,repair,{},2657540,Aldershot,"[-0.76389, 51.24827]"
7,AWD0002zhz,diary,12,4,1915-07-01 00:00:00 UTC,1 Jul 1915,Aldershot,"[0.0, 0.0]","",activity,enemy_activity,{},2657540,Aldershot,"[-0.76389, 51.24827]"
8,AWD0002zhz,diary,12,2,1915-07-01 00:00:00 UTC,1 Jul 1915,Aldershot,"[0.0, 0.0]","",activity,reconnoitered,{},2657540,Aldershot,"[-0.76389, 51.24827]"
9,AWD0002zhz,diary,12,2,1915-07-01 00:00:00 UTC,1 Jul 1915,Aldershot,"[0.0, 0.0]","",activity,fire,{},2657540,Aldershot,"[-0.76389, 51.24827]"
11,AWD0002zhz,diary,12,2,1915-07-01 00:00:00 UTC,1 Jul 1915,Aldershot,"[0.0, 0.0]","",casualties,casualties: 0,{},2657540,Aldershot,"[-0.76389, 51.24827]"
12,AWD0002zhz,diary,12,4,1915-07-02 00:00:00 UTC,2 Jul 1915,Aldershot,"[0.0, 0.0]","",diaryDate,2 Jul 1915,"{""day""=>[""2""], ""month""=>[""Jul""], ""year""=>[""1915""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
16,AWD0002zhz,diary,12,2,,"7 Feb,Mar 1915",Aldershot,"[0.0, 0.0]","",diaryDate,"7 Feb,Mar 1915","{""day""=>[""7""], ""month""=>[""Feb"", ""Mar""], ""year""=>[""1915""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
17,AWD0002zhz,diary,12,5,,"7 Feb,Mar 1915",Aldershot,"[0.0, 0.0]","",activity,repair,{},2657540,Aldershot,"[-0.76389, 51.24827]"
