Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
5,AWD0002zqb,"cover, diary",3,2,,,,[],,person,"Captain  Moriarty, Morriarty","{""first""=>[""""], ""surname""=>[""Moriarty"", ""Morriarty""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""No 1 Cavalry Field Ambulance"", """"]}",,,
6,AWD0002zqb,"cover, diary",3,2,,,,[],,person,Captain T Crean,"{""first""=>[""T""], ""surname""=>[""Crean""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""No 1 Cavalry Field Ambulance"", """"]}",,,
7,AWD0002zqb,"cover, diary",3,2,,,,[],,person,Captain  Hall,"{""first""=>[""""], ""surname""=>[""Hall""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""No 1 Cavalry Field Ambulance"", """"]}",,,
8,AWD0002zqb,"cover, diary",3,2,,,,[],,person,Lieutenant  Griffin,"{""first""=>[""""], ""surname""=>[""Griffin""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""No 1 Cavalry Field Ambulance"", """"]}",,,
1,AWD0002zs9,diary,4,6,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0002zs9,diary,4,5,1914-08-05 00:00:00 UTC,5 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",place,Aldershot,"{""place""=>[""Aldershot""], ""location""=>[""true""], ""name""=>[""Aldershot""], ""lat""=>[""51.24827""], ""long""=>[""-0.76389""], ""id""=>[""2657540""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
4,AWD0002zs9,diary,4,3,1914-08-05 18:00:00 UTC,5 Aug 1914,Aldershot,"[-0.76389, 51.24827]",0600PM,time,0600PM,{},2657540,Aldershot,"[-0.76389, 51.24827]"
5,AWD0002zs9,diary,4,2,1914-08-05 18:00:00 UTC,5 Aug 1914,Aldershot,"[-0.76389, 51.24827]",0600PM,strength,"officer: 2, nco: 1, other: 20",{},2657540,Aldershot,"[-0.76389, 51.24827]"
6,AWD0002zs9,diary,4,2,1914-08-05 18:00:00 UTC,5 Aug 1914,Aldershot,"[-0.76389, 51.24827]",0600PM,weather,fine,{},2657540,Aldershot,"[-0.76389, 51.24827]"
7,AWD0002zs9,diary,4,6,1914-08-06 00:00:00 UTC,6 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
8,AWD0002zs9,diary,4,2,1914-08-06 00:00:00 UTC,6 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",place,Aldershot,"{""place""=>[""Aldershot""], ""location""=>[""true""], ""name""=>[""Aldershot""], ""lat""=>[""51.24827""], ""long""=>[""-0.76389""], ""id""=>[""2657540""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
11,AWD0002zs9,diary,4,2,1914-08-06 00:00:00 UTC,6 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",strength,"officer: 4, nco: 1, other: 51",{},2657540,Aldershot,"[-0.76389, 51.24827]"
12,AWD0002zs9,diary,4,2,1914-08-06 00:00:00 UTC,6 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",weather,fine,{},2657540,Aldershot,"[-0.76389, 51.24827]"
13,AWD0002zs9,diary,4,6,1914-08-07 00:00:00 UTC,7 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
15,AWD0002zs9,diary,4,2,1914-08-07 00:00:00 UTC,7 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",place,Aldershot,"{""place""=>[""Aldershot""], ""location""=>[""true""], ""name""=>[""Aldershot""], ""lat""=>[""51.24827""], ""long""=>[""-0.76389""], ""id""=>[""2657540""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
18,AWD0002zs9,diary,4,2,1914-08-07 00:00:00 UTC,7 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",weather,fine,{},2657540,Aldershot,"[-0.76389, 51.24827]"
20,AWD0002zs9,diary,4,5,1914-08-08 00:00:00 UTC,8 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
21,AWD0002zs9,diary,4,2,1914-08-08 00:00:00 UTC,8 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",place,Aldershot,"{""place""=>[""Aldershot""], ""location""=>[""true""], ""name""=>[""Aldershot""], ""lat""=>[""51.24827""], ""long""=>[""-0.76389""], ""id""=>[""2657540""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
24,AWD0002zs9,diary,4,4,1914-08-08 00:00:00 UTC,8 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",weather,rain,{},2657540,Aldershot,"[-0.76389, 51.24827]"
25,AWD0002zs9,diary,4,2,1914-08-08 18:00:00 UTC,8 Aug 1914,Aldershot,"[-0.76389, 51.24827]",0600PM,time,0600PM,{},2657540,Aldershot,"[-0.76389, 51.24827]"
27,AWD0002zs9,diary,4,6,1914-08-09 00:00:00 UTC,9 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,9 Aug 1914,"{""day""=>[""9""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
28,AWD0002zs9,diary,4,2,1914-08-09 00:00:00 UTC,9 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",place,Aldershot,"{""place""=>[""Aldershot""], ""location""=>[""true""], ""name""=>[""Aldershot""], ""lat""=>[""51.24827""], ""long""=>[""-0.76389""], ""id""=>[""2657540""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
31,AWD0002zs9,diary,4,2,1914-08-09 00:00:00 UTC,9 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",weather,fine,{},2657540,Aldershot,"[-0.76389, 51.24827]"
33,AWD0002zs9,diary,4,6,1914-08-10 00:00:00 UTC,10 Aug 1914,Aldershot,"[-0.76389, 51.24827]","",diaryDate,10 Aug 1914,"{""day""=>[""10""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
