Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
3,AWD00030t8,diary,4,2,,"","","[0.0, 0.0]","",domestic,medical,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00030t8,diary,4,3,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD00030t8,diary,4,3,1914-08-05 00:00:00 UTC,5 Aug 1914,"Woolwich, UK, Woolwich, WOOLWICH","[0.0648, 51.491]","",place,"Woolwich, UK, Woolwich, WOOLWICH","{""place""=>[""Woolwich, UK"", ""Woolwich"", ""WOOLWICH""], ""location""=>[""true""], ""name""=>[""Woolwich""], ""lat""=>[""51.491""], ""long""=>[""0.0648""], ""id""=>[""2633583""]}",2633583,Woolwich,"[0.0648, 51.491]"
6,AWD00030t8,diary,4,3,1914-08-05 06:00:00 UTC,5 Aug 1914,"Woolwich, UK, Woolwich, WOOLWICH","[0.0648, 51.491]",0600AM,time,0600AM,{},2633583,Woolwich,"[0.0648, 51.491]"
9,AWD00030t8,diary,4,2,1914-08-05 06:00:00 UTC,5 Aug 1914,"Woolwich, UK, Woolwich, WOOLWICH","[0.0648, 51.491]",0600AM,domestic,uniform,{},2633583,Woolwich,"[0.0648, 51.491]"
11,AWD00030t8,diary,4,4,1914-08-06 00:00:00 UTC,6 Aug 1914,"Woolwich, UK, Woolwich, WOOLWICH","[0.0648, 51.491]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
12,AWD00030t8,diary,4,2,1914-08-06 08:00:00 UTC,6 Aug 1914,"Woolwich, UK, Woolwich, WOOLWICH","[0.0648, 51.491]",0800AM,time,0800AM,{},2633583,Woolwich,"[0.0648, 51.491]"
14,AWD00030t8,diary,4,3,1914-08-07 00:00:00 UTC,7 Aug 1914,"Woolwich, UK, Woolwich, WOOLWICH","[0.0648, 51.491]","",diaryDate,7 Aug 1914,"{""day""=>[""7""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
15,AWD00030t8,diary,4,3,1914-08-07 08:00:00 UTC,7 Aug 1914,"Woolwich, UK, Woolwich, WOOLWICH","[0.0648, 51.491]",0800AM,time,0800AM,{},2633583,Woolwich,"[0.0648, 51.491]"
17,AWD00030t8,diary,4,3,1914-08-08 00:00:00 UTC,8 Aug 1914,"Woolwich, UK, Woolwich, WOOLWICH","[0.0648, 51.491]","",diaryDate,8 Aug 1914,"{""day""=>[""8""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
18,AWD00030t8,diary,4,3,1914-08-08 08:00:00 UTC,8 Aug 1914,"Woolwich, UK, Woolwich, WOOLWICH","[0.0648, 51.491]",0800AM,time,0800AM,{},2633583,Woolwich,"[0.0648, 51.491]"
21,AWD00030t8,diary,4,3,1914-08-09 00:00:00 UTC,9 Aug 1914,"Woolwich, UK, Woolwich, WOOLWICH","[0.0648, 51.491]","",diaryDate,9 Aug 1914,"{""day""=>[""9""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2633583,Woolwich,"[0.0648, 51.491]"
22,AWD00030t8,diary,4,3,1914-08-09 08:00:00 UTC,9 Aug 1914,"Woolwich, UK, Woolwich, WOOLWICH","[0.0648, 51.491]",0800AM,time,0800AM,{},2633583,Woolwich,"[0.0648, 51.491]"
